origin,seed,point,metric,a_at_gru,a_at_tf,tf_at_raw,tf_at_anchor,a_main,network_main,interaction
972,0,ATU5,crps,-4.5117834384909443,-8.6950468271461876,2.5378743723231061,-1.6453890163321372,-6.603415132818566,0.44624267799548445,-4.1832633886552415
972,0,ATU5,interval_score90,-53.02787192826608,-41.780785479647761,-3.870181065378091,7.3769053832402278,-47.404328703956921,1.7533621589310684,11.247086448618319
972,0,ATU5,coverage90,0,0,0,0,0,0,0
972,0,ATU5,width90,-53.02787192826608,-41.780785479647761,-3.870181065378091,7.3769053832402278,-47.404328703956921,1.7533621589310684,11.247086448618319
972,0,MJ3,mae,-10.791225317471394,-9.0856867935856478,1.7987715361750105,3.5043100600607566,-9.9384560555285208,2.6515407981178836,1.7055385238857497
972,0,MJ3,rmse,-14.704562748753382,-13.435678249576391,2.9096717727398342,4.1785562719168254,-14.070120499164886,3.5441140223283298,1.2688844991769912
972,0,MJ3,crps,-13.473993013292212,-13.377711495439506,2.2945437041244077,2.3908252219771136,-13.425852254365859,2.3426844630507606,0.096281517852709442
972,0,MJ3,interval_score90,-351.21231720585132,-397.5079305080144,52.997278973455877,6.7016656712928011,-374.36012385693289,29.849472322374339,-46.295613302163019
972,0,MJ3,coverage90,0.071672354948805472,0.095563139931740648,-0.023890784982935176,0,0.08361774744027306,-0.011945392491467588,0.023890784982935176
972,0,MJ3,width90,23.962105014727968,35.313074665305066,0.47315346117648005,11.824123111753579,29.637589840016517,6.1486382864650295,11.350969650577099
972,0,MJ1,mae,-16.756942170930458,-16.13889374638272,2.4441638614339638,3.0622122859817011,-16.447917958656589,2.7531880737078325,0.61804842454773734
972,0,MJ1,rmse,-16.995225334938109,-15.343752089342374,2.0884196951523109,3.7398929407480459,-16.169488712140243,2.9141563179501784,1.6514732455957386
972,0,MJ1,crps,-13.237948732978946,-13.164329003376675,2.2711312339847396,2.3447509635870105,-13.201138868177811,2.3079410987858751,0.073619729602270922
972,0,MJ1,interval_score90,-216.32634737923607,-240.40060480647273,41.836175868967928,17.761918441731268,-228.3634760928544,29.799047155349598,-24.07425742723666
972,0,MJ1,coverage90,0.273037542662116,0.273037542662116,-0.037542662116040959,-0.037542662116040959,0.273037542662116,-0.037542662116040959,0
972,0,MJ1,width90,5.9109629886329174,15.825389969984982,-3.1501594541503692,6.7642675272016959,10.86817647930895,1.8070540365256633,9.9144269813520651
972,1,ATU1,mae,-22.80096083147636,-27.796339067569942,4.918583856185677,-0.07679437990790472,-25.298649949523153,2.4208947381388861,-4.9953782360935861
972,1,ATU1,rmse,-22.62652457757768,-27.37488725755594,5.092333187776255,0.34397050779799621,-25.000705917566812,2.7181518477871256,-4.748362679978257
972,1,ATU1,crps,-9.0489833741068804,-11.512835982769728,2.7582432196247595,0.2943906109619121,-10.280909678438304,1.5263169152933358,-2.4638526086628474
972,1,ATU1,interval_score90,-24.854096717557937,-18.038656956578961,-3.1771039649763679,3.6383357960026075,-21.446376837068449,0.23061591551311977,6.8154397609789612
972,1,ATU1,coverage90,0,0,0,0,0,0,0
972,1,ATU1,width90,-24.854096717557937,-18.038656956578961,-3.1771039649763679,3.6383357960026075,-21.446376837068449,0.23061591551311977,6.8154397609789612
972,1,ATU5,mae,-22.028886510874727,-29.497304084406633,4.2906421507651302,-3.1777754227667758,-25.763095297640682,0.5564333639991772,-7.4684175735319087
972,1,ATU5,rmse,-21.566520988706813,-29.303345922609832,4.5784856887493142,-3.1583392451537042,-25.434933455658324,0.71007322179780497,-7.7368249339030193
972,1,ATU5,crps,-8.5957634112525128,-10.009544489197381,1.607331111897544,0.19355003395267545,-9.302653950224947,0.90044057292510971,-1.4137810779448685
972,1,ATU5,interval_score90,-53.02787192826608,-41.780785479647761,-3.870181065378091,7.3769053832402278,-47.404328703956921,1.7533621589310684,11.247086448618319
972,1,ATU5,coverage90,0,0,0,0,0,0,0
972,1,ATU5,width90,-53.02787192826608,-41.780785479647761,-3.870181065378091,7.3769053832402278,-47.404328703956921,1.7533621589310684,11.247086448618319
972,1,MJ3,mae,-7.6508575513656538,-6.3373145441702761,0.86840125301092996,2.1819442602063077,-6.9940860477679649,1.5251727566086188,1.3135430071953778
972,1,MJ3,rmse,-9.5294569184668632,-9.6496091871647351,2.6725187413152298,2.5523664726173578,-9.5895330528157992,2.6124426069662938,-0.12015226869787199
972,1,MJ3,crps,-9.8196196390056798,-10.029229760940051,1.0456911343763124,0.83608101244194089,-9.9244246999728656,0.94088607340912667,-0.20961012193437512
