origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm
972,COND_ATTN,0,112,ATU1,612,792,False,-21.023335129852992,21.204192860234265,-14.187794882592527,9.2257652676972608,21.409737626373353,-21.409737626373353,-10.464588558781077
972,COND_ATTN,0,112,ATU5,612,792,False,-51.153700157136861,51.438906493344064,-19.401646462196783,34.289430152658191,4.4057424380267181,-4.4057424380267181,-14.61010788234293
972,COND_ATTN,0,112,MJ3,612,792,False,-156.8562233279446,157.3867294018527,-3.7026620953571716,153.45453876572586,-147.93857438172765,147.93857438172765,43.54929738770219
972,COND_ATTN,0,112,MJ1,612,792,False,-66.527101699484902,68.187034111117285,-8.7321880112490646,59.664703138489124,-35.820085125443597,35.820085125443597,6.5156631535413316
972,COND_ATTN,0,112,ATU1,612,612,True,-21.023335129852992,21.204192860234265,-3.7232063238114486,17.909074299298528,21.409737626373353,-21.409737626373353,-10.464588558781077
972,COND_ATTN,0,112,ATU5,612,612,True,-51.153700157136861,51.438906493344064,-4.7915385798538503,47.277887850285772,4.4057424380267181,-4.4057424380267181,-14.61010788234293
972,COND_ATTN,0,112,MJ3,612,612,True,-156.8562233279446,157.3867294018527,-47.251959483059359,110.2822573474625,-147.93857438172765,147.93857438172765,43.54929738770219
972,COND_ATTN,0,112,MJ1,612,612,True,-66.527101699484902,68.187034111117285,-15.247851164790394,53.614107867166602,-35.820085125443597,35.820085125443597,6.5156631535413316
972,COND_ATTN,1,112,ATU1,792,792,True,-42.433072756226345,42.710156503284544,-14.371231472671875,29.05997175120514,21.409737626373353,-21.409737626373353,-10.369781171640893
972,COND_ATTN,1,112,ATU5,792,792,True,-55.559442595163581,55.679041939052382,-20.492236943248745,36.309629659622658,4.4057424380267181,-4.4057424380267181,-14.898754894815379
972,COND_ATTN,1,112,MJ3,792,792,True,-8.9176489462169855,13.377372317981186,-6.7914579978827563,7.156927142090372,-147.93857438172765,147.93857438172765,41.672123854622214
972,COND_ATTN,1,112,MJ1,792,792,True,-30.707016574041312,31.122557434773654,-11.243802011898291,20.2387427651243,-35.820085125443597,35.820085125443597,4.2722018642244759
