split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,35,0.23626068919489568,1.0,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,43,0.3447075059859741,0.9767441860465116,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,4,0.4,0.5,41,0.4375104738183418,0.34146341463414637,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,80,0.5549920427555496,0.325,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,32,0.654269912363048,0.125,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,34,0.7588156550068849,0.38235294117647056,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,8,0.8,0.9,44,0.8625588606078878,0.022727272727272728,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,9,0.9,1.0,32,0.9461575313694878,0.0,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,0,0.0,0.1,92,0.03564615848092812,0.5543478260869565,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,1,0.1,0.2,51,0.1376311775006894,0.9607843137254902,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,42,0.24804013522428742,0.6904761904761905,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,52,0.35426026848921033,0.9038461538461539,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,4,0.4,0.5,89,0.450026377173139,0.6404494382022472,265,ok
fit,training_only,ngboost,transition_only,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,67,0.5587493071311026,0.4626865671641791,265,ok
