split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
test,historical_holdout_evaluation_only,ngboost,all,4,red,2,yellow,0
test,historical_holdout_evaluation_only,ngboost,all,4,red,3,orange,2
test,historical_holdout_evaluation_only,ngboost,all,4,red,4,red,348
test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,0,green,584
test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,0,green,1039
test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,0,green,182
test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,0,green,133
test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,0,green,350
test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,0,green,555
test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,1,blue,29
test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,2,yellow,0
test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,3,orange,0
test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,0,green,32
test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,1,blue,1002
test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,2,yellow,5
test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,3,orange,0
test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,1,blue,11
test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,2,yellow,168
test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,3,orange,3
test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,1,blue,0
test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,2,yellow,9
test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,3,orange,116
test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,4,red,8
test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,1,blue,0
test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,2,yellow,0
test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,3,orange,13
test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,4,red,337
test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,0,green,4
test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,1,blue,25
test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,3,orange,0
test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,4,red,0
test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,0,green,27
test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,1,blue,5
test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,2,yellow,5
test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,4,red,0
test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,1,blue,10
test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,3
test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,3,orange,1
test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,0,green,0
test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,2,yellow,9
test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,4,red,8
test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,0,green,0
test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,1,blue,0
test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,3,orange,2
test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,4,red,11
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,0,green,29
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,1,blue,0
