split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
fit,training_only,fit_majority_prior,transition_only,f1,3.0,orange,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,support,3.0,orange,20.0,20.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,precision,4.0,red,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,recall,4.0,red,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,f1,4.0,red,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,support,4.0,red,7.0,7.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,balanced_accuracy_supported_classes,,,0.2,,,ok
fit,training_only,fit_majority_prior,transition_only,ordinal_mae,,,0.8747826086956522,,,ok
fit,training_only,fit_majority_prior,transition_only,quadratic_weighted_kappa,,,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,false_escalation_vs_proxy_count,,,0.0,0.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,false_escalation_vs_proxy_rate,,,0.0,0.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,false_deescalation_vs_proxy_count,,,367.0,367.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,false_deescalation_vs_proxy_rate,,,0.6382608695652174,367.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,multiclass_log_loss,,,1.2046461270232545,,,ok
fit,training_only,fit_majority_prior,transition_only,multiclass_brier,,,0.6599640268057314,,,ok
fit,training_only,fit_majority_prior,transition_only,top_label_ece,,,0.12424988055422842,,,ok
fit,training_only,fit_majority_prior,transition_only,classwise_ece,0.0,green,0.12424988055422842,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,0.0,green,0.5,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,0.0,green,0.3617391304347826,,,ok
fit,training_only,fit_majority_prior,transition_only,classwise_ece,1.0,blue,0.06663879598662203,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,1.0,blue,0.5,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,1.0,blue,0.4608695652173913,,,ok
fit,training_only,fit_majority_prior,transition_only,classwise_ece,2.0,yellow,0.03414357381748684,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,2.0,yellow,0.5,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,2.0,yellow,0.13043478260869565,,,ok
fit,training_only,fit_majority_prior,transition_only,classwise_ece,3.0,orange,0.023381509794553276,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,3.0,orange,0.5,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,3.0,orange,0.034782608695652174,,,ok
fit,training_only,fit_majority_prior,transition_only,classwise_ece,4.0,red,8.600095556617234e-05,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,4.0,red,0.5,,,ok
fit,training_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,4.0,red,0.01217391304347826,,,ok
fit,training_only,current_state_persistence,transition_only,row_count,,,575.0,,,ok
fit,training_only,current_state_persistence,transition_only,accuracy,,,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,macro_f1_fixed_five,,,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,macro_f1_supported_classes,,,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,precision,0.0,green,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,recall,0.0,green,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,f1,0.0,green,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,support,0.0,green,208.0,208.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,precision,1.0,blue,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,recall,1.0,blue,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,f1,1.0,blue,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,support,1.0,blue,265.0,265.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,precision,2.0,yellow,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,recall,2.0,yellow,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,f1,2.0,yellow,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,support,2.0,yellow,75.0,75.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,precision,3.0,orange,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,recall,3.0,orange,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,f1,3.0,orange,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,support,3.0,orange,20.0,20.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,precision,4.0,red,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,recall,4.0,red,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,f1,4.0,red,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,support,4.0,red,7.0,7.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,balanced_accuracy_supported_classes,,,0.0,,,ok
fit,training_only,current_state_persistence,transition_only,ordinal_mae,,,1.0034782608695652,,,ok
fit,training_only,current_state_persistence,transition_only,quadratic_weighted_kappa,,,0.30102667428251006,,,ok
fit,training_only,current_state_persistence,transition_only,false_escalation_vs_proxy_count,,,289.0,289.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,false_escalation_vs_proxy_rate,,,0.5026086956521739,289.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,false_deescalation_vs_proxy_count,,,286.0,286.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,false_deescalation_vs_proxy_rate,,,0.4973913043478261,286.0,575.0,ok
fit,training_only,current_state_persistence,transition_only,multiclass_log_loss,,,,,,probability_not_available
fit,training_only,current_state_persistence,transition_only,multiclass_brier,,,,,,probability_not_available
fit,training_only,current_state_persistence,transition_only,top_label_ece,,,,,,probability_not_available
calibration,chronological_evaluation_only,ngboost,all,row_count,,,1808.0,,,ok
calibration,chronological_evaluation_only,ngboost,all,accuracy,,,0.9059734513274337,,,ok
