component,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
seed_0,432,OOF,train,MJ1,402,5.920544022795704,4.997346605707195,3.4485915852752065,0.6716417910447762,12.562191397082064,20.26958073751425,0.8532338308457711,16.123398167116978,23.41408918969057,0.9129353233830846,19.212213876955605,26.710032688639295
seed_0,432,OOF,prediction,ATU1,180,61.70583885047403,60.330020182187646,40.932737190557035,0.07777777777777778,99.07278506366876,212.04580879674714,0.7555555555555555,127.1585434908874,207.6647715481608,0.8388888888888889,151.51874986326305,212.7417537413485
seed_0,432,OOF,prediction,ATU5,180,138.57665546984202,134.08393970712225,106.34116053379726,0.06111111111111111,131.89173922972645,830.4280320270134,0.11666666666666667,169.2812153020027,1225.1736905671974,0.14444444444444443,201.7110090580067,1748.919158733565
seed_0,432,OOF,prediction,MJ3,180,18.095727914701726,16.457437993452796,10.643048900692694,0.9444444444444444,59.98700317122053,60.4047790735127,1.0,76.99248534028516,76.99248534028516,1.0,91.74220471046533,91.74220471046533
seed_0,432,OOF,prediction,MJ1,180,21.45484112848523,17.554766084031385,15.556179355646432,0.26666666666666666,12.562191397082064,138.49252853813906,0.2833333333333333,16.123398167116978,242.08867915502637,0.3055555555555556,19.212213876955605,427.4580419866506
seed_1,432,OOF,train,ATU1,402,5.616372915425319,4.346253050853421,8.746524493021212,1.0,92.1169875317308,92.1169875317308,1.0,118.23087397589062,118.23087397589062,1.0,140.88077551274986,140.88077551274986
seed_1,432,OOF,train,ATU5,402,5.047235380870871,4.052328304747715,11.083015130593928,1.0,119.16701572564489,119.16701572564489,1.0,152.94920943315137,152.94920943315137,1.0,182.25022377317708,182.25022377317708
seed_1,432,OOF,train,MJ3,402,4.469703486357434,3.4715868954110025,4.2583114678600635,1.0,41.40548288987976,41.40548288987976,1.0,53.14336215975342,53.14336215975342,1.0,63.32422169143095,63.32422169143095
seed_1,432,OOF,train,MJ1,402,5.515975269782014,4.708477373032839,3.2162703392218828,0.9054726368159204,18.167090842410857,19.10042181211373,1.0,23.31720875216081,23.31720875216081,1.0,27.784167885513057,27.784167885513057
seed_1,432,OOF,prediction,ATU1,180,61.933122385692,60.809197957811,42.31270351445367,0.044444444444444446,92.11698753173073,248.4307040832981,0.29444444444444445,118.23087397589069,209.71219513677886,0.8277777777777777,140.88077551274998,192.3993298086464
seed_1,432,OOF,prediction,ATU5,180,142.6933606244393,138.26078968526102,112.91681538854387,0.05,119.16701572564489,919.5618010148177,0.06666666666666667,152.94920943315148,1435.8844201372613,0.1111111111111111,182.2502237731771,2213.3963730946825
seed_1,432,OOF,prediction,MJ3,180,16.358826405706385,14.96899554846553,9.638077210802987,0.7722222222222223,41.40548288987951,49.14579213380315,0.9944444444444445,53.143362159753686,53.16646160585374,1.0,63.3242216914307,63.3242216914307
seed_1,432,OOF,prediction,MJ1,180,22.14264794478302,18.46701343847043,15.614358408733798,0.2777777777777778,18.167090842410854,131.58076876242995,0.28888888888888886,23.317208752160806,213.19035559205088,0.3111111111111111,27.784167885513053,345.0285942643681
seed_2,432,OOF,train,ATU1,402,6.319009496949381,4.839787139308674,8.794180046020255,1.0,91.61206789100257,91.61206789100257,1.0,117.58281663043813,117.58281663043813,1.0,140.1085675578065,140.1085675578065
seed_2,432,OOF,train,ATU5,402,4.9646852599667834,3.9465079024846683,11.76556780609644,1.0,126.86968534543769,126.86968534543769,1.0,162.8354788987258,162.8354788987258,1.0,194.03044041542358,194.03044041542358
seed_2,432,OOF,train,MJ3,402,5.1116239386930165,4.1047322821013275,5.259314299029442,1.0,52.151761943039034,52.151761943039034,1.0,66.93606205678581,66.93606205678581,1.0,79.75923728900511,79.75923728900511
seed_2,432,OOF,train,MJ1,402,4.393390416640062,3.612958550819312,2.5617103995807815,0.9104477611940298,15.301994336610854,16.55439881405189,0.9900497512437811,19.63989718365918,19.777303649846576,0.9975124378109452,23.402380894087518,23.42845365384477
seed_2,432,OOF,prediction,ATU1,180,57.30109502229032,56.34352242891601,38.3564502157714,0.05,91.61206789100235,207.5324449758753,0.7388888888888889,117.58281663043785,156.16496348286503,0.9388888888888889,140.1085675578065,164.36923537649164
seed_2,432,OOF,prediction,ATU5,180,139.8983524729586,134.81355443498012,108.3205292594284,0.06111111111111111,126.8696853454378,862.5261379153021,0.08333333333333333,162.83547889872585,1299.3116301559662,0.16111111111111112,194.03044041542364,1923.3905033588505
seed_2,432,OOF,prediction,MJ3,180,16.807129178767006,14.71746140481894,9.792019968151756,0.8555555555555555,52.15176194303852,54.46084305063641,1.0,66.93606205678564,66.93606205678564,1.0,79.75923728900513,79.75923728900513
seed_2,432,OOF,prediction,MJ1,180,19.91570246706502,16.154855936603347,13.771950284206474,0.31666666666666665,15.301994336610848,117.6259531189923,0.34444444444444444,19.639897183659176,195.2944918370646,0.38333333333333336,23.402380894087518,326.7862809036005
deterministic,612,P0,train,ATU1,582,8.205017090481682,6.205121246043955,13.425116522208764,1.0,141.96003093320132,141.96003093320132,1.0,182.2037273819287,182.2037273819287,1.0,217.10913195809985,217.10913195809985
deterministic,612,P0,train,ATU5,582,9.456274591068324,7.908746182511195,32.986773456186306,1.0,358.99896383363745,358.99896383363745,1.0,460.770182330531,460.770182330531,1.0,549.041535842251,549.041535842251
deterministic,612,P0,train,MJ3,582,5.607264439348578,4.851707010023789,4.273393725998595,1.0,37.730198094092266,37.730198094092266,1.0,48.4261850494875,48.4261850494875,1.0,57.70335849440606,57.70335849440606
deterministic,612,P0,train,MJ1,582,5.503248859314611,3.9236001083898824,5.654935784285525,1.0,56.075550871498166,56.075550871498166,1.0,71.97219045823945,71.97219045823945,1.0,85.76015441636477,85.76015441636477
deterministic,612,P0,prediction,ATU1,180,4.264416212270162,2.9570455475789585,13.074196178838832,1.0,141.96003093320127,141.96003093320127,1.0,182.20372738192856,182.20372738192856,1.0,217.10913195809977,217.10913195809977
