task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
regression,Rain_cum30_lag5,cumulative_rainfall,5,0.0002535131363960928,37.0,22.0,53.0,31.0,16.0,78.5,10,0,4,0,4,0,negative,1.0,-0.6073829566063844
regression,GWT_lag1,raw_environment,5,0.00019320614200710155,37.0,29.0,78.0,49.0,16.0,78.5,10,0,3,2,1,0,positive,0.6666666666666666,0.10722769661318177
regression,DP_lag1,raw_environment,5,0.00021117274794673493,38.0,25.0,42.0,17.0,23.0,76.0,10,0,5,5,0,0,positive,1.0,0.46055258368778523
regression,maxT_lag2,raw_environment,5,0.0001866183645791539,38.0,29.0,63.0,34.0,17.0,78.5,10,0,4,4,0,0,positive,1.0,0.3469999555226962
regression,GWT_rate_lag3,environmental_rates,5,0.0001833343099663177,39.0,32.0,41.0,9.0,22.0,78.5,10,0,4,2,2,0,mixed,0.5,0.006318989898184607
regression,RWL_lag1,raw_environment,5,0.00014649734002301941,39.0,32.0,46.0,14.0,28.0,82.0,10,0,5,1,4,0,negative,0.8,-0.23068390980777417
regression,DP_lag4,raw_environment,5,0.00023405397958088767,40.0,22.0,55.0,33.0,16.0,72.0,10,0,5,1,4,0,negative,0.8,-0.1836028607256021
regression,disp_lag2,displacement_kinematics,5,0.00013396620734299302,40.0,38.0,44.0,6.0,24.0,69.0,10,0,5,1,4,0,negative,0.8,-0.2898009120109368
regression,minT_lag3,raw_environment,5,0.00011263335066166529,40.0,34.0,53.0,19.0,32.0,79.0,10,0,5,1,4,0,negative,0.8,-0.12132252450774705
regression,minT_lag4,raw_environment,5,0.00021677973359236253,41.0,23.0,44.0,21.0,14.0,74.0,10,0,5,2,3,0,negative,0.6,-0.4008467359016908
regression,disp_lag1,displacement_kinematics,5,0.00013953950989047088,41.0,35.0,45.0,10.0,30.0,45.0,10,0,5,1,4,0,negative,0.8,-0.017975368049699746
regression,Rain_cum30_lag2,cumulative_rainfall,5,0.00022148168208869804,43.0,24.0,49.0,25.0,20.0,55.0,10,0,5,2,3,0,negative,0.6,-0.0804902567921275
regression,Rain_cum30_lag1,cumulative_rainfall,5,0.0001225815571886406,43.0,33.0,50.0,17.0,26.0,73.0,10,0,5,3,2,0,positive,0.6,0.04302376720054591
regression,Rain_cum7_lag4,cumulative_rainfall,5,0.0001227590578657608,44.0,30.0,59.0,29.0,28.0,60.0,10,0,5,4,1,0,positive,0.8,0.4329051837375817
regression,RWL_lag3,raw_environment,5,9.801930949452712e-05,44.0,40.0,50.0,10.0,24.0,74.0,10,0,5,1,4,0,negative,0.8,-0.5045886263014332
regression,GWT_rate_lag2,environmental_rates,5,9.173349927018059e-05,45.0,45.0,47.0,2.0,39.0,65.0,10,0,5,3,2,0,positive,0.6,0.23188676561134336
regression,maxT_lag1,raw_environment,5,0.00010257393436496026,46.0,36.0,49.0,13.0,30.0,64.0,10,0,5,4,1,0,positive,0.8,0.3624686951722599
regression,aveT_lag2,raw_environment,5,0.00014398565859203972,47.0,27.0,60.0,33.0,22.0,75.0,10,0,5,3,2,0,positive,0.6,0.14177226103225943
regression,Rain_cum15_lag1,cumulative_rainfall,5,9.716414152128164e-05,47.0,38.0,63.0,25.0,36.0,78.0,10,0,4,3,1,0,positive,0.75,0.482837719913361
regression,aveT_lag5,raw_environment,5,0.00015856261128442372,48.0,42.0,53.0,11.0,18.0,60.0,10,0,5,1,4,0,negative,0.8,-0.1250425245848071
regression,minT_lag5,raw_environment,5,7.367109479412996e-05,51.0,48.0,60.0,12.0,37.0,78.5,10,0,4,2,2,0,mixed,0.5,0.14568447757739356
regression,DP_lag2,raw_environment,5,0.00023505946976887915,52.0,46.0,54.0,8.0,13.0,78.5,10,0,4,3,1,0,positive,0.75,0.3431579331588735
regression,aveT_lag4,raw_environment,5,0.00014702577626154325,52.0,50.0,63.0,13.0,21.0,66.0,10,0,5,1,4,0,negative,0.8,-0.37554410082691675
regression,RH_lag2,raw_environment,5,7.412771719955738e-05,52.0,39.0,78.0,39.0,32.0,83.0,10,0,3,2,1,0,positive,0.6666666666666666,0.05732458360640399
regression,RWL_rate_lag5,environmental_rates,5,6.361110055385247e-05,54.0,53.0,56.0,3.0,42.0,61.0,10,0,5,2,3,0,negative,0.6,-0.17823291362081065
regression,Rain_cum15_lag3,cumulative_rainfall,5,6.142971181597983e-05,54.0,52.0,58.0,6.0,35.0,82.5,10,0,4,2,2,0,mixed,0.5,0.1809798920402521
regression,Rain_cum7_lag3,cumulative_rainfall,5,0.00012864435443823467,56.0,36.0,57.0,21.0,27.0,78.0,10,0,4,3,1,0,positive,0.75,0.5911361763152366
regression,maxT_lag4,raw_environment,5,0.0001224246798907061,56.0,52.0,78.5,26.5,17.0,82.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.6960101060029823
