candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day,fit_days
B_baseline,train_last30,ATU5,30,2018-08-01,2018-08-31,0.1450320057680907,0.2578757261476198,0.293352045371922,-0.0354763192243031,792
B_baseline,train_last30,MJ3,30,2018-08-01,2018-08-31,0.0364007959495362,0.1379653040063734,0.1381318925546343,-0.0001665885482613,792
B_baseline,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.2593449170382503,0.2673009839030233,-0.0079560668647767,792
B_baseline,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.1684504364067985,0.2405905156308512,-0.0721400792240526,792
B_baseline,train_last90,ATU5,90,2018-06-02,2018-08-31,0.2870499764162054,0.3797574149614206,0.2988650056324704,0.0808924093289495,792
B_baseline,train_last90,MJ3,90,2018-06-02,2018-08-31,0.0381368921977456,0.167697288045464,0.1409469275109992,0.0267503605344646,792
B_baseline,train_last90,MJ1,90,2018-06-02,2018-08-31,0.1912188184266142,0.3535241530507038,0.2728733723888312,0.0806507806618723,792
A_continued,train_last30,ATU1,30,2018-08-01,2018-08-31,0.0556527172922111,0.1125215393282,0.2244309598128647,-0.1119094204846646,792
A_continued,train_last30,ATU5,30,2018-08-01,2018-08-31,0.1450320057680907,0.2894010239336694,0.320665108969889,-0.0312640850362204,792
A_continued,train_last30,MJ3,30,2018-08-01,2018-08-31,0.0364007959495362,0.256516958151451,0.3033733002436596,-0.0468563420922118,792
A_continued,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.2067303924656054,0.1716858528535809,0.0350445396120259,792
A_continued,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.1465167824870756,0.2374001633927377,-0.0908833809056621,792
A_continued,train_last90,ATU5,90,2018-06-02,2018-08-31,0.2870499764162054,0.3923910264176748,0.3348317275917209,0.0575592988259542,792
A_continued,train_last90,MJ3,90,2018-06-02,2018-08-31,0.0381368921977456,0.2738865015957218,0.3080062409526031,-0.0341197393568812,792
A_continued,train_last90,MJ1,90,2018-06-02,2018-08-31,0.1912188184266142,0.2837054199170539,0.1743269171992216,0.1093785027178316,792
B_continued,train_last30,ATU1,30,2018-08-01,2018-08-31,0.0556527172922111,0.15667258710828,0.2296382461642802,-0.0729656590560011,792
B_continued,train_last30,ATU5,30,2018-08-01,2018-08-31,0.1450320057680907,0.2578664020504826,0.2933499902498833,-0.0354835881994006,792
B_continued,train_last30,MJ3,30,2018-08-01,2018-08-31,0.0364007959495362,0.1378603406981938,0.138045060643825,-0.0001847199456297,792
B_continued,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.2594093782496732,0.2673124872705206,-0.0079031090208455,792
B_continued,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.1681905681655128,0.2405371494355386,-0.0723465812700257,792
B_continued,train_last90,ATU5,90,2018-06-02,2018-08-31,0.2870499764162054,0.3795017519972981,0.2988626438349169,0.0806391081623814,792
B_continued,train_last90,MJ3,90,2018-06-02,2018-08-31,0.0381368921977456,0.1675426960648842,0.1408585216580352,0.0266841744068497,792
B_continued,train_last90,MJ1,90,2018-06-02,2018-08-31,0.1912188184266142,0.3534319306266335,0.272885509906365,0.0805464207202689,792
