horizon,substep,coordinate,mask,beta,x,gap,delta_plastic_mm,original_x_tolerance_allows,frozen_plastic_gate_pass
2,11,2,15,0.00028605975644925379,0,734.45221064462419,0,True,True
2,11,3,15,0.030303030303030297,0,210.34090508246425,0,True,True
2,12,0,15,0.0012848438919450848,0,1320.9488146358572,0,True,True
2,12,1,15,0.0020616428621014738,0,7.3908613588597563,0,True,True
2,12,2,15,0.00028605975644925379,0,734.44198479456441,0,True,True
2,12,3,15,0.030303030303030297,0,209.67028265151671,0,True,True
2,13,0,15,0.0012848438919450848,0,1321.0172277246013,0,True,True
2,13,1,15,0.0020616428621014738,0,7.296238757217492,0,True,True
2,13,2,15,0.00028605975644925379,0,734.43176672910647,0,True,True
2,13,3,15,0.030303030303030297,0,208.99969223322788,0,True,True
2,14,0,15,0.0012848438919450848,0,1321.0852760820878,0,True,True
2,14,1,15,0.0020616428621014738,0,7.2019486279832412,0,True,True
2,14,2,15,0.00028605975644925379,0,734.42155620387143,0,True,True
2,14,3,15,0.030303030303030297,0,208.32913406967631,0,True,True
2,15,0,15,0.0012848438919450848,0,1321.1529600018405,0,True,True
2,15,1,15,0.0020616428621014738,0,7.1079907182880815,0,True,True
2,15,2,15,0.00028605975644925379,0,734.41135298188954,0,True,True
2,15,3,15,0.030303030303030297,0,207.65860839552968,0,True,True
2,16,0,15,0.0012848438919450848,0,1321.2202797774623,0,True,True
2,16,1,15,0.0020616428621014738,0,7.0143647751450056,0,True,True
2,16,2,15,0.00028605975644925379,0,734.40115683337569,0,True,True
2,16,3,15,0.030303030303030297,0,206.98811543826898,0,True,True
2,17,0,15,0.0012848438919450848,0,1321.2872357026245,0,True,True
2,17,1,15,0.0020616428621014738,0,6.9210705454633592,0,True,True
2,17,2,15,0.00028605975644925379,0,734.39096753551212,0,True,True
2,17,3,15,0.030303030303030297,0,206.31765541840841,0,True,True
2,18,0,15,0.0012848438919450848,0,1321.3538280710761,0,True,True
2,18,1,15,0.0020616428621014738,0,6.8281077760356599,0,True,True
2,18,2,15,0.00028605975644925379,0,734.38078487223652,0,True,True
2,18,3,15,0.030303030303030297,0,205.64722854970279,0,True,True
2,19,0,15,0.0012848438919450848,0,1321.4200571766355,0,True,True
2,19,1,15,0.0020616428621014738,0,6.7354762135481323,0,True,True
2,19,2,15,0.00028605975644925379,0,734.37060863403838,0,True,True
2,19,3,15,0.030303030303030297,0,204.97683503935772,0,True,True
2,20,0,15,0.0012848438919450848,0,1321.485923313187,0,True,True
2,20,1,15,0.0020616428621014738,0,6.6431756045834307,0,True,True
2,20,2,15,0.00028605975644925379,0,734.3604386177592,0,True,True
2,20,3,15,0.030303030303030297,0,204.30647508821929,0,True,True
2,21,0,15,0.0012848438919450848,0,1321.5514267746939,0,True,True
2,21,1,15,0.0020616428621014738,0,6.5512056956083065,0,True,True
2,21,2,15,0.00028605975644925379,0,734.35027462640107,0,True,True
2,21,3,15,0.030303030303030297,0,203.6361488909773,0,True,True
2,22,0,15,0.0012848438919450848,0,1321.6165678551781,0,True,True
2,22,1,15,0.0020616428621014738,0,6.4595662329921684,0,True,True
2,22,2,15,0.00028605975644925379,0,734.34011646893953,0,True,True
2,22,3,15,0.030303030303030297,0,202.96585663634303,0,True,True
2,23,0,15,0.0012848438919450848,0,1321.6813468487342,0,True,True
2,23,1,15,0.0020616428621014738,0,6.3682569629950576,0,True,True
2,23,2,15,0.00028605975644925379,0,734.32996396014244,0,True,True
2,23,3,15,0.030303030303030297,0,202.29559850723749,0,True,True
2,24,0,15,0.0012848438919450848,0,1321.7457640495184,0,True,True
2,24,1,15,0.0020616428621014738,0,6.2772776317772498,0,True,True
2,24,2,15,0.00028605975644925379,0,734.3198169203946,0,True,True
2,24,3,15,0.030303030303030297,0,201.62537468095982,0,True,True
2,25,0,15,0.0012848438919450848,0,1321.8098197517584,0,True,True
2,25,1,15,0.0020616428621014738,0,6.1866279853898227,0,True,True
2,25,2,15,0.00028605975644925379,0,734.30967517552801,0,True,True
2,25,3,15,0.030303030303030297,0,200.9551853293647,0,True,True
2,26,0,15,0.0012848438919450848,0,1321.8735142497401,0,True,True
2,26,1,15,0.0020616428621014738,0,6.0963077697881634,0,True,True
2,26,2,15,0.00028605975644925379,0,734.29953855665553,0,True,True
