origin,method,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,TiDE_DATA,1,MJ1,293,27.453905690875445,30.800554531105931,19.30246794968695,1,137.42206089708878,137.42206089708878,1,176.37930565335179,176.37930565335179,1,210.16890563050111,210.16890563050111
792,TiDE_DATA,2,ATU1,293,97.455027178854223,107.40073755778172,81.093630665182175,0.11262798634812286,79.903293837829452,672.27447389337283,0.20477815699658702,102.55476736800026,1097.0317968314002,0.26279863481228671,122.20154255105285,1806.7746807231097
792,TiDE_DATA,2,ATU5,293,130.73749212602959,145.10867678438609,105.45234483635426,0.20136518771331058,128.77515026911692,839.1288694464024,0.27303754266211605,165.28111601296811,1306.7338367547238,0.33788395904436858,196.94459701584196,2040.8734367928955
792,TiDE_DATA,2,MJ3,293,33.645065144307566,35.804603417680141,31.49491695143313,0.010238907849829351,9.8050535269026113,297.29500303157283,0.017064846416382253,12.584649958525006,560.14628856157378,0.020477815699658702,14.995535330683197,1062.8866466615352
792,TiDE_DATA,2,MJ1,293,45.6401568645868,49.220320989650922,28.986419790299006,0.96587030716723554,137.42206089708876,138.1794411650533,1,176.37930565335179,176.37930565335179,1,210.16890563050114,210.16890563050114
792,TiDE_HYD,0,ATU1,293,12.252636900955103,16.507613132625188,10.566928672061831,1,79.804197529408469,79.804197529408469,1,102.42757863310565,102.42757863310565,1,122.04998782572784,122.04998782572784
792,TiDE_HYD,0,ATU5,293,19.741929094418403,25.862712125789098,17.408083983725504,1,139.30010476656935,139.30010476656935,1,178.78974886402077,178.78974886402077,1,213.04112587081889,213.04112587081889
792,TiDE_HYD,0,MJ3,293,3.4824785417476605,4.0279809896156031,2.4930059202763504,0.46416382252559729,6.6116312066728824,15.894145828594235,0.6348122866894198,8.4859367837766513,18.550633585906358,0.77474402730375425,10.111617349266453,20.631387022400517
792,TiDE_HYD,0,MJ1,293,11.973002276503589,14.35897446431184,15.097649625022122,1,150.34274494090579,150.34274494090579,1,192.96282408800403,192.96282408800403,1,229.92938664613709,229.92938664613709
792,TiDE_HYD,1,ATU1,293,29.044058932317046,35.286837107076515,20.483067963622517,0.64846416382252559,79.804197529408469,126.5070199850128,0.79863481228668942,102.42757863310565,130.298209803351,0.94539249146757676,122.04998782572784,128.55274747237866
