model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
DRIFT14,9,368,0.182554735906,0.754755434783,0.814614332704,1.3097274474,0.834239130435,1.04554617679,1.7133386929,0.877038043478,1.24584511175,2.21204600216,0.237525090157,0.311851496906,0.316896342286
DRIFT14,10,367,0.211226781073,0.75340599455,0.942278555966,1.52309505905,0.83174386921,1.20940143343,2.00221439082,0.874659400545,1.44109069252,2.59960616878,0.273627750501,0.359460062223,0.365237996693
DRIFT14,11,366,0.241413104777,0.752732240437,1.07695725097,1.74913300036,0.830601092896,1.38225966707,2.30851196278,0.870218579235,1.64706398208,3.01315677976,0.311440510292,0.409362503713,0.415896268642
DRIFT14,12,365,0.273052282871,0.754109589041,1.21851983442,1.98671175134,0.830136986301,1.5639532759,2.6325670649,0.869178082192,1.86356527051,3.45253047099,0.350816070285,0.461473265549,0.468781839078
DRIFT14,13,364,0.306081319543,0.750686813187,1.36683086242,2.23527616304,0.828983516484,1.75430841951,2.97270892576,0.868818681319,2.09038741423,3.91937108524,0.391792550559,0.515705313443,0.52380376978
DRIFT14,14,363,0.3404383967,0.753443526171,1.52175029602,2.49469551576,0.827134986226,1.9531453599,3.32918286159,0.869834710744,2.32731624216,4.41793323781,0.434239396719,0.571970079255,0.580869470553
DRIFT14,15,362,0.376065727724,0.756215469613,1.68313383925,2.76391095185,0.832872928177,2.16027889518,3.70380724278,0.869475138122,2.57413107266,4.94485056316,0.478078485227,0.630177672216,0.639884930777
DRIFT14,16,361,0.412911919943,0.754155124654,1.85083330456,3.04334371774,0.83379501385,2.37551882869,4.10089986594,0.869113573407,2.83060527243,5.49830905536,0.523278406621,0.690237111907,0.700754973986
DRIFT14,17,360,0.450933369283,0.7625,2.02469682239,3.33448285596,0.834722222222,2.59867023796,4.51589739983,0.863888888889,3.09650657702,6.07797699676,0.569696343261,0.752056581374,0.763383534015
DRIFT14,18,359,0.490094305041,0.765320334262,2.20456904113,3.64011453312,0.83426183844,2.82953373135,4.94856518888,0.862813370474,3.37159739664,6.6812005733,0.617298570824,0.815543699492,0.827673951944
DRIFT14,19,358,0.530365421401,0.766061452514,2.39029169804,3.95841149677,0.831703910615,3.06790618084,5.39714171147,0.861033519553,3.65563568932,7.30426276291,0.666005924311,0.880605811212,0.893529292493
DRIFT14,20,357,0.571721377224,0.767507002801,2.58170499508,4.28708660201,0.828431372549,3.31358248786,5.86037320872,0.858543417367,3.94837706505,7.95167172734,0.715754671527,0.947150291471,0.960852675394
DRIFT14,21,356,0.614138017612,0.76404494382,2.77864969484,4.62571644959,0.825842696629,3.56635827341,6.33661124751,0.855337078652,4.2495779912,8.61504763621,0.766342386626,1.01508485544,1.02954761394
DRIFT14,22,355,0.657590335341,0.764788732394,2.98096973815,4.97256624726,0.82323943662,3.82603323773,6.82614922705,0.852112676056,4.55899979593,9.29980868635,0.817913870325,1.08431786748,1.09951835269
DRIFT14,23,354,0.70205182117,0.765536723164,3.18851603894,5.32859663865,0.823446327684,4.09241603088,7.32898164883,0.850988700565,4.87641447169,10.0040505692,0.870242978954,1.15475864217,1.17067019704
DRIFT14,24,353,0.747495200245,0.764164305949,3.40115152374,5.69289382341,0.81940509915,4.36533072102,7.84460869559,0.849858356941,5.20161238277,10.7269105818,0.923264599612,1.22631773119,1.24290982843
DRIFT14,25,352,0.79389384879,0.764914772727,3.61875552665,6.06635440073,0.819602272727,4.64462243509,8.3727370575,0.846590909091,5.53440898656,11.4675980604,0.97701363809,1.29890719061,1.31614559899
DRIFT14,26,351,0.841222959179,0.764245014245,3.8412278417,6.44688403434,0.819088319088,4.93016256016,8.9127499753,0.844729344729,5.87465103126,12.2263022592,1.0313218528,1.37244082292,1.3902877999
DRIFT14,27,350,0.889459573534,0.762142857143,4.06849288441,6.83573146703,0.817857142857,5.22185408459,9.46637302185,0.843571428571,6.22222292039,13.003015998,1.08628866781,1.44683438849,1.46524889765
DRIFT14,28,349,0.938581090228,0.761461318052,4.30050398497,7.23226672148,0.817335243553,5.51963710831,10.0349736235,0.840257879656,6.57705327864,13.7970702488,1.14163877321,1.52200578073,1.54094373225
DRIFT14,29,348,0.988562720435,0.760057471264,4.53724793931,7.63643784626,0.815373563218,5.82349468411,10.6143224322,0.83908045977,6.93912191212,14.607632006,1.1975300497,1.5978750975,1.61728961545
DRIFT14,30,347,1.03937525858,0.758645533141,4.77874965531,8.04893162146,0.812680115274,6.13345878087,11.2057138566,0.837175792507,7.30846691413,15.4341381799,1.25381275749,1.67436465134,1.69420639167
DRIFT3,1,376,0.00362688637969,0.77460106383,0.0163688248747,0.0246130951751,0.851063829787,0.0210091592784,0.0306715806561,0.894281914894,0.0250339573422,0.0367271101785,0.00489381890332,0.00642996510468,0.00654819209496
DRIFT3,2,375,0.00909222199175,0.770666666667,0.0409310779114,0.0621792540848,0.849333333333,0.0525344697534,0.0780062999988,0.892,0.0625986817164,0.094387175712,0.0122224404857,0.0160567234827,0.0163527373359
DRIFT3,3,374,0.016405918932,0.770053475936,0.0736749027884,0.113023985216,0.845588235294,0.0945607140009,0.142743390454,0.889705882353,0.112676040444,0.174479423948,0.0219745111525,0.0288561340249,0.0293892314256
DRIFT3,4,373,0.025574747125,0.767426273458,0.11457951058,0.177417473951,0.843163538874,0.147061209723,0.225551638539,0.88471849866,0.175234239605,0.27839728929,0.0341189655559,0.0447968225926,0.0456256901524
DRIFT3,5,372,0.0366014923021,0.765456989247,0.163615314973,0.255614931598,0.842741935484,0.209997983299,0.327036790765,0.885080645161,0.25022803084,0.407599719023,0.0486280432568,0.0638406204539,0.0650230028098
DRIFT3,6,371,0.0494836183348,0.764150943396,0.220742755076,0.347813852894,0.838274932615,0.283320258873,0.447706769529,0.882075471698,0.337596910986,0.562914750878,0.0654784192882,0.0859426165272,0.0875350046745
DRIFT3,7,370,0.0642117308323,0.761486486486,0.285910396682,0.454134707943,0.837837837838,0.366962021357,0.587720688651,0.877027027027,0.437262218211,0.745332244392,0.08460540563,0.111051181207,0.113108520938
DRIFT3,8,369,0.0807682401302,0.760840108401,0.359055994844,0.574596505693,0.835365853659,0.460843380225,0.747220023865,0.875338753388,0.549128757085,0.954738361822,0.105968909731,0.13910796958,0.141683390182
DRIFT3,9,368,0.0991266210589,0.762907608696,0.440109151026,0.708976662177,0.833559782609,0.564873979933,0.926047015696,0.872282608696,0.673088862336,1.19102431508,0.129537938838,0.170048292065,0.17319285506
DRIFT3,10,367,0.119252299036,0.756811989101,0.528992017918,0.857311888826,0.8310626703,0.678953904544,1.12400246246,0.870572207084,0.80902347678,1.45434442961,0.155212831299,0.203803273513,0.20756573021
DRIFT3,11,366,0.1411043399,0.756830601093,0.625619497125,1.0189892095,0.82718579235,0.802973931447,1.34060940346,0.870218579235,0.956802453649,1.74384476731,0.182950430494,0.240302147355,0.244728686171
DRIFT3,12,365,0.164637390155,0.757534246575,0.729899363529,1.1935135276,0.828767123288,0.936815690986,1.57558381511,0.867808219178,1.1162847468,2.05931573488,0.212734570961,0.279473654598,0.284607635359
DRIFT3,13,364,0.189802494318,0.753434065934,0.841732369584,1.38093669004,0.828296703297,1.08035180032,1.82841591551,0.868131868132,1.28731857021,2.40203968316,0.244431541575,0.321244439455,0.327126142119
DRIFT3,14,363,0.216549214964,0.754132231405,0.961012348337,1.58029987392,0.82782369146,1.23344599562,2.09902848954,0.86914600551,1.46974155553,2.77644099449,0.278006890001,0.365538522657,0.372204912877
DRIFT3,15,362,0.244828207728,0.754834254144,1.08762634629,1.79112415978,0.832872928177,1.39595330267,2.38857149444,0.865331491713,1.6633809553,3.17797633665,0.313469378564,0.412277397413,0.419761905625
DRIFT3,16,361,0.274593381551,0.754847645429,1.22145480496,2.0138066272,0.834487534626,1.56772026979,2.70069805821,0.864265927978,1.86805392059,3.60560398804,0.350618340207,0.461380159081,0.469712473427
DRIFT3,17,360,0.305803341121,0.758333333333,1.36237177049,2.24856412345,0.831944444444,1.74858523699,3.03056191934,0.861111111111,2.08356782163,4.05874544275,0.389457559634,0.512763658096,0.521969531789
DRIFT3,18,359,0.338421975917,0.761142061281,1.51024512934,2.49916764167,0.82938718663,1.93837863834,3.37766276702,0.862813370474,2.30972060814,4.54001012195,0.430002825831,0.566342671097,0.576443745042
