arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,v1.1-e0,prediction,MJ3,interval_score_95_mm,491.6077796731494,356.11239506635343,-135.495384606796,-0.27561684377102724
TIME_ONLY,v1.1-e0,prediction,MJ1,mae_mm,33.00210298445225,30.247163690786262,-2.7549392936659878,-0.08347768913283732
TIME_ONLY,v1.1-e0,prediction,MJ1,rmse_mm,40.249869223585414,38.2942989625635,-1.9555702610219114,-0.04858575440727137
TIME_ONLY,v1.1-e0,prediction,MJ1,crps_mm,26.79504843175212,24.15751301387719,-2.6375354178749326,-0.09843368727594663
TIME_ONLY,v1.1-e0,prediction,MJ1,coverage_80,0.21808510638297873,0.05053191489361702,-0.1675531914893617,-0.7682926829268293
TIME_ONLY,v1.1-e0,prediction,MJ1,width_80_mm,33.89350009961388,28.46286732186306,-5.430632777750819,-0.1602263785619676
TIME_ONLY,v1.1-e0,prediction,MJ1,interval_score_80_mm,214.32216949345437,188.69534971415905,-25.626819779295317,-0.11957148362142717
TIME_ONLY,v1.1-e0,prediction,MJ1,coverage_90,0.2872340425531915,0.1276595744680851,-0.15957446808510642,-0.5555555555555556
TIME_ONLY,v1.1-e0,prediction,MJ1,width_90_mm,43.50183614124873,36.531695231260635,-6.970140909988096,-0.16022636118982025
TIME_ONLY,v1.1-e0,prediction,MJ1,interval_score_90_mm,331.97105584598455,276.7957573420424,-55.175298503942145,-0.16620514810646717
TIME_ONLY,v1.1-e0,prediction,MJ1,coverage_95,0.3696808510638298,0.48936170212765956,0.11968085106382975,0.3237410071942445
TIME_ONLY,v1.1-e0,prediction,MJ1,width_95_mm,51.83563567929687,43.530199669139854,-8.305436010157017,-0.16022637518216457
TIME_ONLY,v1.1-e0,prediction,MJ1,interval_score_95_mm,516.5515044442226,411.80971765308385,-104.74178679113874,-0.20277123556891855
TIME_ONLY,BPLUS_GP_V1,train,ATU1,mae_mm,5.033195944368387e-05,7.81807261702645e-05,2.7848766726580638e-05,0.5533018589856502
TIME_ONLY,BPLUS_GP_V1,train,ATU1,rmse_mm,0.00015078351022838153,0.00025709791177729046,0.00010631440154890894,0.7050797622888719
TIME_ONLY,BPLUS_GP_V1,train,ATU1,crps_mm,0.004003626991369121,0.0040063637892398815,2.7367978707604906e-06,0.0006835796333325716
TIME_ONLY,BPLUS_GP_V1,train,ATU1,coverage_80,1.0,1.0,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,ATU1,width_80_mm,0.04390489161304101,0.04392386315158769,1.8971538546679045e-05,0.0004321053497611632
TIME_ONLY,BPLUS_GP_V1,train,ATU1,interval_score_80_mm,0.04390489161304101,0.04392386315158769,1.8971538546679045e-05,0.0004321053497611632
TIME_ONLY,BPLUS_GP_V1,train,ATU1,coverage_90,1.0,1.0,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,ATU1,width_90_mm,0.05635131853871872,0.056375668828010525,2.435028929180516e-05,0.000432115697081235
TIME_ONLY,BPLUS_GP_V1,train,ATU1,interval_score_90_mm,0.05635131853871872,0.056375668828010525,2.435028929180516e-05,0.000432115697081235
TIME_ONLY,BPLUS_GP_V1,train,ATU1,coverage_95,1.0,1.0,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,ATU1,width_95_mm,0.0671467374800874,0.06717575259036587,2.9015110278474143e-05,0.00043211496741861325
TIME_ONLY,BPLUS_GP_V1,train,ATU1,interval_score_95_mm,0.0671467374800874,0.06717575259036587,2.9015110278474143e-05,0.00043211496741861325
TIME_ONLY,BPLUS_GP_V1,train,ATU5,mae_mm,0.00011915163438698379,0.00016183451526339854,4.268288087641475e-05,0.35822320940884594
TIME_ONLY,BPLUS_GP_V1,train,ATU5,rmse_mm,0.00035923846545340635,0.000557247210105313,0.00019800874465190666,0.5511902641104802
TIME_ONLY,BPLUS_GP_V1,train,ATU5,crps_mm,0.0054880624527856876,0.005492211121467931,4.148668682243083e-06,0.0007559441456678865
TIME_ONLY,BPLUS_GP_V1,train,ATU5,coverage_80,1.0,1.0,0.0,0.0
