seed,phase,quantity,axis,unit,samples,signed_mean,mean_absolute,rms,max_absolute
1,prediction,basal_reaction,O1_up,original_generalized_reaction,24064,1154.8239127002405,1154.8239127002405,1176.0652373927328,1620.1405374598414
1,prediction,basal_reaction,O1_down,original_generalized_reaction,24064,42.45199249538083,114.86184337301479,144.83136089660343,324.8414293968103
1,prediction,contact_reaction,O3,original_generalized_reaction,24064,-0.0019849146847898454,0.0019849146847898454,0.002283921821885859,0.004550655280983751
1,prediction,contact_reaction,O2,original_generalized_reaction,24064,8.3775129357009,8.595125662813949,14.219613646975843,35.45877799628325
1,prediction,contact_reaction,O1_up,original_generalized_reaction,24064,-7.563996403009627,7.784976185638764,12.906353732947927,32.21946102628554
1,prediction,contact_reaction,O1_down,original_generalized_reaction,24064,-0.7789314356673157,0.7853237467280711,1.2637992679795578,3.118154507027822
1,prediction,bulk_reaction,O3,original_generalized_reaction,24064,1.3186042000752597e-25,1.3186042000752597e-25,1.4191087964903795e-25,2.3359080603212143e-25
1,prediction,bulk_reaction,O2,original_generalized_reaction,24064,4.710176626475688e-26,4.710176626475688e-26,5.088502653107429e-26,8.517583392253648e-26
1,prediction,bulk_reaction,O1_up,original_generalized_reaction,24064,1460.9855136352685,1460.9855136352685,1488.128270251078,1939.777241486223
1,prediction,bulk_reaction,O1_down,original_generalized_reaction,24064,-1460.9855136352685,1460.9855136352685,1488.128270251078,1939.777241486223
1,prediction,background,O3,mm,24064,0.0,0.0,0.0,0.0
1,prediction,background,O2,mm,24064,0.0,0.0,0.0,0.0
1,prediction,background,O1_up,mm,24064,0.0,0.0,0.0,0.0
1,prediction,background,O1_down,mm,24064,0.0,0.0,0.0,0.0
1,prediction,observed_mean,ATU1,mm,376,158.6525108564144,158.6525108564144,171.70985970931127,286.94333979617045
1,prediction,observed_mean,ATU5,mm,376,183.24328819276266,183.24328819276266,198.89567602699574,337.0345065737232
1,prediction,observed_mean,MJ3,mm,376,128.3211405717042,128.3211405717042,131.3638179398626,172.00351503757292
1,prediction,observed_mean,MJ1,mm,376,61.601087402939974,61.601087402939974,63.25050980554291,83.11115968071499
2,train,motion,O3,mm,48768,3.192990695581791,47.08777888680528,55.39763677296988,116.65948853039083
2,train,motion,O2,mm,48768,7.320551248648474,46.70823873786242,55.12923014945817,118.74670618176137
2,train,motion,O1_up,mm,48768,6.400776978552953,30.282660430207972,35.6494631710075,71.33502709818038
2,train,motion,O1_down,mm,48768,0.8743211176147917,1.780306086248782,2.4201846683058874,4.974297406678918
2,train,plastic,O3,mm,48768,3.232551595160618,47.13293843229193,55.4358288747288,117.54989567502045
2,train,plastic,O2,mm,48768,7.369130732190372,46.76600987943406,55.17896401700792,119.25348290632382
2,train,plastic,O1_up,mm,48768,11.410833919412942,42.3406037807792,49.70577537390411,97.51524838803931
2,train,plastic,O1_down,mm,48768,0.8116435860363445,1.9718095826306155,2.650671636939604,6.3985513969179335
2,train,basal_reaction,O3,original_generalized_reaction,48768,1.8789036620713355,32.27947873601292,38.09234068007917,81.81349954721871
