artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,scope,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,ATU2,O3,34,0.04929238775,0.02764261568,0.04929238775,0.6764705882,0.1235294118,0.5882352941,0.06307337272,0.2754820804,0.007690056329,0.02464619388,0.01985815171,0.01739813397,1.21134106,0,0.2941176471,0.5,0.05882352941,0.1470588235
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,ATU1,O3,34,0.03985515432,-0.008587618378,0.05895548821,0.6764705882,0.1235294118,0.6764705882,0.0971191843,0.3873134138,0.008703298567,0.02947774411,0.03002804281,0.02273636183,-0.2452342232,0.5588235294,0.08823529412,0.02941176471,0.1470588235,0.1764705882
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station_macro,all,all,272,0.002089630901,-0.0129223375,0.07071036225,0.4191176471,0.3808823529,0.4117647059,0.09256623909,0.4517549469,0.02296647448,0.03535518112,0.02220902021,0.0268435586,0.0547807498,0.5036764706,0.08088235294,0.1360294118,0.1985294118,0.08088235294
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,overall_micro,all,all,272,0.001430120481,-0.01167116254,0.0754372286,0.8455882353,0.04558823529,0.8639705882,0.4394981378,0.5698924144,0.0319311077,0.0377186143,0.02505813374,0.03156928525,-0.08058840352,0.5441176471,0.4558823529,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,MJ9,O1,34,-0.03084359163,-0.02540182586,0.03508202419,0.5882352941,0.2117647059,0.6470588235,0.08681615037,0.2055735663,0.01188947166,0.01754101209,0.008667884971,0.01269945624,-0.7872115408,0.8823529412,0.1176470588,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,MJ1,O1,34,-0.1620264399,-0.1753255943,0.1620264399,0.1764705882,0.6235294118,0.2647058824,0.2371971752,1.161593972,0.08367704379,0.08101321994,0.03248235338,0.0657242057,-1.889126968,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,MJ3,O1,34,-0.03144330563,-0.02153081165,0.03144330563,1,0.2,1,0.176615769,0.176615769,0.003806260131,0.01572165281,0.01385531676,0.01112774324,-0.3292227331,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,ATU4,O2,34,0.06345784898,0.05083269451,0.06345784898,1,0.2,1,0.4087812611,0.4087812611,0.02393454869,0.03172892449,0.01694357742,0.0242023502,0.335920642,0,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,ATU5,O2,34,0.1203065465,0.1048294236,0.1203065465,1,0.2,1,0.6262368336,0.6262368336,0.03748503571,0.06015327325,0.02513864765,0.0409256522,0.4615416651,0,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,ATU3,O2,34,-0.02273422226,-0.04792456024,0.07866477421,1,0.2,1,0.7223439797,0.7223439797,0.02845455434,0.03933238711,0.04377984363,0.03718892836,-0.1850761285,0.8529411765,0.1470588235,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,ATU2,O3,34,0.0517322073,0.02996657271,0.0517322073,1,0.2,1,0.4953158982,0.4953158982,0.02685395171,0.02586610365,0.0226776381,0.02513256449,0.1668770737,0,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,station,ATU1,O3,34,0.02299192046,-0.02416929529,0.06078468215,1,0.2,1,0.7626780356,0.7626780356,0.03934799553,0.03039234107,0.03691980802,0.03555338154,-0.08789961071,0.6176470588,0.3823529412,0,0,0
