phase,scenario,model,probability_model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,past_only_main,DRIFT1,DRIFT1_G,2,ATU1,375,0.009736564059222,0.0123976743700484,0.0069797556626101,0.754666666666667,0.0309327538894844,0.0450883683869594,0.872,0.0397017598001194,0.0535122362004201,0.930666666666667,0.0473075646708515,0.0614397414608414
development,past_only_main,DRIFT1,DRIFT1_G,2,ATU5,375,0.0068836215496718,0.0086660189437732,0.0052133130543458,0.797333333333333,0.0264010748144804,0.0357219705425014,0.877333333333333,0.033885412675967,0.0444538413794429,0.92,0.0403769596017264,0.0527738454607061
development,past_only_main,DRIFT1,DRIFT1_G,2,MJ3,375,0.0056240517379149,0.007360126680468,0.0041320520718021,0.784,0.018553653194101,0.0282095425905063,0.853333333333333,0.0238133560677707,0.0347019377786673,0.896,0.0283753639102494,0.0414201096211169
development,past_only_main,DRIFT1,DRIFT1_G,2,MJ1,375,0.0070829860074433,0.0101339733666038,0.0055691832863519,0.781333333333333,0.0247380767873074,0.0406744642299115,0.824,0.0317509778158025,0.0545862955041042,0.853333333333333,0.0378336235961803,0.0709851111682116
development,past_only_main,DRIFT1,DRIFT1_G,3,ATU1,374,0.0194641215448714,0.0247761924821231,0.0139746697367916,0.754010695187166,0.0618212997610845,0.0905047650766769,0.871657754010695,0.079346779223553,0.107921934038514,0.927807486631016,0.0945475190127716,0.125616984737653
development,past_only_main,DRIFT1,DRIFT1_G,3,ATU5,374,0.0137502720261487,0.0173210371690149,0.0104973342176786,0.783422459893048,0.0533868310235679,0.0726075974692079,0.874331550802139,0.0685212557976443,0.0907855545373359,0.914438502673797,0.0816481122321814,0.108559870407575
development,past_only_main,DRIFT1,DRIFT1_G,3,MJ3,374,0.0112334951794525,0.0146905120254864,0.0082842863187984,0.77807486631016,0.0368876815216882,0.0569279986130254,0.844919786096257,0.0473448266710897,0.0703576003266062,0.890374331550802,0.0564148405725394,0.0844461755097635
development,past_only_main,DRIFT1,DRIFT1_G,3,MJ1,374,0.0141434880409092,0.0202321431238997,0.0111564929520802,0.780748663101604,0.0493508486951138,0.0822965946130733,0.823529411764706,0.0633411285598887,0.111583561946397,0.8475935828877,0.0754756099164956,0.147378975415375
development,past_only_main,DRIFT1,DRIFT1_G,4,ATU1,373,0.0324165833216104,0.041241191864994,0.0233074164497804,0.756032171581769,0.102918722589726,0.151351605916917,0.873994638069705,0.132094750366901,0.181532272469951,0.922252010723861,0.15740060332649,0.213620810422712
development,past_only_main,DRIFT1,DRIFT1_G,4,ATU5,373,0.0228827997853008,0.0288382880794154,0.0176079458504232,0.785522788203753,0.0899430835690391,0.122875198787765,0.871313672922252,0.115440697983045,0.154455258279352,0.911528150134048,0.13755607592651,0.186443678762024
development,past_only_main,DRIFT1,DRIFT1_G,4,MJ3,373,0.0186996798084764,0.024426979339915,0.0138354205654403,0.772117962466488,0.0610959724272984,0.0956781936946493,0.836461126005362,0.0784158316692181,0.118837249973427,0.890080428954424,0.0934382265820787,0.143131466554855
