phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,C8_STATIC_FULL,2,375,0.00101581150238,0.00228478366855,0.00275612536389,0.995333333333,0.0278761128785,0.0286828822398,0.995333333333,0.0357786035352,0.0370313177257,0.998,0.04263283565,0.0447215689369,0.00303705852814,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,3,374,0.00250413110663,0.00553570071126,0.00382569650639,0.980614973262,0.0339223057143,0.0370799065807,0.989973262032,0.0435388080269,0.0484087116856,0.993983957219,0.0518796896358,0.0599444005521,0.00740619440105,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,4,373,0.0049864638053,0.0108815189159,0.00591001907628,0.968498659517,0.0454324699275,0.053927517513,0.982573726542,0.0583119438584,0.0716173508637,0.985254691689,0.0694829667262,0.0917114261588,0.014617161338,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,5,372,0.00867391660936,0.0186736532968,0.00918504481916,0.952956989247,0.0632582095951,0.0809389016983,0.970430107527,0.0811910330294,0.109265502157,0.980510752688,0.0967450829653,0.1444844392,0.0250885959804,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,6,371,0.0137471401924,0.0290205354272,0.013829520281,0.933962264151,0.0879617156051,0.119036562311,0.958221024259,0.112897639733,0.163314250715,0.969002695418,0.13452583512,0.220716532354,0.0388333008541,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,7,370,0.0202373564865,0.0418920685768,0.0197927533334,0.916216216216,0.119202674449,0.168132502248,0.949324324324,0.152994976309,0.233043176543,0.961486486486,0.182304758593,0.320185617605,0.0556644081743,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,1,376,0.00244547963388,0.00321566365081,0.00420134685932,1,0.0428220993976,0.0428220993976,1,0.0549615695549,0.0549615695549,1,0.0654907495088,0.0654907495088,0.0032754302856,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,2,375,0.00733180583856,0.00963944834022,0.0111881458725,0.960666666667,0.106823629354,0.10965161913,0.973333333333,0.137106643939,0.140164389672,0.984666666667,0.163372642865,0.166553726994,0.0098192552552,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,3,374,0.0146478441978,0.0192549712001,0.0224925403697,0.951203208556,0.214373870964,0.220628883568,0.969251336898,0.275145884613,0.282031153804,0.979278074866,0.327856543282,0.335173573779,0.0196152287871,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT1,4,373,0.0243833981178,0.0320385218401,0.0377303263981,0.950402144772,0.359899401027,0.370767218668,0.968498659517,0.461925880342,0.474277625904,0.977211796247,0.550418635532,0.564179923985,0.0326394047151,historical_native_scale_not_main_ranking
