fit_days,part,band,station,seed,count,H_correction_mean_mm,H_correction_rms_mm,H_rmse_mm,H_mae_mm,H_bias_mm,H_active_count,H_wrong_direction_count,H_mse_minus_P0_mm2,H_mse_identity_mm2,H0_correction_mean_mm,H0_correction_rms_mm,H0_rmse_mm,H0_mae_mm,H0_bias_mm,H0_active_count,H0_wrong_direction_count,H0_mse_minus_P0_mm2,H0_mse_identity_mm2,history_effect_mean_mm,history_effect_rms_mm,history_effect_max_abs_mm,H_minus_H0_rmse_mm,H_minus_H0_mae_mm,H_minus_H0_mse_mm2,history_mse_identity_mm2
432,training_pairs,1_30,ATU5,ensemble,85,-0.3505439379535322,4.034670703819699,0.7550811706805832,0.5973440356993979,0.0564371922799427,85,7,-16.736112511682446,-16.736112511682443,-0.5931277530196143,3.9339802861847035,0.9069517044955379,0.6978741395208331,-0.18614662278613936,85,7,-16.483698691711442,-16.483698691711446,0.24258381506608215,0.5358435029100275,1.3112845552807375,-0.15187053381495463,-0.10053010382143523,-0.2524138199710015,-0.2524138199710015
432,training_pairs,1_30,MJ3,0,85,-0.5906162178177283,6.509024173855885,1.1557999651087145,0.8571652402278667,-0.1614398420933452,85,3,-40.811733291414555,-40.81173329141456,-0.8567292243829338,5.94869819050346,1.2602605604614072,1.0462960451053236,-0.4275528486585505,85,1,-40.55935017050536,-40.559350170505354,0.2661130065652053,1.0374353991862717,3.1007303165350137,-0.1044605953526927,-0.18913080487745693,-0.2523831209091949,-0.2523831209091949
432,training_pairs,1_30,MJ3,1,85,-0.5627646029138043,6.2906701487236205,0.8711250521593955,0.6766489279601148,-0.13358822718942126,85,2,-41.38874799426016,-41.38874799426015,-0.8590285205813046,6.213389039910233,1.188324724721941,0.951985238771728,-0.4298521448569214,85,6,-40.73549119937439,-40.73549119937439,0.29626391766750027,0.8878158524132498,2.4043509302801507,-0.31719967256254555,-0.27533631081161325,-0.6532567948857676,-0.6532567948857676
432,training_pairs,1_30,MJ3,2,85,-0.4875677228056234,6.539610057356217,0.8678009622793733,0.6836915146122368,-0.058391347081240164,85,3,-41.394528340626856,-41.39452834062685,-0.6545866340522906,6.350633660784879,1.0435742368161802,0.8270227683054203,-0.22541025832790754,85,2,-41.05855966301339,-41.05855966301339,0.16701891124666737,0.8393938412540487,3.575163976040293,-0.1757732745368069,-0.14333125369318356,-0.3359686776134665,-0.3359686776134665
432,training_pairs,1_30,MJ3,ensemble,85,-0.5469828478457186,6.419076152609844,0.7648530505558806,0.5650629457258832,-0.11780647212133555,85,2,-41.56260666181523,-41.56260666181523,-0.7901147930055097,6.141553102875958,0.9868606198872366,0.7995962264928731,-0.3609384172811265,85,2,-41.17371296767564,-41.173712967675634,0.24313194515979103,0.682667262282826,2.148931028909182,-0.22200756933135601,-0.23453328076698987,-0.3888936941395843,-0.3888936941395843
432,training_pairs,1_30,MJ1,0,85,1.388521517503064,8.15922774963843,0.809241949172915,0.6748737178727802,0.05545577490555692,85,7,-66.81296725776915,-66.81296725776916,1.1343670822686478,7.763859611090278,1.1311560168426085,0.9508163030835178,-0.19869866032885944,85,11,-66.18832585563109,-66.1883258556311,0.25415443523441633,0.9091630839273697,2.6617817031633093,-0.32191406766969344,-0.27594258521073767,-0.6246414021380571,-0.6246414021380571
432,training_pairs,1_30,MJ1,1,85,1.309217871157288,8.1339526695352,0.9273983905926335,0.7137760784486973,-0.02384787144021939,85,4,-66.60777201519652,-66.60777201519653,1.1500703985431415,7.86160735483946,1.2583014583429297,0.9998218113982159,-0.1829953440543655,85,7,-65.88451723000239,-65.88451723000239,0.1591474726141461,0.9371746279171407,2.3710381613767595,-0.3309030677502962,-0.2860457329495186,-0.723254785194136,-0.723254785194136
432,training_pairs,1_30,MJ1,2,85,1.2247446374750381,8.056735363664561,0.8038591402920192,0.5940672822104257,-0.10832110512246883,85,5,-66.8216502726393,-66.82165027263932,1.0290169977777488,7.844255220199101,1.1701235688943106,0.9080506784905882,-0.3040487448197584,85,6,-66.09865062358837,-66.09865062358838,0.19572763969728957,0.8416749059631462,2.77334563730669,-0.36626442860229136,-0.3139833962801625,-0.7229996490509345,-0.7229996490509345
432,training_pairs,1_30,MJ1,ensemble,85,1.307494675378463,8.096148177117705,0.621505570185094,0.4736773383207269,-0.025571067219043887,85,5,-67.08157061629923,-67.08157061629925,1.1044848261965126,7.7930668396642515,0.9683270352188521,0.8066823434001156,-0.22858091640099454,85,6,-66.5301825429346,-66.53018254293461,0.20300984918195059,0.6879757528122813,1.5012455015848216,-0.3468214650337581,-0.3330050050793887,-0.5513880733646334,-0.5513880733646334
432,training_pairs,31_90,ATU1,0,48,-1.8438074095818386,9.46168869081689,1.7624735504236533,1.2580060056145352,-0.07120519056018963,48,2,-97.90862227120206,-97.90862227120208,-1.4783740972817334,9.442696500452515,1.6942446785402325,1.3034132935564517,0.2942281217399155,48,2,-98.14447025638313,-98.14447025638312,-0.36543331230010506,1.3665173403757918,3.2148789113775926,0.06822887188342075,-0.04540728794191651,0.23584798518106176,0.23584798518106173
432,training_pairs,31_90,ATU1,1,48,-1.6519448969981365,9.880732642321176,1.713390522314911,1.2291304675412078,0.12065732202351247,48,0,-98.07922820518645,-98.07922820518645,-1.6326119602693778,9.803494613714768,1.8835327765628362,1.3988424166847377,0.1399902587522712,48,2,-97.46723956675851,-97.46723956675851,-0.019332936728758746,0.8530674169694041,2.260553928600004,-0.17014225424792517,-0.16971194914352994,-0.6119886384279424,-0.6119886384279423
432,training_pairs,31_90,ATU1,2,48,-1.6176758097771222,9.49587286909107,1.3953282311968314,1.1525079205816342,0.15492640924452658,48,1,-99.06799441437015,-99.06799441437015,-1.3935025282291704,9.766380481149055,1.5197701568787605,1.1994972787693763,0.37909969079247846,48,3,-98.70523395740572,-98.70523395740572,-0.22417328154795194,1.0757164962104073,4.212847904572056,-0.12444192568192913,-0.04698935818774208,-0.3627604569644147,-0.3627604569644148
