origin,seed,step,bin,mae,rmse,bias,mse,error_variance
792,2,200,h091_180,42.672375180629395,43.360536265677425,42.672375180629395,2699.0765265955306,77.28628427153652
792,2,200,h181_293,58.15403229102787,58.5838990122318,58.10512325063365,5418.1802921771905,38.900231070804324
792,2,200,all,40.90144557945547,45.06536330063988,40.862419089793626,3089.8085900696824,536.5157240897202
792,2,400,h001_030,14.006103716847552,15.187200766893007,13.634776009683819,374.90918113730464,53.474477370511764
792,2,400,h031_090,32.44591964691529,33.076709396377126,31.444733161766965,1834.7850736361804,61.36160166442931
792,2,400,h091_180,47.51138555064034,47.837234940529704,47.02627049722813,4051.865209248858,36.75709992461761
792,2,400,h181_293,56.018892131209,56.707942468031355,52.99847710983348,5859.949365402657,46.7152019927229
792,2,400,all,44.276784302746044,47.13048892371139,42.71986187084726,3918.691218345349,407.878101577168
792,ensemble,0,h001_030,1.3951686396056626,1.603856510248895,-1.3951686396056626,3.358096527581863,0.8349969651663877
792,ensemble,0,h031_090,6.308631363304523,6.573786677854265,-6.308631363304523,48.169835714559476,3.36050385304431
792,ensemble,0,h091_180,11.600247256500587,11.79217001295497,-11.600247256500587,144.77322521998875,4.268100952966019
792,ensemble,0,h181_293,23.313541248784702,23.84830921446526,-23.313541248784702,583.7455505863948,27.11083712808302
792,ensemble,0,all,13.989165034758242,16.546947631287725,-13.989165034758242,279.80809052820007,79.35137568545285
792,ensemble,50,h001_030,9.903745468115584,10.191751728154445,9.903745468115584,119.70818032227353,6.745193886624376
792,ensemble,50,h031_090,11.799056647121148,12.225344020932846,11.799056647121148,179.5919076614649,11.026713417928843
792,ensemble,50,h091_180,17.84240368352576,18.026549431571112,17.84240368352576,393.55449584727387,6.115880054963444
792,ensemble,50,h181_293,14.634771809606367,15.337763323007533,12.190901714806493,328.3672509089257,18.62069892568747
792,ensemble,50,all,14.554953272606054,15.358451754024792,13.612436819662758,296.5602861717384,31.760464798625943
792,ensemble,100,h001_030,7.528634503455685,8.088497420848551,7.528634503455685,84.70824453703794,10.696089977337502
792,ensemble,100,h031_090,13.796217942793845,14.418930061132263,13.789392871049454,275.27213913404626,19.253529238281118
792,ensemble,100,h091_180,25.551015366368407,25.776308407289623,25.551015366368407,854.6462529099102,14.510798840832923
792,ensemble,100,h181_293,26.18546445282173,26.794007841913388,25.91405954709367,1113.7298067443444,23.79240094723417
792,ensemble,100,all,21.54327978775875,23.243375096890112,21.43721064560198,757.0894423486578,96.75614584587836
792,ensemble,200,h001_030,3.8172616400232062,4.4678309389712645,3.6414177578997236,29.823275945772416,7.7890347506735536
792,ensemble,200,h031_090,10.482157685238729,11.00815627898615,9.965108057866692,175.23292671104934,14.639813217124313
792,ensemble,200,h091_180,20.82800708675146,21.144775485882775,20.82111570575609,638.9577397173049,15.235898583093954
792,ensemble,200,h181_293,25.804191187165923,26.24827027125674,24.384565855989944,1091.348653462718,15.523996382000645
792,ensemble,200,all,18.886831236424573,20.82084098641477,18.21332891281196,656.0998917982276,111.65585679009929
792,ensemble,400,h001_030,7.41841448946246,7.987133792454907,7.3007185660961005,98.02564625665575,12.86914479733533
792,ensemble,400,h031_090,14.957167732578805,15.311881316954182,13.527966514143566,353.2746488837493,13.204991694701402
792,ensemble,400,h091_180,23.59522677579139,23.829565990672624,21.963083958765772,864.26160369746,10.795343355037698
792,ensemble,400,h181_293,26.800978039997982,27.23236060538301,21.326918492638328,1077.939158569704,14.209148121911467
792,ensemble,400,all,21.406359819042997,22.907124080471455,18.48914298221347,763.5765104842069,76.89534625631632
972,0,0,h001_030,1.9115457589312235,2.199106066122643,-1.9115457589312235,5.396124774602628,1.2610082389332509
972,0,0,h031_090,7.860858544648921,8.258508452049028,-7.860858544648921,76.80783319244681,7.515876305487302
972,0,0,h091_180,19.838286266573704,20.193712661305135,-19.838286266573704,444.72942975940174,14.181789782038956
972,0,0,h181_293,28.98172195696168,29.05363264914656,-28.98172195696168,909.8684137935446,4.2810736925011925
972,0,0,all,19.076376213567148,21.646670846974693,-19.076376213567148,503.79226338498836,112.63780316913669
972,0,50,h001_030,8.469476791861249,8.935369062147492,8.469476791861249,81.08673198382846,8.181914032888198
972,0,50,h031_090,5.544001801056337,6.009651030637828,5.304056082587181,38.36902580093856,5.934264171938646
972,0,50,h091_180,4.766872963024037,5.253531534259807,-1.189035098767711,29.856138059464648,8.765645325251887
972,0,50,h181_293,9.18144847717409,9.43941089711306,-7.4908037588731755,101.33926080277777,4.414570377138182
972,0,50,all,7.007667769324414,7.8591998072279345,-1.300840665292473,64.4134211728221,49.41637209714251
972,0,100,h001_030,2.9067004401645864,3.7544366795950217,-1.385802627117307,15.975010906763085,11.820709702956526
972,0,100,h031_090,3.01285599356304,3.525572279488058,-2.2896829125967177,14.217146344618932,6.293795639857814
972,0,100,h091_180,7.1797811613512215,7.698146399467905,-7.070787134035967,69.94296648169998,8.772745177412615
972,0,100,h181_293,12.72460552129781,13.119842520122402,-12.686810257956717,230.30259651119627,8.289264929316854
972,0,100,all,8.0274167278054,9.539129504785093,-7.675547627241189,114.85098804436247,37.86153739509908
972,0,200,h001_030,2.3349907133073775,2.914611300274736,-0.8306048381686656,9.195119208908624,6.476115830303735
972,0,200,h031_090,2.689456778048978,3.142787606514937,0.5404248559351331,10.092053590777272,4.999469920941764
972,0,200,h091_180,5.371366376425783,5.8555959398639175,1.148449660655365,47.53639157374751,6.414534136683665
972,0,200,h181_293,11.48368134379755,11.730191553805085,0.4523129896057174,179.1379307766505,4.905231791944653
972,0,200,all,6.868587350886019,8.226957739980431,0.5528299778002626,86.6970587409989,30.599259054866238
972,0,400,h001_030,2.549534462276016,3.1042856187433623,-0.5406912466631448,10.900693439199442,7.529055091153277
972,0,400,h031_090,3.5879958239364695,4.145975472040768,0.30703594220943575,18.125595626901323,8.228182932042259
972,0,400,h091_180,5.806694129895293,6.266482338894075,2.2662373649424357,62.14435164924919,5.9275769160240905
972,0,400,h181_293,11.817912310579548,12.086948739326235,4.036660254269361,237.3449899842343,5.486396553169829
972,0,400,all,7.337175242629808,8.75007816465022,2.2604279546413957,115.45232784109544,36.66148988489058
972,1,0,h001_030,1.9115457589312235,2.199106066122643,-1.9115457589312235,5.396124774602628,1.2610082389332509
972,1,0,h031_090,7.860858544648921,8.258508452049028,-7.860858544648921,76.80783319244681,7.515876305487302
972,1,0,h091_180,19.838286266573704,20.193712661305135,-19.838286266573704,444.72942975940174,14.181789782038956
972,1,0,h181_293,28.98172195696168,29.05363264914656,-28.98172195696168,909.8684137935446,4.2810736925011925
972,1,0,all,19.076376213567148,21.646670846974693,-19.076376213567148,503.79226338498836,112.63780316913669
972,1,50,h001_030,2.5586825729977765,3.2841793753694946,1.5986134046864082,13.083089171788412,7.710207114307574
972,1,50,h031_090,2.1241249132752067,2.5977068508122483,0.08575386564209825,6.984950712361344,5.4293271517493285
972,1,50,h091_180,5.504087808260886,6.029941087130639,-3.6106987053475965,47.80203710495978,9.059002330866125
972,1,50,h181_293,9.791283335388567,10.073026023596245,-9.59039218750912,142.54134655210606,5.18956315393229
972,1,50,all,6.163791439006257,7.383188545125867,-4.626530943995549,72.42643419020375,34.20510741804499
972,1,100,h001_030,2.3121816693823147,2.913741312034042,-1.340946879247142,8.793775302204267,5.566955530712779
972,1,100,h031_090,2.4198762516428576,3.0245729017931593,-1.4226602018572039,9.721619702515916,5.963205745552425
972,1,100,h091_180,5.654768384050105,6.285998514647928,-5.000774127559097,53.41180431684677,9.958828078692651
