origin,seed,step,bin,mae,rmse,bias,normalized_mse,objective_contribution
972,0,400,h031_090,3.584254829620626,4.87141219279712,-0.4487526673112493,0.0010448822978584701,0.00020751906157147863
972,0,400,h091_180,4.132635362345321,5.45040479265698,-0.7391178729292789,0.0015070972030824872,0.0003654991159421224
972,0,400,h181_293,4.90873394911717,6.8317096960586525,-2.2084153347535898,0.002108330670219152,0.0004651556019481808
972,0,400,all,3.9805498581377887,5.6250509033176375,-1.1135569682640156,0.0014504689727505595,0.0011080714201929342
972,1,0,h001_030,4.77481135161844,11.681372316450025,-4.613769162230075,0.0056071130478879475,0.0005798254264494495
972,1,0,h031_090,13.956900752758422,23.04754578933324,-13.918346455698002,0.02268208421582643,0.004264771876438904
972,1,0,h091_180,28.62638900920131,37.054905748583636,-28.62638727058673,0.06777925598231593,0.015936259328740834
972,1,0,h181_293,51.382988211090435,57.86303853134412,-51.382988211090435,0.17907497314243193,0.039032054053872285
972,1,0,all,28.477337776359303,39.895128908417284,-28.44571658172738,0.08114471379225646,0.059812910685501486
972,1,50,h001_030,5.611030424553956,9.671265192820192,-0.45220487849457824,0.003952459179459784,0.00042229924233462335
972,1,50,h031_090,8.346311584180743,15.19022000340337,0.8148369800315662,0.009809947522405467,0.001828906401416743
972,1,50,h091_180,14.396693756780586,22.345488198505166,1.4738645978562324,0.0230477639941626,0.005358995403970056
972,1,50,h181_293,23.858514529013426,31.971945910854593,2.2771334750504852,0.05517788477659973,0.011993302139988463
972,1,50,all,14.501456033067694,23.283024888717172,1.2852819412219163,0.02669505163500157,0.019603503187709887
972,1,100,h001_030,5.967222664275893,10.314644278708133,-4.027923483457965,0.004334186078377553,0.0004657534201067086
972,1,100,h031_090,8.107231486660158,14.130402830383307,-5.419406522852606,0.007891471041433593,0.0014743570385603623
972,1,100,h091_180,11.792957876217717,17.46994992604535,-7.467762549855374,0.012641934109120616,0.0029711951635570466
972,1,100,h181_293,16.969445679764863,22.345267139183832,-11.14019100032316,0.02282906698934224,0.004980555285243788
972,1,100,all,11.61728958911462,17.719905329183803,-7.579265252426573,0.013352428476467787,0.009891860907467905
972,1,200,h001_030,3.9345541012324285,5.929054544538953,-2.4179753473527685,0.0015344757903472147,0.00017889997989803646
972,1,200,h031_090,4.96116285893137,7.7458798374685465,-3.1493799412805297,0.0025260340544140227,0.0004868998886911983
972,1,200,h091_180,6.908571361492389,9.622734733253322,-4.891909879393033,0.004258222152056246,0.0010085112270743256
972,1,200,h181_293,8.797465151674537,11.1051647452019,-7.118187038557273,0.00562691878674236,0.001232493367796596
972,1,200,all,6.578172635235954,9.349834578501588,-4.78136395120582,0.003860954455267982,0.0029068044634601568
972,1,400,h001_030,2.589606350708924,3.90440204104699,0.43068289708005447,0.0006915733372653215,7.82655553220657e-05
972,1,400,h031_090,3.0964556919940724,4.3519368228242445,0.6504262836114525,0.0008580726855899165,0.00017235156580090906
972,1,400,h091_180,3.358034964756997,4.439998137220437,0.9010657168424199,0.001064771018626852,0.0002592099128908653
972,1,400,h181_293,4.103322084330212,5.282644251106916,1.5676878874866595,0.0014966341274932583,0.000328436348451945
972,1,400,all,3.4095456419572896,4.648517272240414,0.9726019410274518,0.0010906956139011838,0.0008382633824657851
972,2,0,h001_030,4.77481135161844,11.681372316450025,-4.613769162230075,0.0056071130478879475,0.0005798254264494495
972,2,0,h031_090,13.956900752758422,23.04754578933324,-13.918346455698002,0.02268208421582643,0.004264771876438904
972,2,0,h091_180,28.62638900920131,37.054905748583636,-28.62638727058673,0.06777925598231593,0.015936259328740834
972,2,0,h181_293,51.382988211090435,57.86303853134412,-51.382988211090435,0.17907497314243193,0.039032054053872285
972,2,0,all,28.477337776359303,39.895128908417284,-28.44571658172738,0.08114471379225646,0.059812910685501486
972,2,50,h001_030,6.455849038890017,9.55567024166449,-1.9244337903394078,0.0038978532972723068,0.0004380407047898859
972,2,50,h031_090,8.169418314188622,12.939574538321816,-2.5514401394381325,0.007280060568758861,0.0013978104559772106
972,2,50,h091_180,11.13448718838005,16.667957279112443,-3.0249204190393413,0.015885284309705518,0.0037361437212748844
972,2,50,h181_293,17.660244812697808,22.932349915032617,-0.8683782574556247,0.03589471556895994,0.007816715025105097
972,2,50,all,11.696944178391607,17.50760020519243,-2.114669864673676,0.01805341663810771,0.013388709907147078
972,2,100,h001_030,7.9755606424001915,12.214457038544428,6.696930184011551,0.0068130778734672316,0.0007215663783593025
972,2,100,h031_090,10.9129177713099,15.75575790934322,8.098444147763043,0.011377719989594911,0.002155086144995806
972,2,100,h091_180,14.107346612419285,18.677013802810567,10.682428640802023,0.01719248402472745,0.004057421416265715
972,2,100,h181_293,16.54224104667702,19.876088187951705,14.224214564713904,0.01788789949858987,0.003910868094035973
972,2,100,all,13.196763846173784,17.8039538894424,10.546774147226072,0.014529830287358323,0.010844942033656796
972,2,200,h001_030,3.0367680802476302,5.5545750752648955,-0.29826069185417636,0.0013434792644624054,0.0001497281298327978
972,2,200,h031_090,5.653196654873186,9.354669697117945,-0.8185186319562154,0.0037202195430232282,0.0007056468337965016
972,2,200,h091_180,7.394673725699267,10.235675795402237,-0.5800194067481668,0.005384941560514119,0.0012695108992983285
972,2,200,h181_293,7.415955314987601,9.472810090335779,0.2827515623736432,0.004032354501378209,0.0008897783233941872
972,2,200,all,6.370972635132332,9.331692950014592,-0.34436945431466665,0.004014801927478011,0.0030146641863218154
972,2,400,h001_030,2.406102882401981,3.9924735334237997,0.4822664631822095,0.0007114249140050396,8.105127147093584e-05
972,2,400,h031_090,3.880107833753696,6.112670818395346,-0.3410258865141241,0.0015621317361850491,0.000301042226763185
972,2,400,h091_180,5.320946360056192,7.237427902956407,-2.6303225030934603,0.0025201856340008565,0.000593304789116757
972,2,400,h181_293,6.156043844283186,7.755487753370051,-4.785621298017611,0.0027153509888236064,0.000593675092399393
972,2,400,all,4.811559712559147,6.824049219216639,-2.2748923970134913,0.0020919923736979107,0.0015690733797502708
1168,0,0,h001_030,4.050365978342606,10.145641804450085,-3.933057420079009,0.0040805545532157355,0.0004347332781066035
1168,0,0,h031_090,12.274444616015348,20.23371043921515,-12.247060521798746,0.016730133063526692,0.0034369216333498083
1168,0,0,h091_180,24.67427737782851,32.30390136328354,-24.67427620574503,0.04873535165306589,0.012882578712314692
