origin,method,seed,point,total_sse,tail_sse,tail_fraction
972,RR_COND,0,MJ1,806344.7152559321,514986.0564196547,0.6386673672886902
972,RR_COND,1,ATU1,419706.8381334054,237203.13153779137,0.5651638476816893
972,RR_COND,1,ATU5,705048.130373962,423712.59666439483,0.6009697471854226
972,RR_COND,1,MJ3,886047.6399113982,607833.3552143535,0.6860052753767674
972,RR_COND,1,MJ1,806344.7152559321,514986.0564196547,0.6386673672886902
972,RR_COND,2,ATU1,419706.8381334054,237203.13153779137,0.5651638476816893
972,RR_COND,2,ATU5,705048.130373962,423712.59666439483,0.6009697471854226
972,RR_COND,2,MJ3,886047.6399113982,607833.3552143535,0.6860052753767674
972,RR_COND,2,MJ1,806344.7152559321,514986.0564196547,0.6386673672886902
972,TiDE_PHYS,ensemble,ATU1,50979.07079993065,35437.58927366075,0.6951399607249993
972,TiDE_PHYS,ensemble,ATU5,11062.82031212864,3612.090862017823,0.32650723415056593
972,TiDE_PHYS,ensemble,MJ3,63244.59368945621,15004.981779917282,0.23725319279612717
972,TiDE_PHYS,ensemble,MJ1,61018.20282228377,37727.69056973081,0.6183022249870772
972,TiDE_PHYS,0,ATU1,46475.30052073743,33576.72327062736,0.7224638225985287
972,TiDE_PHYS,0,ATU5,44206.54412259108,26239.494756669792,0.5935658459051654
972,TiDE_PHYS,0,MJ3,66121.70763425075,18039.62795139775,0.2728245926615075
972,TiDE_PHYS,0,MJ1,234261.09036994682,160312.10614065707,0.684330914226904
972,TiDE_PHYS,1,ATU1,9266.734906902175,3083.1442901906435,0.33271096250894305
972,TiDE_PHYS,1,ATU5,86778.12720265624,57946.396695878895,0.6677534830932049
972,TiDE_PHYS,1,MJ3,7026.917329280937,1329.471152576974,0.18919692523449944
972,TiDE_PHYS,1,MJ1,2531.322852841706,499.15382290160306,0.19719089658644076
972,TiDE_PHYS,2,ATU1,302440.96097540436,188739.644160448,0.6240545048916076
972,TiDE_PHYS,2,ATU5,142058.5497180554,65239.74670495671,0.45924547895525114
972,TiDE_PHYS,2,MJ3,205127.38728881496,68176.04878661082,0.3323595629413463
972,TiDE_PHYS,2,MJ1,91301.209621771,39122.89702508429,0.4285036001949676
972,G_CACHED,ensemble,ATU1,36068.643056969166,18651.084098984335,0.5170996887663779
972,G_CACHED,ensemble,ATU5,6628.677265642702,3693.7995885227047,0.5572453508436969
972,G_CACHED,ensemble,MJ3,512554.71658576926,383334.3735675245,0.7478896616560128
972,G_CACHED,ensemble,MJ1,318405.9536658839,260774.19728630042,0.8189991244948303
972,G_CACHED,0,ATU1,28996.13212149844,17420.793489973967,0.6007971482878492
972,G_CACHED,0,ATU5,30704.743953267287,19495.05478626613,0.6349199594674251
972,G_CACHED,0,MJ3,470586.4314954568,364375.01266934315,0.7742998698696245
972,G_CACHED,0,MJ1,390224.7756493538,322356.071283864,0.8260779207251696
972,G_CACHED,1,ATU1,52500.276015641626,39907.589612371514,0.760140567651143
