phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
later_exploratory,C18_CORE,24,270,0.412309197954,0.884259259259,3.12887863828,4.16158180623,0.507484026937,0.864227028693,1.05591121094
later_exploratory,C18_CORE,25,269,0.45672757957,0.877323420074,3.41917745298,4.64520765546,0.560931253052,0.949192336153,1.15766818536
later_exploratory,C18_CORE,26,268,0.499317672874,0.873134328358,3.6447205532,5.08692991297,0.613106081013,1.03009734306,1.25340684221
later_exploratory,C18_CORE,27,267,0.544321857426,0.867041198502,3.91307377023,5.5799392882,0.664890260268,1.11176376664,1.34999814133
later_exploratory,C18_CORE,28,266,0.590463004615,0.863721804511,4.09245357413,6.06037258034,0.72692413217,1.21465823505,1.47525937837
later_exploratory,C18_CORE,29,265,0.640061311547,0.860377358491,4.34894316779,6.63858942362,0.78291585193,1.3031054472,1.57781916296
later_exploratory,C18_CORE,30,264,0.694720271465,0.857007575758,4.58795705834,7.24381241908,0.848737671629,1.41567336133,1.71074336357
later_exploratory,B_ANCHOR,1,293,0.159801248972,0.904436860068,1.00206756258,1.47585877298,0.193827074323,0.330649785313,0.342727412022
later_exploratory,B_ANCHOR,2,292,0.308110208236,0.895547945205,1.94360614779,2.8195456303,0.373122988091,0.619099500118,0.64444350208
later_exploratory,B_ANCHOR,3,291,0.44987311041,0.895189003436,2.83383172679,4.13363250399,0.544464275265,0.886136598744,0.928147956113
later_exploratory,B_ANCHOR,4,290,0.585245914335,0.890517241379,3.71954965058,5.35247246454,0.708441776255,1.14022503085,1.20103864888
later_exploratory,B_ANCHOR,5,289,0.715239929413,0.890138408304,4.58626026638,6.54046481541,0.864286345773,1.38408977423,1.46458718978
later_exploratory,B_ANCHOR,6,288,0.841257159245,0.891493055556,5.4074981268,7.74356267419,1.01355154838,1.6140105167,1.71550907631
later_exploratory,B_ANCHOR,7,287,0.961929480291,0.890243902439,6.22593251654,8.9413886765,1.15718181693,1.8323077725,1.95552667615
later_exploratory,B_ANCHOR,8,286,1.08027211297,0.886363636364,7.07970091177,10.2361785151,1.29456881022,2.04267967546,2.18752250454
later_exploratory,B_ANCHOR,9,285,1.19675054339,0.884210526316,7.89655873134,11.4830255455,1.42949032383,2.24962077547,2.41616120283
later_exploratory,B_ANCHOR,10,284,1.31382822824,0.881161971831,8.72890620597,12.8148741217,1.56235880583,2.45316473339,2.64140715493
later_exploratory,B_ANCHOR,11,283,1.43250949531,0.879858657244,9.5359570734,14.2488391562,1.69243091928,2.65350111574,2.86313963677
later_exploratory,B_ANCHOR,12,282,1.55111699057,0.882978723404,10.3233272586,15.7777104171,1.82004868431,2.8519672441,3.08181229706
later_exploratory,B_ANCHOR,13,281,1.66691230187,0.883451957295,11.1713573524,17.207910583,1.94514385075,3.04604913342,3.29546692855
later_exploratory,B_ANCHOR,14,280,1.78081134393,0.884821428571,11.9658663489,18.5738827052,2.06802273282,3.23628492294,3.50430652557
later_exploratory,B_ANCHOR,15,279,1.89274272149,0.885304659498,12.8010200279,19.9427447497,2.18806363245,3.42203045525,3.7078249521
later_exploratory,B_ANCHOR,16,278,2.00265243597,0.884892086331,13.6731036057,21.275796203,2.30442958077,3.60231684621,3.90523408715
later_exploratory,B_ANCHOR,17,277,2.1137409334,0.882671480144,14.5625447652,22.7006600371,2.41889651441,3.77688336752,4.09627533973
later_exploratory,B_ANCHOR,18,276,2.22229506008,0.884057971014,15.4273065229,24.0450932189,2.52836923421,3.9451653247,4.28065080124
later_exploratory,B_ANCHOR,19,275,2.32792234847,0.881818181818,16.3754598928,25.3073624073,2.63121651436,4.10651290171,4.45780825793
