origin,method,seed,bin,mae,rmse,bias,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,TiDE_KIN_PREFIX,ensemble,h001_030,2.8193275243969929,3.3252532041747593,0.45526358157279523,,,,,,,,,,
612,TiDE_KIN_PREFIX,ensemble,h031_090,11.968141040325607,13.548909289339626,-7.5373856563906791,,,,,,,,,,
612,TiDE_KIN_PREFIX,ensemble,h091_180,37.172065203301457,38.332586041993672,-36.344825395476192,,,,,,,,,,
612,TiDE_KIN_PREFIX,ensemble,h181_293,63.26922601950448,64.448477817268397,-63.26922601950448,,,,,,,,,,
612,TiDE_KIN_PREFIX,ensemble,all,38.558282241135103,46.08423624150609,-37.061576988850241,,,,,,,,,,
612,TiDE_KIN_PREFIX,0,h001_030,3.796994950627711,4.5608019531161315,1.563816620314018,,,,,,,,,,
612,TiDE_KIN_PREFIX,0,h031_090,12.384189043903273,13.476915779605658,-5.5319346764064132,,,,,,,,,,
612,TiDE_KIN_PREFIX,0,h091_180,30.123228274064161,30.897561829341871,-28.028007875159531,,,,,,,,,,
612,TiDE_KIN_PREFIX,0,h181_293,61.360081749432055,63.33911656900289,-61.360081749432055,,,,,,,,,,
612,TiDE_KIN_PREFIX,0,all,35.842119363497005,43.779460249428141,-33.246455728413459,,,,,,,,,,
612,TiDE_KIN_PREFIX,1,h001_030,2.4712521935607183,2.8358048648170384,-0.60173051743117445,,,,,,,,,,
612,TiDE_KIN_PREFIX,1,h031_090,11.963117756902939,13.690699784531752,-8.8423846262134322,,,,,,,,,,
612,TiDE_KIN_PREFIX,1,h091_180,34.084587957374559,35.34804281432416,-33.26663279174911,,,,,,,,,,
612,TiDE_KIN_PREFIX,1,h181_293,60.04579332340434,61.87704350016152,-60.019466514869549,,,,,,,,,,
612,TiDE_KIN_PREFIX,1,all,36.330075743786345,43.895535040468538,-35.23819679362942,,,,,,,,,,
612,TiDE_KIN_PREFIX,2,h001_030,2.6746208793125335,3.3019185988240198,0.40370464183553256,,,,,,,,,,
612,TiDE_KIN_PREFIX,2,h031_090,12.607233184148408,14.387166511121899,-8.237837666552192,,,,,,,,,,
612,TiDE_KIN_PREFIX,2,h091_180,48.464460122748662,50.937295941429397,-47.739835519519936,,,,,,,,,,
612,TiDE_KIN_PREFIX,2,h181_293,68.560496707290142,71.032436921143216,-68.428129794211827,,,,,,,,,,
612,TiDE_KIN_PREFIX,2,all,44.183652410919606,53.00625702220799,-42.700078444507838,,,,,,,,,,
792,BPLUS_CONTINUOUS,ensemble,h001_030,2.2857899994014299,2.8488755631944054,2.2653260124486656,7.6143098927466575,0.90833333333333333,75.008991503086577,78.313251725783331,0.91666666666666663,96.272998328704503,100.95884553825219,0.91666666666666663,114.71635306398763,121.04210179669012
792,BPLUS_CONTINUOUS,ensemble,h031_090,9.4900459681844005,11.346800640408361,9.2169679784009713,12.141496441239536,0.64166666666666661,75.008991503086591,112.09393874706842,0.66249999999999998,96.272998328704531,161.07150756402942,0.67083333333333339,114.71635306398767,229.09920948593341
792,BPLUS_CONTINUOUS,ensemble,h091_180,26.294111812415835,26.398120627512878,26.294111812415835,26.248102431498751,0.5,75.008991503086577,235.88637273701056,0.5,96.272998328704517,402.2355281544921,0.5,114.71635306398765,699.24659939855985
792,BPLUS_CONTINUOUS,ensemble,h181_293,34.559559086376844,35.950622259814018,34.559559086376844,33.2641707697668,0.44469026548672563,75.008991503086577,296.53065124067916,0.48008849557522126,96.272998328704503,516.94375320337315,0.5,114.71635306398765,925.90076825641563
792,BPLUS_CONTINUOUS,ensemble,all,23.582514327478208,27.313324693235966,23.524498631247532,24.157336515615384,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,BPLUS_CONTINUOUS,0,h001_030,2.2857899994014299,2.8488755631944054,2.2653260124486656,7.6143098927466575,0.90833333333333333,75.008991503086577,78.313251725783331,0.91666666666666663,96.272998328704503,100.95884553825219,0.91666666666666663,114.71635306398763,121.04210179669012
792,BPLUS_CONTINUOUS,0,h031_090,9.4900459681844005,11.346800640408361,9.2169679784009713,12.141496441239536,0.64166666666666661,75.008991503086591,112.09393874706842,0.66249999999999998,96.272998328704531,161.07150756402942,0.67083333333333339,114.71635306398767,229.09920948593341
792,BPLUS_CONTINUOUS,0,h091_180,26.294111812415835,26.398120627512878,26.294111812415835,26.248102431498751,0.5,75.008991503086577,235.88637273701056,0.5,96.272998328704517,402.2355281544921,0.5,114.71635306398765,699.24659939855985
