origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,652,41,MJ3,1192.929173507011,1208.1958645832328
612,G10_ANCHOR_UNIFORM,ensemble,0,652,41,MJ1,886.55468634270619,879.15647177325638
612,G10_ANCHOR_UNIFORM,ensemble,0,653,42,ATU1,415.11696232242957,409.9444287192814
612,G10_ANCHOR_UNIFORM,ensemble,0,653,42,ATU5,514.53921705192829,520.01331521939892
612,G10_ANCHOR_UNIFORM,ensemble,0,653,42,MJ3,1192.93515703149,1208.4468637020605
612,G10_ANCHOR_UNIFORM,ensemble,0,653,42,MJ1,887.11030757135825,879.31844647549281
612,G10_ANCHOR_UNIFORM,ensemble,0,654,43,ATU1,415.51623968433472,409.99826820483145
612,G10_ANCHOR_UNIFORM,ensemble,0,654,43,ATU5,514.93510653699195,520.33998237120181
612,G10_ANCHOR_UNIFORM,ensemble,0,654,43,MJ3,1192.9420091715469,1208.7583338580539
612,G10_ANCHOR_UNIFORM,ensemble,0,654,43,MJ1,887.66502016603067,879.53828260358443
612,G10_ANCHOR_UNIFORM,ensemble,0,655,44,ATU1,415.92221091571241,410.07730433701312
612,G10_ANCHOR_UNIFORM,ensemble,0,655,44,ATU5,515.34676396394889,520.69066266994264
612,G10_ANCHOR_UNIFORM,ensemble,0,655,44,MJ3,1192.9495990078581,1209.1523696782897
612,G10_ANCHOR_UNIFORM,ensemble,0,655,44,MJ1,888.21924813700502,879.82581492238899
612,G10_ANCHOR_UNIFORM,ensemble,0,656,45,ATU1,416.3342369729026,410.17167776052287
612,G10_ANCHOR_UNIFORM,ensemble,0,656,45,ATU5,515.77459272237058,521.05867839180928
612,G10_ANCHOR_UNIFORM,ensemble,0,656,45,MJ3,1192.9577956210951,1209.6146568370837
612,G10_ANCHOR_UNIFORM,ensemble,0,656,45,MJ1,888.77341549456298,880.16172204093448
612,G10_ANCHOR_UNIFORM,ensemble,0,657,46,ATU1,416.75167881224519,410.27957301324631
612,G10_ANCHOR_UNIFORM,ensemble,0,657,46,ATU5,516.21899620182774,521.44128320117215
612,G10_ANCHOR_UNIFORM,ensemble,0,657,46,MJ3,1192.966468091932,1210.1353290438949
612,G10_ANCHOR_UNIFORM,ensemble,0,657,46,MJ1,889.32794624898577,880.53875839928094
612,G10_ANCHOR_UNIFORM,ensemble,0,658,47,ATU1,417.17389739008053,410.40610857523251
612,G10_ANCHOR_UNIFORM,ensemble,0,658,47,ATU5,516.68037779189194,521.84035260815131
612,G10_ANCHOR_UNIFORM,ensemble,0,658,47,MJ3,1192.9754855010431,1210.7113227642142
612,G10_ANCHOR_UNIFORM,ensemble,0,658,47,MJ1,889.88326441055506,880.96017258723498
612,G10_ANCHOR_UNIFORM,ensemble,0,659,48,ATU1,417.60025366274812,410.44272963110421
612,G10_ANCHOR_UNIFORM,ensemble,0,659,48,ATU5,517.15914088213401,522.1805838567002
612,G10_ANCHOR_UNIFORM,ensemble,0,659,48,MJ3,1192.984716929102,1211.1806141690749
612,G10_ANCHOR_UNIFORM,ensemble,0,659,48,MJ1,890.43979398955241,881.22721010502073
612,G10_ANCHOR_UNIFORM,ensemble,0,660,49,ATU1,418.03010858658809,410.45154099587677
612,G10_ANCHOR_UNIFORM,ensemble,0,660,49,ATU5,517.65568886212532,522.49488248293369
612,G10_ANCHOR_UNIFORM,ensemble,0,660,49,MJ3,1192.9940314567821,1211.5864176238015
612,G10_ANCHOR_UNIFORM,ensemble,0,660,49,MJ1,890.99795899625929,881.43893552490442
612,G10_ANCHOR_UNIFORM,ensemble,0,661,50,ATU1,418.46282311794039,410.45578158029247
612,G10_ANCHOR_UNIFORM,ensemble,0,661,50,ATU5,518.17042512143701,522.80032083053561
612,G10_ANCHOR_UNIFORM,ensemble,0,661,50,MJ3,1193.003298164756,1211.9453905856139
612,G10_ANCHOR_UNIFORM,ensemble,0,661,50,MJ1,891.55818344095712,881.62637729864048
612,G10_ANCHOR_UNIFORM,ensemble,0,662,51,ATU1,418.89775821314521,410.46132108699391
612,G10_ANCHOR_UNIFORM,ensemble,0,662,51,ATU5,518.70375304964011,523.10283730177503
612,G10_ANCHOR_UNIFORM,ensemble,0,662,51,MJ3,1193.012386133699,1212.2647712025396
612,G10_ANCHOR_UNIFORM,ensemble,0,662,51,MJ1,892.1208913339276,881.79733165751395
612,G10_ANCHOR_UNIFORM,ensemble,0,663,52,ATU1,419.33427482854211,410.46932310908988
612,G10_ANCHOR_UNIFORM,ensemble,0,663,52,ATU5,519.2560760363059,523.40411875315567
612,G10_ANCHOR_UNIFORM,ensemble,0,663,52,MJ3,1193.0211644442841,1212.5493336021666
612,G10_ANCHOR_UNIFORM,ensemble,0,663,52,MJ1,892.68650668545229,881.95439973040391
612,G10_ANCHOR_UNIFORM,ensemble,0,664,53,ATU1,419.77173392047138,410.50457874610476
612,G10_ANCHOR_UNIFORM,ensemble,0,664,53,ATU5,519.8277974710054,523.72445456640276
