model_scope,importance_method,distribution_parameter,feature,importance,interpretation
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU5__acceleration_mm_per_day_squared,0.006296207387,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU5__tangent_angle_degree,0.0585896288737,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ1__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ1__velocity_mm_per_day,0.00220751272296,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ1__acceleration_mm_per_day_squared,0.00116451034877,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ1__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ3__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ3__velocity_mm_per_day,0.0113133202315,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ3__acceleration_mm_per_day_squared,0.079142072069,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ3__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ9__interval_z,0.00138971778325,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ9__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ9__acceleration_mm_per_day_squared,0.0422613515887,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,MJ9__tangent_angle_degree,0.00262488709865,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU1__interval_z,8.69057711123e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU1__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU1__acceleration_mm_per_day_squared,0.00828121339336,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU1__tangent_angle_degree,0.629199958635,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU2__interval_z,3.53341551054e-20,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU2__velocity_mm_per_day,0.159375003582,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU2__acceleration_mm_per_day_squared,5.43080312242e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU2__tangent_angle_degree,0.0611024646402,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU3__interval_z,2.27000144725e-17,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU3__velocity_mm_per_day,0.000608131189309,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU3__acceleration_mm_per_day_squared,1.40607840254e-17,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU3__tangent_angle_degree,0.000448110401042,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU4__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU4__velocity_mm_per_day,0.000815532618253,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU4__acceleration_mm_per_day_squared,9.25017976078e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU4__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU5__interval_z,0.00164782570474,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU5__velocity_mm_per_day,3.2279299464e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU5__acceleration_mm_per_day_squared,1.63279011911e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,ATU5__tangent_angle_degree,0.061309742176,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ1__interval_z,8.02346480078e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ1__velocity_mm_per_day,9.64793048815e-06,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ1__acceleration_mm_per_day_squared,0.00653353054341,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ1__tangent_angle_degree,3.85993337642e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ3__interval_z,9.22067671485e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ3__velocity_mm_per_day,5.19296500656e-06,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ3__acceleration_mm_per_day_squared,0.0674960691907,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ3__tangent_angle_degree,7.70116021981e-06,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ9__interval_z,0.00157879538697,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ9__velocity_mm_per_day,3.92446344225e-17,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ9__acceleration_mm_per_day_squared,2.49612074147e-06,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,3,MJ9__tangent_angle_degree,0.00157858436279,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,interval_z,0.0510449840589,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,velocity_mm_per_day,0.347688688013,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,acceleration_mm_per_day_squared,0.058757103091,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,tangent_angle_degree,0.470266906734,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_ATU1,0.000224841851366,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_ATU2,0.00177138765157,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_ATU3,0.0412235059898,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_ATU4,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_ATU5,0.00178151681443,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_MJ1,0.0154863696112,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_MJ3,0.0117546961846,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,0,station_MJ9,1.10408212552e-16,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,interval_z,0.00183177478396,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,velocity_mm_per_day,0.168059880457,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,acceleration_mm_per_day_squared,0.0628852570115,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,tangent_angle_degree,0.668874936887,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_ATU1,0.000216882653333,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_ATU2,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_ATU3,9.52885519029e-05,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_ATU4,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_ATU5,0.0409769279262,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_MJ1,0.0328838531126,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_MJ3,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,1,station_MJ9,0.0241751986162,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,interval_z,0.000285144764282,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,velocity_mm_per_day,0.135582200334,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,acceleration_mm_per_day_squared,0.136209141881,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,tangent_angle_degree,0.503628148168,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_ATU1,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_ATU2,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_ATU3,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_ATU4,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_ATU5,0.122411304493,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_MJ1,0.0879756817688,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_MJ3,0.0129829895658,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,2,station_MJ9,0.000925389025783,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,interval_z,0.00115584465998,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,velocity_mm_per_day,0.571175931085,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,acceleration_mm_per_day_squared,0.147108214827,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,tangent_angle_degree,0.10877567741,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_ATU1,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_ATU2,0.00031711804202,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_ATU3,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_ATU4,0,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_ATU5,0.161858276934,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_MJ1,0.00646027353888,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_MJ3,0.00208091589682,model_dependency_not_causal
shared_station_diagnostic,ngboost_builtin_feature_importances_non_shap,3,station_MJ9,0.0010677476064,model_dependency_not_causal
