fold,date,feature,station,indicator,explained_output,shap_value_expected_ordinal_level,feature_value,method,interpretation
2,2019-02-24,MJ9__tangent_angle_degree,MJ9,tangent_angle_degree,expected_ordinal_level,0.00401268823304,39.366927867,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU1__interval_z,ATU1,interval_z,expected_ordinal_level,0.0166839356755,-0.157858856866,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU1__velocity_mm_per_day,ATU1,velocity_mm_per_day,expected_ordinal_level,0,0.05670412048,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU1__acceleration_mm_per_day_squared,ATU1,acceleration_mm_per_day_squared,expected_ordinal_level,-9.22666269221e-07,0.00364155203357,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU1__tangent_angle_degree,ATU1,tangent_angle_degree,expected_ordinal_level,-0.616044259904,2.22797356943,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU2__interval_z,ATU2,interval_z,expected_ordinal_level,-0.0539191987371,-0.314111670861,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU2__velocity_mm_per_day,ATU2,velocity_mm_per_day,expected_ordinal_level,-0.232112373087,0.02424,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU2__acceleration_mm_per_day_squared,ATU2,acceleration_mm_per_day_squared,expected_ordinal_level,0,-6.9999999937e-05,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU2__tangent_angle_degree,ATU2,tangent_angle_degree,expected_ordinal_level,-0.682691872412,1.2049379314,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU3__interval_z,ATU3,interval_z,expected_ordinal_level,0,-0.258361376975,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU3__velocity_mm_per_day,ATU3,velocity_mm_per_day,expected_ordinal_level,0.00146743193707,0.09839,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU3__acceleration_mm_per_day_squared,ATU3,acceleration_mm_per_day_squared,expected_ordinal_level,0,0.000130000000013,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU3__tangent_angle_degree,ATU3,tangent_angle_degree,expected_ordinal_level,0.0124092036527,3.20209848677,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU4__interval_z,ATU4,interval_z,expected_ordinal_level,0,-0.205348275464,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU4__velocity_mm_per_day,ATU4,velocity_mm_per_day,expected_ordinal_level,-0.0246927409451,0.03411,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU4__acceleration_mm_per_day_squared,ATU4,acceleration_mm_per_day_squared,expected_ordinal_level,-0.0013527668622,0.000380000000007,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU4__tangent_angle_degree,ATU4,tangent_angle_degree,expected_ordinal_level,-0.000162720844841,1.91400997661,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU5__interval_z,ATU5,interval_z,expected_ordinal_level,0.00242540371466,-0.3035562682,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU5__velocity_mm_per_day,ATU5,velocity_mm_per_day,expected_ordinal_level,-0.33672219584,0.106902088919,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU5__acceleration_mm_per_day_squared,ATU5,acceleration_mm_per_day_squared,expected_ordinal_level,0.000532123006042,0.00197546047787,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,ATU5__tangent_angle_degree,ATU5,tangent_angle_degree,expected_ordinal_level,-0.0126469718341,3.34102808763,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ1__interval_z,MJ1,interval_z,expected_ordinal_level,-4.07112957346e-06,-0.100992832879,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ1__velocity_mm_per_day,MJ1,velocity_mm_per_day,expected_ordinal_level,-0.000467332256505,0.168333102627,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ1__acceleration_mm_per_day_squared,MJ1,acceleration_mm_per_day_squared,expected_ordinal_level,-0.00840020432511,-0.00243343432987,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ1__tangent_angle_degree,MJ1,tangent_angle_degree,expected_ordinal_level,-0.000130889281673,31.2143479812,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ3__interval_z,MJ3,interval_z,expected_ordinal_level,0.00105470324942,0.366426774018,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ3__velocity_mm_per_day,MJ3,velocity_mm_per_day,expected_ordinal_level,4.51810941487e-05,0.159906568939,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ3__acceleration_mm_per_day_squared,MJ3,acceleration_mm_per_day_squared,expected_ordinal_level,-0.0172840483132,-0.00196569506602,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ3__tangent_angle_degree,MJ3,tangent_angle_degree,expected_ordinal_level,5.62864061294e-05,17.6020067256,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ9__interval_z,MJ9,interval_z,expected_ordinal_level,-0.000882811047259,-0.412196794227,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ9__velocity_mm_per_day,MJ9,velocity_mm_per_day,expected_ordinal_level,0,0.0470800000001,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ9__acceleration_mm_per_day_squared,MJ9,acceleration_mm_per_day_squared,expected_ordinal_level,-0.00403132110338,-0.00124999999991,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-08,MJ9__tangent_angle_degree,MJ9,tangent_angle_degree,expected_ordinal_level,-0.000178480267943,24.4842010883,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU1__interval_z,ATU1,interval_z,expected_ordinal_level,-0.00981781375656,-0.0913035272289,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU1__velocity_mm_per_day,ATU1,velocity_mm_per_day,expected_ordinal_level,0,0.0893370831466,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU1__acceleration_mm_per_day_squared,ATU1,acceleration_mm_per_day_squared,expected_ordinal_level,-0.000795931785655,0.00193914253555,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU1__tangent_angle_degree,ATU1,tangent_angle_degree,expected_ordinal_level,-0.608148054939,3.50754419996,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU2__interval_z,ATU2,interval_z,expected_ordinal_level,-0.0142411594102,-0.290874683484,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU2__velocity_mm_per_day,ATU2,velocity_mm_per_day,expected_ordinal_level,-0.292192064091,0.02395,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU2__acceleration_mm_per_day_squared,ATU2,acceleration_mm_per_day_squared,expected_ordinal_level,0,5.68434188608e-14,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU2__tangent_angle_degree,ATU2,tangent_angle_degree,expected_ordinal_level,-0.611362906131,1.19052659386,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU3__interval_z,ATU3,interval_z,expected_ordinal_level,0,-0.249509548092,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU3__velocity_mm_per_day,ATU3,velocity_mm_per_day,expected_ordinal_level,0.000922705677996,0.10033,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU3__acceleration_mm_per_day_squared,ATU3,acceleration_mm_per_day_squared,expected_ordinal_level,0,0.000189999999975,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU3__tangent_angle_degree,ATU3,tangent_angle_degree,expected_ordinal_level,-0.000474559142946,3.26510041996,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-03-20,ATU4__interval_z,ATU4,interval_z,expected_ordinal_level,0,-0.209371275224,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
