origin,method,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
1168,BPLUS_CONTINUOUS,MJ1,293,5.287870905170764,6.2971662230627254,14.845229978614775,1,160.04401761470442,160.04401761470442,1,205.41427276362714,205.41427276362714,1,244.76620285865363,244.76620285865363
1168,DRIFT1,ATU1,293,12.87236415119731,19.244197895113508,10.391273089591339,0.6348122866894198,24.040945036054495,83.534396412335539,0.65870307167235498,30.856218899854301,125.70060868151502,0.67918088737201365,36.767452587793521,187.26994335360538
1168,DRIFT1,ATU5,293,4.2142148646442621,6.9817034172927084,4.4684197824659497,0.95563139931740615,36.168479848781772,39.548750461941857,0.96928327645051193,46.421741317376245,49.418374826622717,0.98293515358361772,55.314916531704732,57.228747260051691
1168,DRIFT1,MJ3,293,10.867921588627034,12.334873689346734,7.7586934213917313,0.43003412969283278,20.585535068818899,48.279341548399046,0.61433447098976113,26.421248220546204,53.688599478577856,0.75767918088737196,31.482859076548721,54.572407489737756
1168,DRIFT1,MJ1,293,8.4848805118825315,13.350163123557049,7.721670837624254,0.57679180887372017,7.7808997822346564,70.037403852582543,0.60068259385665534,9.9866767532805625,125.42888068672788,0.61433447098976113,11.899859319367351,227.77879847108719
1168,RR_COND,ATU1,293,11.605648621437904,12.20026770917112,11.155040165623639,1,106.8659883899586,106.8659883899586,1,137.16101117342038,137.16101117342038,1,163.43742542079167,163.43742542079167
1168,RR_COND,ATU5,293,13.912059377385877,14.345710269854921,13.033346795430305,1,124.58359018251168,124.58359018251168,1,159.90130688440763,159.90130688440763,1,190.53415905169277,190.53415905169277
1168,RR_COND,MJ3,293,14.611218165582468,17.030816367209294,14.995204533896834,1,141.99387208260441,141.99387208260441,1,182.24716178369547,182.24716178369547,1,217.16088746614423,217.16088746614423
1168,RR_COND,MJ1,293,5.1440200290703739,5.7760603298007736,13.125369866142059,1,141.31199298458344,141.31199298458344,1,181.37197943623732,181.37197943623732,1,216.11804337788183,216.11804337788183
1168,BPLUS_ORIGIN_ANCHOR,ATU1,293,5.4255454184531029,8.0669015316032269,6.0196086374593012,0.97610921501706482,53.660714128933485,55.011636197565146,0.99317406143344711,68.872780957724657,69.083549791314539,1,82.066980295650865,82.066980295650865
1168,BPLUS_ORIGIN_ANCHOR,ATU5,293,8.0941808205370087,9.1018113368732525,5.5563212640318689,1,36.987437296946375,36.987437296946375,1,47.472861822511796,47.472861822511796,1,56.567403865362174,56.567403865362174
1168,BPLUS_ORIGIN_ANCHOR,MJ3,293,8.772121772678739,13.011596087880793,14.952087229516275,1,151.65520159560677,151.65520159560677,1,194.6473439674551,194.6473439674551,1,231.93661588578968,231.93661588578968
1168,BPLUS_ORIGIN_ANCHOR,MJ1,293,5.274823710948449,6.2853431403093722,9.0018103877955404,1,94.038940853770569,94.038940853770569,1,120.69767389521111,120.69767389521111,1,143.82014908573584,143.82014908573584
1168,G_CACHED,ATU1,293,6.4080308963417449,11.317766030481517,5.8346888157114289,0.91808873720136519,34.657451499956323,48.093836826499491,0.92832764505119458,44.482357427711236,63.849769558549319,0.94197952218430037,53.003998092727556,80.637693323333323
1168,G_CACHED,ATU5,293,6.8361823958902415,8.7194532633538522,5.1532340124983529,0.46416382252559729,12.037826246644954,36.095889277193521,0.53924914675767921,15.450382719474421,46.619560440469527,0.71672354948805461,18.410266531529487,58.351721185440674
1168,G_CACHED,MJ3,293,11.292554045260824,17.278756799548503,11.76738696993775,0.9965870307167235,96.587338280233311,96.656210921217053,1,123.96850658156472,123.96850658156472,1,147.7175866204002,147.7175866204002
1168,G_CACHED,MJ1,293,3.7290489522980961,5.0845583942774137,6.3027884725399801,1,64.695517261538939,64.695517261538939,1,83.035797447543487,83.035797447543487,1,98.94325534994843,98.94325534994843
1168,G_REFRESH,ATU1,293,7.7232597184134626,12.65376292952393,6.336260053071749,0.66552901023890787,15.32512638035746,50.911232219403303,0.69624573378839594,19.669586763376628,76.935492712867045,0.76450511945392496,23.437758238983633,117.58219012099029
1168,G_REFRESH,ATU5,293,5.9124614890567386,8.1835568824271778,6.1962699582841534,0.97952218430034133,55.340732944528554,56.131551876986691,1,71.029061763330674,71.029061763330674,1,84.636347350746064,84.636347350746064
1168,G_REFRESH,MJ3,293,11.70222835997305,17.915325910656794,11.570568849209749,0.98634812286689422,89.864449677235825,90.176522025596654,1,115.33977247555003,115.33977247555003,1,137.43581576684073,137.43581576684073
1168,G_REFRESH,MJ1,293,3.6347209536557168,5.5203348800691669,5.0058091803087565,1,47.949861021475719,47.949861021475719,1,61.542980347791868,61.542980347791868,1,73.332984167403495,73.332984167403495
