seed,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
0,612,DIRECT,prediction,MJ3,180,57.55434426648772,46.7326915138628,40.248400548927776,0.3111111111111111,37.2066827256936,347.28864128216367,0.37777777777777777,47.75426034760518,595.8447757219792,0.4166666666666667,56.902710830041826,1037.534845857514
0,612,DIRECT,prediction,MJ1,180,17.041397135664614,14.691040154006261,11.586596209692122,0.3055555555555556,17.7219048587639,89.71818027303581,0.35555555555555557,22.745818667045008,131.63624799887626,0.4111111111111111,27.10331461072115,188.8151197857703
1,612,DIRECT,train,ATU1,582,5.923158402598345,4.238602416491478,17.479843564019113,1.0,189.69881558762515,189.69881558762515,1.0,243.4757942273645,243.4757942273645,1.0,290.11930270069143,290.11930270069143
1,612,DIRECT,train,ATU5,582,6.584221993049801,5.037828099641684,35.69014821906066,1.0,390.2355560490156,390.2355560490156,1.0,500.86191445356275,500.86191445356275,1.0,596.8137811469944,596.8137811469944
1,612,DIRECT,train,MJ3,582,4.7199839508367845,3.6774788467087154,3.776158698496686,0.9982817869415808,34.30275675103468,34.34162266216227,1.0,44.0271117048086,44.0271117048086,1.0,52.46153930109628,52.46153930109628
1,612,DIRECT,train,MJ1,582,5.076993337825198,3.732801705935834,2.8871923882871102,0.8419243986254296,15.652274581688202,19.92703009236244,0.9072164948453608,20.089476960814135,23.406186326741093,0.9518900343642611,23.938088244001495,25.760313304563475
1,612,DIRECT,prediction,ATU1,180,8.350185425512805,6.894545474014404,17.50495154651832,1.0,187.79547483882578,187.79547483882578,1.0,241.03288282033375,241.03288282033375,1.0,287.2083942212,287.2083942212
1,612,DIRECT,prediction,ATU5,180,4.008358447099464,3.1530887573951736,35.556864883758536,1.0,389.5277441709489,389.5277441709489,1.0,499.9534477420442,499.9534477420442,1.0,595.7312762938574,595.7312762938574
1,612,DIRECT,prediction,MJ3,180,60.8654194628329,50.32640123706199,43.81008122553837,0.26666666666666666,35.15721815025577,382.8506390391238,0.32222222222222224,45.12380103925456,667.2716281572375,0.37777777777777777,53.768325242583494,1180.3075731548865
1,612,DIRECT,prediction,MJ1,180,18.288494799212874,15.358316231679954,12.547127683431174,0.2833333333333333,16.19255786752823,101.62282353570578,0.3277777777777778,20.782923051767252,158.0966504894893,0.38333333333333336,24.764380225125382,245.2155024931531
2,612,DIRECT,train,ATU1,582,5.1553758795375915,4.0676941034730545,17.455310796270158,1.0,189.88348497920165,189.88348497920165,1.0,243.71281482574986,243.71281482574986,1.0,290.4017301631317,290.4017301631317
2,612,DIRECT,train,ATU5,582,6.158943335086876,4.444663682713085,36.13687569036208,1.0,395.28672460208537,395.28672460208537,1.0,507.3450191130479,507.3450191130479,1.0,604.5388768145705,604.5388768145705
2,612,DIRECT,train,MJ3,582,4.335161952263819,3.4963583576240143,3.435531424336132,1.0,31.113743904339785,31.113743904339785,1.0,39.934058022606465,39.934058022606465,1.0,47.58436502607133,47.58436502607133
2,612,DIRECT,train,MJ1,582,4.502677251459395,3.482612309824207,2.7773532799933527,0.9415807560137457,19.752530364449438,20.650932302453093,0.9862542955326461,25.35209829110915,25.55682320886377,1.0,30.208888327303466,30.208888327303466
2,612,DIRECT,prediction,ATU1,180,9.08837480891264,7.818613663546762,17.632362193409847,1.0,188.44715669777725,188.44715669777725,1.0,241.8693074321599,241.8693074321599,1.0,288.20505561793055,288.20505561793055
2,612,DIRECT,prediction,ATU5,180,4.128675801604901,3.407379666933973,36.00347007719311,1.0,394.39204072597965,394.39204072597965,1.0,506.19670478835116,506.19670478835116,1.0,603.1705759031003,603.1705759031003
2,612,DIRECT,prediction,MJ3,180,59.61546456789634,49.45154366400433,43.60881623606714,0.2388888888888889,31.45494319675783,386.9680258921895,0.3055555555555556,40.37198257397459,685.1340870063536,0.3611111111111111,48.10618431361745,1232.112270875276
2,612,DIRECT,prediction,MJ1,180,18.239990883839198,15.520735183650762,12.18202539218502,0.34444444444444444,20.000358356661934,93.12851559157562,0.4111111111111111,25.670182075917158,136.04242260127842,0.4722222222222222,30.587908533980485,195.4155272011778
