control_method,challenger_method,fold,scope,group,planned_rows,control_interval_rows,challenger_interval_rows,common_interval_rows,control_availability_rate,challenger_availability_rate,availability_rate_difference,comparison_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used,support,control_empirical_coverage,challenger_empirical_coverage,coverage_difference,control_absolute_coverage_gap,challenger_absolute_coverage_gap,absolute_coverage_gap_difference,control_mean_interval_width_mm,challenger_mean_interval_width_mm,mean_interval_width_difference_mm,control_mean_interval_score_80_mm,challenger_mean_interval_score_80_mm,mean_interval_score_difference_mm,control_mean_total_pinball_loss,challenger_mean_total_pinball_loss,mean_total_pinball_loss_difference
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.71257485029940115,0.76646706586826352,0.053892215568862367,0.087425149700598892,0.033532934131736525,-0.053892215568862367,0.16885633134174446,0.1360179126470093,-0.032838418694735166,0.25586501990586497,0.20165001448958889,-0.05421500541627608,0.025586501990586496,0.020165001448958889,-0.0054215005416276066
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU5,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU5,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.81437125748502992,0.81437125748502992,0,0.014371257485029876,0.014371257485029876,0,0.24030816867193225,0.25410852761636421,0.013800358944431962,0.55679257559239492,0.36102001416931961,-0.19577256142307531,0.055679257559239484,0.03610200141693197,-0.019577256142307514
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ1,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ1,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.70925110132158586,0.72246696035242286,0.013215859030836996,0.09074889867841418,0.077533039647577184,-0.013215859030836996,0.43221051216244327,0.39326702848996414,-0.038943483672479129,0.63452562228917586,0.47754685452478562,-0.15697876776439024,0.063452562228917569,0.04775468545247856,-0.01569787677643901
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ3,287,224,224,224,0.78048780487804881,0.78048780487804881,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ3,287,224,224,224,0.78048780487804881,0.78048780487804881,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.7723214285714286,0.7544642857142857,-0.017857142857142905,0.027678571428571441,0.045535714285714346,0.017857142857142905,0.29024211184091492,0.2733203002189839,-0.016921811621931016,0.49153199920477925,0.42158661962269506,-0.069945379582084188,0.049153199920477925,0.042158661962269507,-0.0069945379582084174
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ9,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,MJ9,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.44859813084112149,0.62616822429906538,0.17757009345794389,0.35140186915887855,0.17383177570093467,-0.17757009345794389,0.16539154569429088,0.15675920186677644,-0.0086323438275144326,0.34032461558888583,0.22659524876105192,-0.11372936682783391,0.034032461558888581,0.022659524876105189,-0.011372936682783392
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O1,861,558,558,558,0.6480836236933798,0.6480836236933798,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O1,861,558,558,558,0.6480836236933798,0.6480836236933798,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.68458781362007171,0.71684587813620071,0.032258064516129004,0.11541218637992834,0.083154121863799335,-0.032258064516129004,0.32405540269270378,0.29976451131903109,-0.024290891373672685,0.52070827589520474,0.4069609863620835,-0.11374728953312124,0.052070827589520474,0.04069609863620835,-0.011374728953312124
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O2,861,561,561,561,0.65156794425087106,0.65156794425087106,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O2,861,561,561,561,0.65156794425087106,0.65156794425087106,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.76114081996434935,0.78253119429590012,0.021390374331550777,0.038859180035650698,0.017468805704099921,-0.021390374331550777,0.30072068135804747,0.24077691006269325,-0.05994377129535422,0.50096610132556507,0.35644226801136808,-0.14452383331419699,0.050096610132556507,0.035644226801136811,-0.014452383331419696
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O3,574,278,278,278,0.48432055749128922,0.48432055749128922,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,spatial_block,O3,574,278,278,278,0.48432055749128922,0.48432055749128922,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.58273381294964033,0.73021582733812951,0.14748201438848918,0.21726618705035972,0.069784172661870536,-0.14748201438848918,0.18551526677109703,0.16978946384994012,-0.015725802921156912,0.40237322530459174,0.24499473784119885,-0.15737848746339289,0.040237322530459176,0.024499473784119888,-0.015737848746339288
aci_v1_control,agaci_ewa_variant_v1,3,overall,all,2296,1327,1327,1327,0.57796167247386765,0.57796167247386765,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,overall,all,2296,1327,1327,1327,0.57796167247386765,0.57796167247386765,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.63074604370761111,0.65712132629992459,0.026375282592313476,0.16925395629238893,0.14287867370007545,-0.026375282592313476,0.38713097797682777,0.35818936586167854,-0.028941612115149229,0.6760742396636138,0.45575627634581622,-0.22031796331779757,0.06760742396636138,0.045575627634581617,-0.022031796331779763
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU1,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU1,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.64757709251101325,0.63436123348017626,-0.013215859030836996,0.15242290748898679,0.16563876651982379,0.013215859030836996,0.69711772932876503,0.62620720269229535,-0.070910526636469684,1.1792296310594788,0.76457985356178404,-0.41464977749769472,0.11792296310594788,0.076457985356178412,-0.041464977749769469
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU2,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU2,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.57268722466960353,0.63436123348017626,0.061674008810572722,0.22731277533039651,0.16563876651982379,-0.061674008810572722,0.3305385476709462,0.30862391080655338,-0.021914636864392822,0.46975971417886275,0.39767097665228596,-0.072088737526576796,0.046975971417886273,0.039767097665228596,-0.0072088737526576768
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU3,287,98,98,98,0.34146341463414637,0.34146341463414637,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU3,287,98,98,98,0.34146341463414637,0.34146341463414637,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.69387755102040816,0.7142857142857143,0.020408163265306145,0.10612244897959189,0.085714285714285743,-0.020408163265306145,0.060876395351089962,0.086168716666573955,0.025292321315483993,0.30877934485288838,0.17664331816344461,-0.13213602668944377,0.030877934485288836,0.017664331816344463,-0.013213602668944373
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.65269461077844315,0.6586826347305389,0.0059880239520957446,0.14730538922155689,0.14131736526946115,-0.0059880239520957446,0.36121735224935425,0.34219209952782909,-0.019025252721525165,1.0171695982907489,0.54843279578626658,-0.46873680250448235,0.10171695982907489,0.054843279578626669,-0.046873680250448219
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU5,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,ATU5,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.6035242290748899,0.62555066079295152,0.022026431718061623,0.19647577092511015,0.17444933920704853,-0.022026431718061623,0.47193344079042387,0.39263273516157504,-0.079300705628848833,0.69524565486734391,0.49334759956048196,-0.20189805530686195,0.069524565486734385,0.049334759956048198,-0.020189805530686188
aci_v1_control,agaci_ewa_variant_v1,3,station,MJ1,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,3,station,MJ1,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.57009345794392519,0.57009345794392519,0,0.22990654205607486,0.22990654205607486,0,0.3113766525741008,0.31603616304429338,0.0046595104701925849,0.49161161450243002,0.35939649077833508,-0.13221512372409494,0.049161161450243004,0.035939649077833508,-0.013221512372409497
aci_v1_control,agaci_ewa_variant_v1,3,station,MJ3,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
