origin,arm,seed,horizon,point,physics_teacher,residual_teacher,correction_mean_mm,required_residual_mean_mm
792,GRU_GRAPH,0,292,MJ1,792,612,-14.120311502429795,-22.074181941174199
792,GRU_GRAPH,0,292,ATU1,792,792,0.70455891938152648,-29.250352033012273
792,GRU_GRAPH,0,292,ATU5,792,792,4.7398124868366409,-37.455433166378583
792,GRU_GRAPH,0,292,MJ3,792,792,-15.871545305269915,-4.928649114244438
792,GRU_GRAPH,0,292,MJ1,792,792,-6.7777060643176092,-22.074181941174199
792,GRU_GRAPH,1,292,ATU1,612,612,10.824197819302336,-29.250352033012273
792,GRU_GRAPH,1,292,ATU5,612,612,11.777896851899211,-37.455433166378583
792,GRU_GRAPH,1,292,MJ3,612,612,-47.731766386043468,-4.928649114244438
792,GRU_GRAPH,1,292,MJ1,612,612,-14.363773361107418,-22.074181941174199
792,GRU_GRAPH,1,292,ATU1,612,792,10.103310287242588,-29.250352033012273
792,GRU_GRAPH,1,292,ATU5,612,792,12.351833403432002,-37.455433166378583
792,GRU_GRAPH,1,292,MJ3,612,792,-18.206989148419357,-4.928649114244438
792,GRU_GRAPH,1,292,MJ1,612,792,-3.2017834855525074,-22.074181941174199
792,GRU_GRAPH,1,292,ATU1,792,612,7.3570479315400439,-29.250352033012273
792,GRU_GRAPH,1,292,ATU5,792,612,16.597034427076192,-37.455433166378583
792,GRU_GRAPH,1,292,MJ3,792,612,-42.360407309159406,-4.928649114244438
792,GRU_GRAPH,1,292,MJ1,792,612,-13.864269550213868,-22.074181941174199
792,GRU_GRAPH,1,292,ATU1,792,792,6.8223762170970783,-29.250352033012273
792,GRU_GRAPH,1,292,ATU5,792,792,17.227008456575518,-37.455433166378583
792,GRU_GRAPH,1,292,MJ3,792,792,-12.754597905728227,-4.928649114244438
792,GRU_GRAPH,1,292,MJ1,792,792,-3.983078842133557,-22.074181941174199
792,GRU_GRAPH,2,292,ATU1,612,612,5.8280848117098856,-29.250352033012273
792,GRU_GRAPH,2,292,ATU5,612,612,9.7000593390702061,-37.455433166378583
792,GRU_GRAPH,2,292,MJ3,612,612,-47.10375074046879,-4.928649114244438
792,GRU_GRAPH,2,292,MJ1,612,612,-15.985220579829237,-22.074181941174199
792,GRU_GRAPH,2,292,ATU1,612,792,5.0737084289898498,-29.250352033012273
792,GRU_GRAPH,2,292,ATU5,612,792,10.568755574667479,-37.455433166378583
792,GRU_GRAPH,2,292,MJ3,612,792,-16.325111911149421,-4.928649114244438
792,GRU_GRAPH,2,292,MJ1,612,792,-5.1821833715936378,-22.074181941174199
792,GRU_GRAPH,2,292,ATU1,792,612,4.4250224019160358,-29.250352033012273
792,GRU_GRAPH,2,292,ATU5,792,612,11.609460859860999,-37.455433166378583
792,GRU_GRAPH,2,292,MJ3,792,612,-43.182820660512832,-4.928649114244438
792,GRU_GRAPH,2,292,MJ1,792,612,-15.64173627210601,-22.074181941174199
792,GRU_GRAPH,2,292,ATU1,792,792,3.750229918174341,-29.250352033012273
792,GRU_GRAPH,2,292,ATU5,792,792,12.504872179482765,-37.455433166378583
792,GRU_GRAPH,2,292,MJ3,792,792,-13.973336246900788,-4.928649114244438
792,GRU_GRAPH,2,292,MJ1,792,792,-4.8176974363008478,-22.074181941174199
792,GRU_GRAPH,ensemble,292,ATU1,612,612,6.7013781553029768,-29.250352033012273
792,GRU_GRAPH,ensemble,292,ATU5,612,612,8.0196285169877708,-37.455433166378583
792,GRU_GRAPH,ensemble,292,MJ3,612,612,-48.271096277587077,-4.928649114244438
792,GRU_GRAPH,ensemble,292,MJ1,612,612,-15.889150790578949,-22.074181941174199
792,GRU_GRAPH,ensemble,292,ATU1,612,792,5.9750583608003121,-29.250352033012273
792,GRU_GRAPH,ensemble,292,ATU5,612,792,8.7365297025591886,-37.455433166378583
792,GRU_GRAPH,ensemble,292,MJ3,612,792,-18.080420065757334,-4.928649114244438
792,GRU_GRAPH,ensemble,292,MJ1,612,792,-5.4545996484336952,-22.074181941174199
792,GRU_GRAPH,ensemble,292,ATU1,792,612,4.3446689961924871,-29.250352033012273
792,GRU_GRAPH,ensemble,292,ATU5,792,612,10.731754744487212,-37.455433166378583
792,GRU_GRAPH,ensemble,292,MJ3,792,612,-43.127155188595758,-4.928649114244438
792,GRU_GRAPH,ensemble,292,MJ1,792,612,-14.542105774916557,-22.074181941174199
792,GRU_GRAPH,ensemble,292,ATU1,792,792,3.7590550182176488,-29.250352033012273
