origin,seed,age_bin,point,origin_draws,unique_origins,query_draws,horizon_mean,horizon_min,horizon_max,initial_residual_mean_mm,future_residual_mean_mm,change_mean_mm,future_negative_fraction,initial_energy_mm2,change_energy_mm2,cross_energy_mm2,residual_energy_mm2
792,0,30-89,MJ3,254,100,4064,98.405265748031496,1,293,-14.87987107852954,-59.349061835507641,-44.469190756978101,0.99286417322834641,448.20317310352266,2870.0649985398318,1272.3380000517905,4590.6061716951453
792,0,30-89,MJ1,254,100,4064,98.405265748031496,1,293,-1.3066224498752221,-25.07914216253619,-23.772519712660966,0.92421259842519687,101.08272849257126,763.63324732205444,8.6210843624820743,873.33706017710767
792,0,90+,ATU1,404,161,6464,65.474164603960389,1,266,25.614056104903671,22.243397358914937,-3.3706587459887314,0.1390779702970297,1490.8130229748665,79.372202440685584,-496.39098048217033,1073.7942449333818
792,0,90+,ATU5,404,161,6464,65.474164603960389,1,266,78.435677980079348,64.359846334221984,-14.07583164585736,0.23019801980198021,12446.844354870627,650.31334699107424,-4115.5762447738171,8981.5814570878829
792,0,90+,MJ3,404,161,6464,65.474164603960389,1,266,-52.251524687780645,-80.142862917016615,-27.89133822923597,1,3855.395499467767,1695.3648637225062,1754.1106787006818,7304.8710418909541
792,0,90+,MJ1,404,161,6464,65.474164603960389,1,266,-26.374404674547968,-33.707786200908764,-7.3333815263607987,1,727.65202554982557,189.81209029888032,358.34600104868849,1275.8101168973942
792,1,all,ATU1,800,331,12800,88.415781249999995,1,293,27.95241745621329,25.014213348445445,-2.9382041077678376,0.20109374999999999,1581.4335372194319,103.24189090927645,-417.42453587827214,1267.250892250436
792,1,all,ATU5,800,331,12800,88.415781249999995,1,293,70.446166036199259,72.807681593358367,2.3615155571591022,0.17039062499999999,10169.915177333291,1160.443067254836,-1036.4335828444271,10293.924661743698
792,1,all,MJ3,800,331,12800,88.415781249999995,1,293,-29.936033770363355,-66.673046216052398,-36.737012445689039,0.98765625000000001,1971.5404213313834,2361.2431349967251,1309.4661051028793,5642.2496614309875
792,1,all,MJ1,800,331,12800,88.415781249999995,1,293,-14.78053637756274,-29.245209745136627,-14.464673367573891,0.94867187500000005,426.8139141146001,446.85030267045636,216.78834925404783,1090.4525660391043
792,1,0,ATU1,6,2,96,105.15625,2,280,0.0071619469730705987,8.2643713977208275,8.2572094507477569,0.34375,6.0736739017272083e-05,435.97323317333831,0.0056506901971282763,435.97894460027447
792,1,0,ATU5,6,2,96,105.15625,2,280,0.0014669827286202992,23.763760639654503,23.76229365692588,0.39583333333333331,4.5534734317040745e-06,3418.6473238966228,0.228417799368235,3418.8757462494646
