origin,arm,seed,variant,point,mae,rmse,bias
612,COND_ATTN,1,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,COND_ATTN,1,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,COND_ATTN,1,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,COND_ATTN,1,SHAPE_ONLY,ATU1,5.0586597126603943,7.3550555610959663,2.3967921016740381
612,COND_ATTN,1,SHAPE_ONLY,ATU5,11.99690951148197,16.382106140885071,-4.8061882833549845
612,COND_ATTN,1,SHAPE_ONLY,MJ3,78.35479712264987,89.448135771001589,78.35479712264987
612,COND_ATTN,1,SHAPE_ONLY,MJ1,26.627422309789679,31.794181628600214,24.446372037194958
612,COND_ATTN,1,ANCHORED_SHAPE,ATU1,5.060320344228205,7.3578416880358573,2.405328330610331
612,COND_ATTN,1,ANCHORED_SHAPE,ATU5,11.996896304053694,16.381879094306345,-4.8054143280580686
612,COND_ATTN,1,ANCHORED_SHAPE,MJ3,78.347857975948529,89.44205727841522,78.347857975948529
612,COND_ATTN,1,ANCHORED_SHAPE,MJ1,26.625146372185437,31.791728406521514,24.443181368687572
612,COND_ATTN,1,ORIGINAL,ATU1,28.489230949741483,29.32556069431358,28.489230949741483
612,COND_ATTN,1,ORIGINAL,ATU5,65.823863488811298,67.661325440681622,65.823863488811298
612,COND_ATTN,1,ORIGINAL,MJ3,71.97893871453536,83.751926909324766,71.783636716517591
612,COND_ATTN,1,ORIGINAL,MJ1,20.073176399130769,23.901297945668034,12.57088556292369
612,COND_ATTN,2,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,COND_ATTN,2,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,COND_ATTN,2,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,COND_ATTN,2,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,COND_ATTN,2,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,COND_ATTN,2,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,COND_ATTN,2,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,COND_ATTN,2,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,COND_ATTN,2,SHAPE_ONLY,ATU1,6.2667657575378195,7.9365500789854577,-0.16441850822458387
612,COND_ATTN,2,SHAPE_ONLY,ATU5,13.866959312379228,17.423625612090941,-11.812932931707994
612,COND_ATTN,2,SHAPE_ONLY,MJ3,78.5329291545969,91.077894144923349,78.5329291545969
612,COND_ATTN,2,SHAPE_ONLY,MJ1,28.044866875017593,33.817308143374248,24.691069724578163
612,COND_ATTN,2,ANCHORED_SHAPE,ATU1,6.2646230792403177,7.9363778258972388,-0.15588227928829052
612,COND_ATTN,2,ANCHORED_SHAPE,ATU5,13.866581579930571,17.423100892358093,-11.812158976411084
612,COND_ATTN,2,ANCHORED_SHAPE,MJ3,78.52599000789553,91.071910856163726,78.52599000789553
612,COND_ATTN,2,ANCHORED_SHAPE,MJ1,28.042786951178307,33.814978607225584,24.687879056070777
612,COND_ATTN,2,ORIGINAL,ATU1,25.422804311094968,26.632325710508763,25.422804311094968
612,COND_ATTN,2,ORIGINAL,ATU5,64.412934637258985,65.673917909662421,64.412934637258985
612,COND_ATTN,2,ORIGINAL,MJ3,71.463888671210313,84.755324815501197,71.10346858141439
612,COND_ATTN,2,ORIGINAL,MJ1,22.320922832566517,26.193033970695861,12.33343515287131
612,COND_ATTN,ensemble,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,COND_ATTN,ensemble,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,COND_ATTN,ensemble,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,COND_ATTN,ensemble,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,COND_ATTN,ensemble,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,COND_ATTN,ensemble,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,COND_ATTN,ensemble,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,COND_ATTN,ensemble,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,COND_ATTN,ensemble,SHAPE_ONLY,ATU1,4.9406894117946658,7.2751592968635652,1.9091106893049179
612,COND_ATTN,ensemble,SHAPE_ONLY,ATU5,9.2016702177796628,12.518447160072121,-4.2486310763508106
612,COND_ATTN,ensemble,SHAPE_ONLY,MJ3,76.812190935954348,88.648515111843025,76.812190935954348
612,COND_ATTN,ensemble,SHAPE_ONLY,MJ1,25.694861351308639,30.814690207710985,22.491218682335951
612,COND_ATTN,ensemble,ANCHORED_SHAPE,ATU1,4.9418839011680022,7.277403992754703,1.917646918241211
612,COND_ATTN,ensemble,ANCHORED_SHAPE,ATU5,9.2015249360686351,12.518184508844406,-4.247857121053876
612,COND_ATTN,ensemble,ANCHORED_SHAPE,MJ3,76.805251789252964,88.642502545695876,76.805251789252964
612,COND_ATTN,ensemble,ANCHORED_SHAPE,MJ1,25.692824986083789,30.81236145983102,22.488028013828565
612,COND_ATTN,ensemble,ORIGINAL,ATU1,27.528922075125386,28.409941742091764,27.528922075125386
612,COND_ATTN,ensemble,ORIGINAL,ATU5,68.191947719744704,69.201173307170023,68.191947719744704
612,COND_ATTN,ensemble,ORIGINAL,MJ3,70.663822288500484,83.194859542143064,70.448123460343211
612,COND_ATTN,ensemble,ORIGINAL,MJ1,20.345687415647308,23.863271885081925,11.214523185619605
792,GRU_LOCAL,0,BPLUS,ATU1,29.335478509690908,32.877890262058848,29.335478509690908
792,GRU_LOCAL,0,BPLUS,ATU5,37.540839766187069,42.775051365351246,37.540839766187069
792,GRU_LOCAL,0,BPLUS,MJ3,5.2911468095600966,9.1163682048876531,5.0590840246373849
792,GRU_LOCAL,0,BPLUS,MJ1,22.162592224474757,24.483988940646118,22.162592224474757
792,GRU_LOCAL,0,ANCHOR_ONLY,ATU1,29.315155514329426,32.859758238927526,29.315155514329426
792,GRU_LOCAL,0,ANCHOR_ONLY,ATU5,37.532022682040939,42.767313401278095,37.532022682040939
792,GRU_LOCAL,0,ANCHOR_ONLY,MJ3,5.2301273262399341,9.0608460945733817,4.9583357964946648
792,GRU_LOCAL,0,ANCHOR_ONLY,MJ1,22.181406781202181,24.501020940574996,22.181406781202181
792,GRU_LOCAL,0,SHAPE_ONLY,ATU1,30.876845405021051,33.819491089568949,30.857399107730231
792,GRU_LOCAL,0,SHAPE_ONLY,ATU5,41.028106218302973,45.519003874061767,40.927431553900931
792,GRU_LOCAL,0,SHAPE_ONLY,MJ3,8.2089952414555576,9.889334307395476,8.0783833797402824
792,GRU_LOCAL,0,SHAPE_ONLY,MJ1,23.515345709160727,25.360994585223168,23.513855121881381
792,GRU_LOCAL,0,ANCHORED_SHAPE,ATU1,30.857354750766529,33.800949114243906,30.837076112368756
792,GRU_LOCAL,0,ANCHORED_SHAPE,ATU5,41.020312277027038,45.511076346445947,40.9186144697548
792,GRU_LOCAL,0,ANCHORED_SHAPE,MJ3,8.1292186536426723,9.8072074325656136,7.9776351515975614
