start,end,teacher,point,index,date,residual,slow,fast,diagnostic_retained
612,792,612,MJ1,758,2018-07-29,-26.592574215291506,-25.140997833662958,-1.4515763816285485,True
612,792,612,MJ1,759,2018-07-30,-27.030540238549293,-25.262903795268524,-1.7676364432807681,True
612,792,612,MJ1,760,2018-07-31,-27.494184194928494,-25.406857369440132,-2.0873268254883612,True
612,792,612,MJ1,761,2018-08-01,-27.943330759565924,-25.570500813964372,-2.372829945601552,True
612,792,612,MJ1,762,2018-08-02,-28.364655019978727,-25.750768827255619,-2.6138861927231076,True
612,792,612,MJ1,763,2018-08-03,-28.758580017204963,-25.94482116209106,-2.8137588551139032,True
612,792,612,MJ1,764,2018-08-04,-29.134225162949292,-26.150589162146428,-2.9836360008028642,True
612,792,612,MJ1,765,2018-08-05,-29.521918858188769,-26.368094303826577,-3.1538245543621919,True
612,792,612,MJ1,766,2018-08-06,-29.54317948064886,-26.572938508782851,-2.9702409718660086,True
612,792,612,MJ1,767,2018-08-07,-29.467740250232168,-26.759699911456998,-2.7080403387751701,True
612,792,612,MJ1,768,2018-08-08,-29.374764539774787,-26.928413758445242,-2.4463507813295458,True
612,792,612,MJ1,769,2018-08-09,-29.280050326303353,-27.080132246694152,-2.1999180796092013,True
612,792,612,MJ1,770,2018-08-10,-29.185827483289017,-27.215983552280914,-1.9698439310081035,True
612,792,612,MJ1,771,2018-08-11,-29.09198970279067,-27.337016207152509,-1.7549734956381613,True
612,792,612,MJ1,772,2018-08-12,-28.998202940266424,-27.444189544772758,-1.5540133954936657,True
612,792,612,MJ1,773,2018-08-13,-28.90424182701463,-27.538386466207715,-1.3658553608069148,True
612,792,612,MJ1,774,2018-08-14,-28.810016825222647,-27.620427134531255,-1.1895896906913919,True
612,792,612,MJ1,775,2018-08-15,-28.715554365589924,-27.691080504276975,-1.0244738613129485,True
612,792,612,MJ1,776,2018-08-16,-28.620973662334336,-27.751073611248419,-0.86990005108591717,True
612,792,612,MJ1,777,2018-08-17,-28.559914292452277,-27.803256881003502,-0.7566574114487743,True
612,792,612,MJ1,778,2018-08-18,-28.546201192499439,-27.851188772067754,-0.69501242043168432,True
612,792,612,MJ1,779,2018-08-19,-28.559014772711294,-27.896854965657656,-0.66215980705363719,True
612,792,612,MJ1,780,2018-08-20,-28.996753258429294,-27.967816145836469,-1.0289371125928248,True
612,792,612,MJ1,781,2018-08-21,-29.522038872526423,-28.068088579816465,-1.4539502927099583,True
612,792,612,MJ1,782,2018-08-22,-30.044718992929461,-28.195613122597948,-1.8491058703315133,True
612,792,612,MJ1,783,2018-08-23,-30.194497351937343,-28.324573395458554,-1.8699239564787895,True
612,792,612,MJ1,784,2018-08-24,-30.239196322254543,-28.44809745525184,-1.7910988670027024,True
612,792,612,MJ1,785,2018-08-25,-30.258697634441205,-28.564910370038252,-1.6937872644029532,True
612,792,612,MJ1,786,2018-08-26,-30.27032640475727,-28.674937210987867,-1.5953891937694031,True
612,792,612,MJ1,787,2018-08-27,-30.277821126572007,-28.778349076509421,-1.499472050062586,True
612,792,612,MJ1,788,2018-08-28,-30.282400866537955,-28.875384675866101,-1.4070161906718539,True
612,792,612,MJ1,789,2018-08-29,-30.284868067503567,-28.966319088229806,-1.3185489792737606,True
612,792,612,MJ1,790,2018-08-30,-30.2859669838017,-29.051457662137668,-1.2345093216640315,True
612,792,612,MJ1,791,2018-08-31,-30.286434444855786,-29.131133583603351,-1.1553008612524351,True
792,972,792,ATU1,792,2018-09-01,-0.13217556716324452,-0.13217556716324452,0,False
792,972,792,ATU1,793,2018-09-02,-0.2501899448834024,-0.13978939798389986,-0.11040054689950254,False
792,972,792,ATU1,794,2018-09-03,-0.37150554808278002,-0.15473882702253727,-0.21676672106024275,False
792,972,792,ATU1,795,2018-09-04,-0.49404912003728896,-0.17662981366865027,-0.31741930636863869,False
792,972,792,ATU1,796,2018-09-05,-0.62099699032836497,-0.20529866377572861,-0.41569832655263639,False
792,972,792,ATU1,797,2018-09-06,-0.88029680949478006,-0.24884693124147386,-0.63144987825330623,False
792,972,792,ATU1,798,2018-09-07,-1.1633720722077214,-0.30784855323929627,-0.85552351896842516,False
792,972,792,ATU1,799,2018-09-08,-1.4397768676440705,-0.38087618642670107,-1.0589006812173696,False
792,972,792,ATU1,800,2018-09-09,-1.724591269129462,-0.4675674820849437,-1.2570237870445182,False
792,972,792,ATU1,801,2018-09-10,-2.0087199318514877,-0.56699667239246265,-1.441723259459025,False
792,972,792,ATU1,802,2018-09-11,-2.2828914064540413,-0.67769955846095153,-1.6051918479930898,False
792,972,792,ATU1,803,2018-09-12,-2.5639871839933903,-0.79939553430175403,-1.7645916496916363,False
