phase,model,seed,horizon,point,n,mae,rmse
inner,TCN_BRES,2,2,MJ1,179,0.348077369472905,0.367174230036247
inner,TCN_BRES,2,3,ATU1,178,0.948432560312262,1.08703174078419
inner,TCN_BRES,2,3,ATU5,178,1.64499045209938,2.14433392845216
inner,TCN_BRES,2,3,MJ3,178,1.32063033591878,1.41497383749375
inner,TCN_BRES,2,3,MJ1,178,0.5302372547084,0.557090767984399
inner,TCN_BRES,2,4,ATU1,177,1.26925374781505,1.431202017468
inner,TCN_BRES,2,4,ATU5,177,2.22240234679716,2.88618948337947
inner,TCN_BRES,2,4,MJ3,177,1.80889717642749,1.93524940030975
inner,TCN_BRES,2,4,MJ1,177,0.714235601410123,0.749374720185637
inner,TCN_BRES,2,5,ATU1,176,1.6465289703403,1.83567403111063
inner,TCN_BRES,2,5,ATU5,176,2.81190098644551,3.64118926152382
inner,TCN_BRES,2,5,MJ3,176,2.31727488657192,2.47596145814812
inner,TCN_BRES,2,5,MJ1,176,0.898733723452173,0.942950931744892
inner,TCN_BRES,2,6,ATU1,175,2.03582451430437,2.26472153971672
inner,TCN_BRES,2,6,ATU5,175,3.41927825206421,4.42243173776812
inner,TCN_BRES,2,6,MJ3,175,2.84203539988419,3.03367573021425
inner,TCN_BRES,2,6,MJ1,175,1.08304648397868,1.13691156588656
inner,TCN_BRES,2,7,ATU1,174,2.45483035071691,2.76208014273021
inner,TCN_BRES,2,7,ATU5,174,4.05372409154565,5.24122667032342
inner,TCN_BRES,2,7,MJ3,174,3.37969716292816,3.60477165431488
inner,TCN_BRES,2,7,MJ1,174,1.26650039175069,1.33064733040075
development,TCN_DIRECT,0,1,ATU1,376,0.173523716447859,0.310561951146412
development,TCN_DIRECT,0,1,ATU5,376,0.164011742473484,0.249283191374451
development,TCN_DIRECT,0,1,MJ3,376,0.0832268069747608,0.0988743838340572
development,TCN_DIRECT,0,1,MJ1,376,0.124349894230642,0.13481705990641
development,TCN_DIRECT,0,2,ATU1,375,0.353779361193242,0.644117524448725
development,TCN_DIRECT,0,2,ATU5,375,0.336676101000799,0.520527252610481
development,TCN_DIRECT,0,2,MJ3,375,0.168996210260696,0.200349095320632
development,TCN_DIRECT,0,2,MJ1,375,0.252459500141562,0.273857651561003
development,TCN_DIRECT,0,3,ATU1,374,0.537866602833205,1.00097052980668
development,TCN_DIRECT,0,3,ATU5,374,0.519399249430562,0.815292325266983
development,TCN_DIRECT,0,3,MJ3,374,0.257543950209783,0.304847308092479
development,TCN_DIRECT,0,3,MJ1,374,0.384608116824742,0.417494454971287
development,TCN_DIRECT,0,4,ATU1,373,0.725121277002281,1.38022640807536
development,TCN_DIRECT,0,4,ATU5,373,0.714807429431065,1.13395314452092
development,TCN_DIRECT,0,4,MJ3,373,0.349058620380301,0.412833735306408
development,TCN_DIRECT,0,4,MJ1,373,0.520790711723902,0.565716990609582
development,TCN_DIRECT,0,5,ATU1,372,0.916867224999806,1.77971021010871
development,TCN_DIRECT,0,5,ATU5,372,0.925706262148675,1.47557153329638
development,TCN_DIRECT,0,5,MJ3,372,0.443930773643464,0.524794191177261
development,TCN_DIRECT,0,5,MJ1,372,0.661485702307604,0.719187089942047
development,TCN_DIRECT,0,6,ATU1,371,1.11241542240905,2.19691740580135
development,TCN_DIRECT,0,6,ATU5,371,1.1489134380725,1.8388527203322
development,TCN_DIRECT,0,6,MJ3,371,0.542091583139368,0.641112915253326
development,TCN_DIRECT,0,6,MJ1,371,0.806578402441415,0.877779612271731
development,TCN_DIRECT,0,7,ATU1,370,1.32348742698199,2.62982748706358
development,TCN_DIRECT,0,7,ATU5,370,1.38612136091844,2.22250430299391
development,TCN_DIRECT,0,7,MJ3,370,0.643850893329547,0.762298777370144
development,TCN_DIRECT,0,7,MJ1,370,0.956364266720364,1.04187957037054
development,TCN_DIRECT,1,1,ATU1,376,0.18025291997874,0.388101950334811
development,TCN_DIRECT,1,1,ATU5,376,0.145051972656462,0.264756724814094
development,TCN_DIRECT,1,1,MJ3,376,0.0886075503595849,0.105891654796295
development,TCN_DIRECT,1,1,MJ1,376,0.106001255936736,0.118385678806756
development,TCN_DIRECT,1,2,ATU1,375,0.359664604198717,0.796641610345202
development,TCN_DIRECT,1,2,ATU5,375,0.289198869196612,0.553804150988157
development,TCN_DIRECT,1,2,MJ3,375,0.179382206423337,0.21430925474591
development,TCN_DIRECT,1,2,MJ1,375,0.215044114886911,0.240446743600334
development,TCN_DIRECT,1,3,ATU1,374,0.537205508657836,1.22738865897894
development,TCN_DIRECT,1,3,ATU5,374,0.43485429727979,0.869576038013727
development,TCN_DIRECT,1,3,MJ3,374,0.272845939162718,0.325694112907439
development,TCN_DIRECT,1,3,MJ1,374,0.327432988947582,0.366530550756466
development,TCN_DIRECT,1,4,ATU1,373,0.714735032224607,1.68059533872348
development,TCN_DIRECT,1,4,ATU5,373,0.584162223544045,1.21194906865213
development,TCN_DIRECT,1,4,MJ3,373,0.36934196779107,0.44051367032309
development,TCN_DIRECT,1,4,MJ1,373,0.44352926755417,0.496977304882831
development,TCN_DIRECT,1,5,ATU1,372,0.896096187350841,2.1548048721498
development,TCN_DIRECT,1,5,ATU5,372,0.745945939006199,1.57963269983456
development,TCN_DIRECT,1,5,MJ3,372,0.469390287389715,0.559322246980405
development,TCN_DIRECT,1,5,MJ1,372,0.563991632092094,0.632087979124374
development,TCN_DIRECT,1,6,ATU1,371,1.08512332632129,2.64936445819311
development,TCN_DIRECT,1,6,ATU5,371,0.920558146601498,1.97060894599004
development,TCN_DIRECT,1,6,MJ3,371,0.573472965070631,0.682609729589192
development,TCN_DIRECT,1,6,MJ1,371,0.688874180913114,0.7720290317578
development,TCN_DIRECT,1,7,ATU1,370,1.28545400491591,3.16300992100502
development,TCN_DIRECT,1,7,ATU5,370,1.1095804443437,2.38393473200359
development,TCN_DIRECT,1,7,MJ3,370,0.681717498852754,0.810826560025233
development,TCN_DIRECT,1,7,MJ1,370,0.818567227667823,0.916960743001265
development,TCN_DIRECT,2,1,ATU1,376,0.125561181767416,0.264940256210745
development,TCN_DIRECT,2,1,ATU5,376,0.182633237752637,0.261396757087433
development,TCN_DIRECT,2,1,MJ3,376,0.111685184431515,0.131949282462682
development,TCN_DIRECT,2,1,MJ1,376,0.125605375092281,0.145048348139632
development,TCN_DIRECT,2,2,ATU1,375,0.247288184286084,0.57738107248586
development,TCN_DIRECT,2,2,ATU5,375,0.386744056016229,0.567321534328506
development,TCN_DIRECT,2,2,MJ3,375,0.224664225534075,0.264906517329548
development,TCN_DIRECT,2,2,MJ1,375,0.252785817785722,0.291948448484431
development,TCN_DIRECT,2,3,ATU1,374,0.377023408846262,0.942589568945464
development,TCN_DIRECT,2,3,ATU5,374,0.616881221658279,0.924987806613911
development,TCN_DIRECT,2,3,MJ3,374,0.339742807046869,0.399842509484522
development,TCN_DIRECT,2,3,MJ1,374,0.381943568475645,0.441264578511588
development,TCN_DIRECT,2,4,ATU1,373,0.53236751310516,1.36278413344529
development,TCN_DIRECT,2,4,ATU5,373,0.876293992210353,1.33863063338483
development,TCN_DIRECT,2,4,MJ3,373,0.457788145689337,0.537766076383001
development,TCN_DIRECT,2,4,MJ1,373,0.513817329979613,0.593903986019888
development,TCN_DIRECT,2,5,ATU1,372,0.722297207902886,1.83774242768696
development,TCN_DIRECT,2,5,ATU5,372,1.17358932621783,1.80988195895521
development,TCN_DIRECT,2,5,MJ3,372,0.57921275378399,0.67963030484154
development,TCN_DIRECT,2,5,MJ1,372,0.648105365813488,0.749659147147332
development,TCN_DIRECT,2,6,ATU1,371,0.946643072684104,2.36610554575447
development,TCN_DIRECT,2,6,ATU5,371,1.51044752524979,2.33863875283428
development,TCN_DIRECT,2,6,MJ3,371,0.70466835174945,0.826324417622507
development,TCN_DIRECT,2,6,MJ1,371,0.785846261673972,0.909564221111342
development,TCN_DIRECT,2,7,ATU1,370,1.20797429776425,2.94617346748147
development,TCN_DIRECT,2,7,ATU5,370,1.88594004307739,2.92349398359334
development,TCN_DIRECT,2,7,MJ3,370,0.83474962731576,0.978713833290263
development,TCN_DIRECT,2,7,MJ1,370,0.927439436467952,1.07377672055996
development,TCN_BRES,0,1,ATU1,376,0.12998018101771,0.191140047401454
development,TCN_BRES,0,1,ATU5,376,0.109928248759156,0.14004300596474
development,TCN_BRES,0,1,MJ3,376,0.0518874143485156,0.06338116974452
development,TCN_BRES,0,1,MJ1,376,0.0691380850559555,0.0842064613840798
development,TCN_BRES,0,2,ATU1,375,0.234534046486768,0.291690932623141
development,TCN_BRES,0,2,ATU5,375,0.240781998558198,0.310212989579043
