phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,role,limitation
development,PINN_EQ,7,370,1.68916714385033,3.49474029936378,1.45873753347549,0.80945945945946,6.60146619904915,11.6778925369356,0.891216216216216,8.47289013773645,17.1361253202534,0.931756756756757,10.0960713116499,25.9031533925628,3.83635127909691,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
development,C16_CORE_RULES,1,376,4.0370973068432e-05,8.34242765866008e-05,0.0001860899466374,0.948803191489362,0.0018876849386006,0.0019719115843573,0.95811170212766,0.0024228173889231,0.0025686396632543,0.962101063829787,0.0028869649831409,0.0031453711839736,8.63101780266635e-05,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,2,375,0.0001850492622099,0.0003609835117302,0.0006110012248248,0.938,0.0059890623988557,0.0063669343731233,0.946,0.0076868783696681,0.0083290908553028,0.952,0.0091594805222958,0.0102768617681253,0.0003735097532708,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,3,374,0.0005120593784837,0.0009465280143737,0.0013340302968416,0.929144385026738,0.0126621116307086,0.0136625676190484,0.945855614973262,0.0162516443353448,0.0179116456884902,0.950534759358289,0.0193650286353235,0.0222230055102614,0.0009788438957468,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,4,373,0.0011148422407703,0.0019531415882761,0.0024237810846138,0.916219839142091,0.0222894787150477,0.0243597276897128,0.943699731903485,0.0286082362138347,0.0319714205271727,0.951742627345844,0.0340888160025822,0.039760343686312,0.0020185519779842,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,5,372,0.0020888303339199,0.0035095273806108,0.0039553966763989,0.903225806451613,0.0352725466217756,0.0390345259136669,0.936827956989247,0.0452718234696957,0.051172527010434,0.94758064516129,0.0539447049033188,0.063652252173746,0.0036242235303685,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,6,371,0.0035359008153191,0.0057547104031376,0.0060103301515137,0.8955525606469,0.0520278243775607,0.0583043664942252,0.92654986522911,0.0667769896511773,0.0763964698143548,0.946091644204852,0.0795696909243408,0.0950801656012627,0.0059362814198848,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
development,C16_CORE_RULES,7,370,0.0055926332322553,0.008827028332068,0.0086706281316609,0.889189189189189,0.0729571029154262,0.0827021067516247,0.92027027027027,0.0936394278378616,0.108353649956865,0.943243243243243,0.111578260270673,0.134814113252116,0.0090934170157815,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,CL_DIRECT,1,293,0.0940804512476721,0.138709978004755,0.0708668856085706,0.695392491467577,0.284843769894027,0.491634768908546,0.806313993174061,0.365593020695668,0.610405559466765,0.906143344709898,0.435630953309061,0.75277310912272,0.150830871613534,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
later_exploratory,CL_DIRECT,2,292,0.191016675663322,0.283239361111919,0.145903707247547,0.691780821917808,0.58305767844527,1.02403205692755,0.80222602739726,0.748346428577037,1.29447324821029,0.889554794520548,0.891709769147408,1.61843290245664,0.308364281155815,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
