fold,date,issue_batch_sha256,outcome_phase,available_station_score_count,abstained_station_score_count,block_o1_available_station_count,block_o1_expected_station_count,block_o1_contributor_station,block_o1_max_anomaly_score,block_o2_available_station_count,block_o2_expected_station_count,block_o2_contributor_station,block_o2_max_anomaly_score,block_o3_available_station_count,block_o3_expected_station_count,block_o3_contributor_station,block_o3_max_anomaly_score,cross_block_min_of_block_max_anomaly_score,site_score_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
1,2018-05-06,b49204fb3abca7983006b92342241c9a658dbaa141b35d96a62a59b710b1956c,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.72893322771346203,2,3,ATU4,1.8750612633917001,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-07,2613d24b89ef3a89a7ee4e761341ca84a58aa048c39c618512c24f3fad00bf5f,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.83942090712256634,2,3,ATU4,1.8808135922807914,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-08,8a7b48b6a0d8918990f0277dcbc73ad35738282e5ad6dfc4dcb84a01f3bed09d,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.0413926851582249,2,3,ATU4,1.8864907251724818,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-09,6de0d348d54edb66558dd59c9f3e54f7d50e8da4772596208628e87e5953bdba,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.0469965626762237,2,3,ATU4,1.8920946026904804,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-10,58c3719e5567b314bca059dc0473594ec007c21e33e88ac17813a905df74b685,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.94338458185111662,2,3,ATU4,1.8976270912904414,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-11,383427da12272a88b6f67c38826118097e3a579388122743c665d635a8c34c98,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.82390874094431876,2,3,ATU4,1.9030899869919435,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-12,aa9e9bfa738c81076036e12e55bc329876f7a744fda60e24630898779b9c04e9,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.79454166657181302,2,3,ATU4,1.9084850188786497,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-13,c8b47e1acb7d68a61e2649d93465fbd6f58ec5a6b1fda256d4ab1cc0259e76b9,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.91381385238371671,2,3,ATU4,1.9138138523837167,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-14,f491a182d6ab4e33dc59f33fccce6e7fb0f3168f97b80e0c55ab40bcd5edca24,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.4419568376564116,2,3,ATU4,1.919078092376074,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-15,f7016bd0dcb0abeeb77e428f866a06bf59dc85394a7f3f50dcc80160d437b367,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.9242792860618816,2,3,ATU4,1.9242792860618816,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-16,b90522732718dc51ba02ab833b4bc6e3812cf3e5ce3af09e8ff0a574bc03e480,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.9294189257142926,2,3,ATU4,1.9294189257142926,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-17,a47308734e7366cc82a3371f6adfeb29baab0eb163366d6e1ab77e96ef9b4a88,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,1.9344984512435677,2,3,ATU4,1.9344984512435677,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
