origin,phase,method,seed,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,historical_exploratory,ALPHA_SELECTED,0,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,ALPHA_SELECTED,1,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,ALPHA_SELECTED,2,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,L0,0,293,30.947588881219403,35.763570875837516,36.167937954734782,0.70563139931740615,171.4264233952033,333.9696421307263,0.76194539249146764,220.02343242200641,506.59704002014161,0.7764505119453925,262.1740902874501,781.65483383774313
612,historical_exploratory,L0,1,293,30.234466843656364,35.179020724721966,35.753354923663267,0.70733788395904429,171.4264233952033,330.57827372704332,0.75511945392491464,220.02343242200638,500.07456458626956,0.77730375426621168,262.1740902874501,768.55359311804114
612,historical_exploratory,L0,2,293,32.028721600040299,37.070982043811654,35.972800774176768,0.71501706484641636,171.4264233952033,328.76753504568541,0.76450511945392485,220.02343242200641,498.86590518481842,0.80375426621160417,262.1740902874501,769.3468178427463
612,historical_exploratory,L033,0,293,30.153032825920949,35.274620888324655,35.650841518435882,0.71672354948805461,171.76151551242873,327.82286846680915,0.76791808873720135,220.45351849829069,493.19276443434927,0.78156996587030714,262.68656945639088,751.55122891496319
612,historical_exploratory,L033,1,293,29.5808147901373,34.655285627750416,35.359114061918312,0.71843003412969286,171.76151551242873,325.09447736194369,0.76791808873720135,220.45351849829069,487.84910108822589,0.78242320819112621,262.68656945639088,741.10758495628033
612,historical_exploratory,L033,2,293,31.310021183217032,36.365085563955461,35.345638149530593,0.72440273037542657,171.76151551242873,322.47381168073923,0.773037542662116,220.45351849829069,484.96469299973791,0.8122866894197952,262.68656945639088,739.56897445355764
612,historical_exploratory,L1,0,293,29.606284192373742,34.957914186612584,35.177201544293183,0.71928327645051193,171.29754090135614,322.59863291458367,0.77133105802047786,219.85801353200259,483.16860054425928,0.80972696245733788,261.97698152259846,731.43194621473867
612,historical_exploratory,L1,1,293,29.41171666739405,34.712877110095683,34.949125669910885,0.72013651877133111,171.29754090135614,320.1167293314561,0.77218430034129693,219.85801353200259,478.42542794798123,0.79607508532423199,261.97698152259846,721.94626624297109
612,historical_exploratory,L1,2,293,30.522261325528728,35.65142054797078,34.7680265408869,0.72781569965870307,171.29754090135614,317.3456878665346,0.7764505119453925,219.85801353200259,474.83044702594032,0.81484641638225253,261.97698152259846,719.10028552306528
612,historical_exploratory,L3,0,293,29.462083036918379,34.922138710374398,34.901701167788978,0.72440273037542657,171.59451649725807,319.4613282203797,0.77389078498293518,220.2391775828051,477.31157126330663,0.81399317406143346,262.43116650266802,721.56153717622692
612,historical_exploratory,L3,1,293,29.472002455661546,34.900272769429364,34.703447847510247,0.72525597269624564,171.59451649725807,317.39648813509905,0.77559726962457332,220.2391775828051,473.63338901204946,0.81569965870307171,262.43116650266802,714.6164792665453
612,historical_exploratory,L3,2,293,29.887764015807871,35.173371427354979,34.513390079334847,0.7303754266211604,171.59451649725807,315.39701220566343,0.77815699658703075,220.2391775828051,470.84960042654046,0.81569965870307171,262.43116650266802,711.39534142928835
612,historical_exploratory,LAMBDA_SELECTED,0,293,29.462083036918379,34.922138710374398,34.901701167788978,0.72440273037542657,171.59451649725807,319.4613282203797,0.77389078498293518,220.2391775828051,477.31157126330663,0.81399317406143346,262.43116650266802,721.56153717622692
612,historical_exploratory,LAMBDA_SELECTED,1,293,29.472002455661546,34.900272769429364,34.703447847510247,0.72525597269624564,171.59451649725807,317.39648813509905,0.77559726962457332,220.2391775828051,473.63338901204946,0.81569965870307171,262.43116650266802,714.6164792665453
612,historical_exploratory,LAMBDA_SELECTED,2,293,29.887764015807871,35.173371427354979,34.513390079334847,0.7303754266211604,171.59451649725807,315.39701220566343,0.77815699658703075,220.2391775828051,470.84960042654046,0.81569965870307171,262.43116650266802,711.39534142928835
792,historical_exploratory,BPLUS_CONTINUOUS,0,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,BPLUS_CONTINUOUS,1,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,BPLUS_CONTINUOUS,2,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,DRIFT1,0,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,historical_exploratory,DRIFT1,1,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,historical_exploratory,DRIFT1,2,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,historical_exploratory,RR_COND,0,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,historical_exploratory,RR_COND,1,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,historical_exploratory,RR_COND,2,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,historical_exploratory,A0,0,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,A0,1,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,A0,2,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,A025,0,293,23.91290391547248,27.925630183460061,23.990866259502813,0.55204778156996592,75.305703099679647,217.08248263033778,0.57423208191126274,96.65382354006249,363.87384897148786,0.6151877133105802,115.17013429195606,625.88800775009713
792,historical_exploratory,A025,1,293,24.182351167487912,28.045304743445918,24.246110977669105,0.54778156996587035,75.305703099679647,217.45122937466451,0.56569965870307171,96.653823540062504,364.2017237051648,0.60153583617747441,115.17013429195606,625.20256672703601
792,historical_exploratory,A025,2,293,26.080548287042934,29.561430625253703,25.689371083776209,0.50767918088737196,75.305703099679647,232.591521815421,0.52901023890784982,96.653823540062504,393.08811058354399,0.54948805460750849,115.17013429195606,680.53878116957344
792,historical_exploratory,A05,0,293,24.334404558348027,28.727017690097622,23.880027826173965,0.57935153583617749,75.770648317704683,216.1877898265991,0.61177474402730381,97.250574266887369,361.92047242944477,0.62286689419795227,115.88120664098493,620.7594534078861
