prefix,part,start_index,end_index_exclusive,feature,days,mean_z,sd_z,min_z,max_z,training_min_z,training_max_z,outside_days,outside_fraction
432,forward,432,612,moisture_O1_down,180,-0.457243284908607,1.1228900445808274,-2.275093888662076,1.5319700128011062,-2.8930209090842482,1.5318231121233168,1,0.005555555555555556
432,forward,432,612,reservoir_head,180,0.8554846693020698,0.84482247372114,-1.1780846338513844,1.5379420271080706,-1.3073149534696067,1.4009213157952378,70,0.3888888888888889
612,train,30,612,rain_mm,582,0.004553118727747359,1.0138691536805615,-0.3551078122496279,7.4070297841944805,-0.3551078122496279,7.4070297841944805,0,0.0
612,train,30,612,rwl_m,582,0.04412369066805668,1.0038138303748434,-1.7059371192028538,1.1925253086125385,-1.7059371192028538,1.1925253086125385,0,0.0
612,train,30,612,rwl_daily_change_m,582,-0.008903712687824283,0.48008578028492505,-4.174934640522881,2.6750653594771414,-4.174934640522881,2.6750653594771414,0,0.0
612,train,30,612,rain_head_O3,582,0.008522914222331986,1.0181529221308714,-0.37520220295332457,7.5890932217414315,-0.3752022029533247,7.5890932217414315,0,0.0
612,train,30,612,rain_head_O2,582,0.008750208783109815,1.0188030945168207,-0.3838821052481755,7.598654280984164,-0.3838821052494884,7.598654280984164,0,0.0
612,train,30,612,rain_head_O1_up,582,0.00842241642607627,1.017820510823846,-0.3711392887133731,7.5751914941871465,-0.3711392887133731,7.5751914941871465,0,0.0
612,train,30,612,rain_head_O1_down,582,0.014086016072123664,1.0215339538944135,-0.5253839995359526,6.577606073649033,-0.5300886335858642,6.577606073649033,0,0.0
612,train,30,612,moisture_O3,582,-0.006157039641979765,1.007356239731882,-1.002955587792021,2.544018126550593,-1.002955587792021,2.544018126550593,0,0.0
612,train,30,612,moisture_O2,582,0.045764567678925346,0.8992571687062595,-1.9717705417168905,1.4679069719376898,-3.3813089173174684,1.4679069719376898,0,0.0
612,train,30,612,moisture_O1_up,582,-0.00927351779481209,1.0075691986240636,-1.3701406011208768,2.1801346499105385,-1.3701406011208768,2.1801346499105385,0,0.0
612,train,30,612,moisture_O1_down,582,-0.00927351779481209,1.0075691986240636,-1.3701406011208768,2.1801346499105385,-1.3701406011208768,2.1801346499105385,0,0.0
612,train,30,612,reservoir_head,582,0.07586809704876316,0.9663195320425935,-1.587749387736774,1.3426539698806144,-1.587749387736774,1.3426539698806144,0,0.0
612,forward,612,792,rain_mm,180,0.33472450922144054,1.003445124473298,-0.3551078122496279,3.058607151631551,-0.3551078122496279,7.4070297841944805,0,0.0
612,forward,612,792,rwl_m,180,-0.7290939168865848,0.5779128503883701,-1.758582255828699,0.18034805914582033,-1.7059371192028538,1.1925253086125385,7,0.03888888888888889
612,forward,612,792,rwl_daily_change_m,180,-0.10187908496732027,0.5162235704531106,-1.2149346405228736,2.365065359477139,-4.174934640522881,2.6750653594771414,0,0.0
612,forward,612,792,rain_head_O3,180,0.36075520717214354,1.0128738947085651,-0.37520219886728196,3.128252913198484,-0.3752022029533247,7.5890932217414315,0,0.0
612,forward,612,792,rain_head_O2,180,0.36911519411800053,1.0140246852026817,-0.38388121483085286,3.1334456350651005,-0.3838821052494884,7.598654280984164,0,0.0
612,forward,612,792,rain_head_O1_up,180,0.3568459058348977,1.0120136620217846,-0.3711392885663277,3.117497553533756,-0.3711392887133731,7.5751914941871465,0,0.0
612,forward,612,792,rain_head_O1_down,180,0.5073533095489556,1.0084384174642362,-0.459442318239433,3.6380835387418817,-0.5300886335858642,6.577606073649033,0,0.0
612,forward,612,792,moisture_O3,180,0.73670996636979,1.0896388844935543,-0.8594984897550251,2.40184129658609,-1.002955587792021,2.544018126550593,0,0.0
612,forward,612,792,moisture_O2,180,0.8669479030229625,0.46224216027131465,-0.2588557457931805,1.4469162698705533,-3.3813089173174684,1.4679069719376898,0,0.0
612,forward,612,792,moisture_O1_up,180,0.8243804581342424,0.9012987830645763,-0.7425820571515348,2.1034504204596307,-1.3701406011208768,2.1801346499105385,0,0.0
612,forward,612,792,moisture_O1_down,180,0.8243804581342424,0.9012987830645763,-0.7425820571515348,2.1034504204596307,-1.3701406011208768,2.1801346499105385,0,0.0
612,forward,612,792,reservoir_head,180,0.01732412446228899,0.7373262093335112,-0.891569441943009,1.220926782451108,-1.587749387736774,1.3426539698806144,0,0.0
