check,values,max_difference,tolerance
612/G_CACHED/0/init/adjacency,16,0,0
612/G_CACHED/0/init/gru.weight_ih_l0,336,0,0
612/G_CACHED/0/init/gru.weight_hh_l0,192,0,0
612/G_CACHED/0/init/gru.bias_ih_l0,24,0,0
612/G_CACHED/0/init/gru.bias_hh_l0,24,0,0
612/G_CACHED/0/init/message.weight,64,0,0
612/G_CACHED/0/init/message.bias,8,0,0
612/G_CACHED/0/init/point.weight,16,0,0
612/G_CACHED/0/init/decode.weight,544,0,0
612/G_CACHED/0/init/decode.bias,16,0,0
612/G_CACHED/0/init/head.weight,16,0,0
612/G_CACHED/0/init/head.bias,1,0,0
612/G_CACHED/0/50/reload,1172,0,0
612/G_CACHED/0/50/change,1172,0,0
612/G_CACHED/0/50/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/0/50/h0,4,0,1e-10
612/G_CACHED/0/100/reload,1172,0,0
612/G_CACHED/0/100/change,1172,0,0
612/G_CACHED/0/100/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/0/100/h0,4,0,1e-10
612/G_CACHED/0/200/reload,1172,0,0
612/G_CACHED/0/200/change,1172,0,0
612/G_CACHED/0/200/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/0/200/h0,4,0,1e-10
612/G_CACHED/0/future_label_poison,1172,0,0
612/G_CACHED/1/origins,800,0,0
612/G_CACHED/1/distances,12800,0,0
612/G_CACHED/1/loss,200,0,0
612/G_CACHED/1/0/reload,1172,0,0
612/G_CACHED/1/0/change,1172,0,0
612/G_CACHED/1/0/numpy,1172,0,9.9999999999999995e-08
612/G_CACHED/1/0/h0,4,0,1e-10
612/G_CACHED/1/zero,1172,0,0
612/G_CACHED/1/init/adjacency,16,0,0
612/G_CACHED/1/init/gru.weight_ih_l0,336,0,0
612/G_CACHED/1/init/gru.weight_hh_l0,192,0,0
612/G_CACHED/1/init/gru.bias_ih_l0,24,0,0
612/G_CACHED/1/init/gru.bias_hh_l0,24,0,0
612/G_CACHED/1/init/message.weight,64,0,0
612/G_CACHED/1/init/message.bias,8,0,0
612/G_CACHED/1/init/point.weight,16,0,0
612/G_CACHED/1/init/decode.weight,544,0,0
612/G_CACHED/1/init/decode.bias,16,0,0
612/G_CACHED/1/init/head.weight,16,0,0
612/G_CACHED/1/init/head.bias,1,0,0
612/G_CACHED/1/50/reload,1172,0,0
612/G_CACHED/1/50/change,1172,0,0
612/G_CACHED/1/50/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/1/50/h0,4,0,1e-10
612/G_CACHED/1/100/reload,1172,0,0
612/G_CACHED/1/100/change,1172,0,0
612/G_CACHED/1/100/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/1/100/h0,4,0,1e-10
612/G_CACHED/1/200/reload,1172,0,0
612/G_CACHED/1/200/change,1172,0,0
612/G_CACHED/1/200/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/1/200/h0,4,0,1e-10
612/G_CACHED/1/future_label_poison,1172,0,0
612/G_CACHED/2/origins,800,0,0
612/G_CACHED/2/distances,12800,0,0
612/G_CACHED/2/loss,200,0,0
612/G_CACHED/2/0/reload,1172,0,0
612/G_CACHED/2/0/change,1172,0,0
612/G_CACHED/2/0/numpy,1172,0,9.9999999999999995e-08
612/G_CACHED/2/0/h0,4,0,1e-10
612/G_CACHED/2/zero,1172,0,0
612/G_CACHED/2/init/adjacency,16,0,0
612/G_CACHED/2/init/gru.weight_ih_l0,336,0,0
612/G_CACHED/2/init/gru.weight_hh_l0,192,0,0
612/G_CACHED/2/init/gru.bias_ih_l0,24,0,0
612/G_CACHED/2/init/gru.bias_hh_l0,24,0,0
612/G_CACHED/2/init/message.weight,64,0,0
612/G_CACHED/2/init/message.bias,8,0,0
612/G_CACHED/2/init/point.weight,16,0,0
612/G_CACHED/2/init/decode.weight,544,0,0
612/G_CACHED/2/init/decode.bias,16,0,0
612/G_CACHED/2/init/head.weight,16,0,0
612/G_CACHED/2/init/head.bias,1,0,0
612/G_CACHED/2/50/reload,1172,0,0
612/G_CACHED/2/50/change,1172,0,0
612/G_CACHED/2/50/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/2/50/h0,4,0,1e-10
612/G_CACHED/2/100/reload,1172,0,0
612/G_CACHED/2/100/change,1172,0,0
612/G_CACHED/2/100/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/2/100/h0,4,0,1e-10
612/G_CACHED/2/200/reload,1172,0,0
612/G_CACHED/2/200/change,1172,0,0
612/G_CACHED/2/200/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_CACHED/2/200/h0,4,5.6843418860808015e-14,1e-10
612/G_CACHED/2/future_label_poison,1172,0,0
612/G_CACHED/seeds,3516,0,0
612/G_CACHED/ensemble,1172,0,0
612/G_REFRESH/432/training_input_0,24192,0,1.0000000000000001e-09
612/G_REFRESH/432/training_input_1,1,0,1.0000000000000001e-09
612/G_REFRESH/432/training_input_2,7240,0,1.0000000000000001e-09
612/G_REFRESH/432/training_input_3,362,0,1.0000000000000001e-09
612/G_REFRESH/432/all_mature_targets,720,0,9.9999999999999998e-13
612/G_REFRESH/492/training_input_0,27552,0,1.0000000000000001e-09
612/G_REFRESH/492/training_input_1,1,0,1.0000000000000001e-09
612/G_REFRESH/492/training_input_2,4840,0,1.0000000000000001e-09
612/G_REFRESH/492/training_input_3,242,0,1.0000000000000001e-09
612/G_REFRESH/492/all_mature_targets,480,0,9.9999999999999998e-13
612/G_REFRESH/552/training_input_0,30912,0,1.0000000000000001e-09
612/G_REFRESH/552/training_input_1,1,0,1.0000000000000001e-09
612/G_REFRESH/552/training_input_2,2440,0,1.0000000000000001e-09
612/G_REFRESH/552/training_input_3,122,0,1.0000000000000001e-09
612/G_REFRESH/552/all_mature_targets,240,0,9.9999999999999998e-13
612/G_REFRESH/0/origins,800,0,0
612/G_REFRESH/0/distances,12800,0,0
612/G_REFRESH/0/loss,200,0,0
612/G_REFRESH/0/0/reload,1172,0,0
612/G_REFRESH/0/0/change,1172,0,0
612/G_REFRESH/0/0/numpy,1172,0,9.9999999999999995e-08
612/G_REFRESH/0/0/h0,4,0,1e-10
612/G_REFRESH/0/zero,1172,0,0
612/G_REFRESH/0/init/adjacency,16,0,0
612/G_REFRESH/0/init/gru.weight_ih_l0,336,0,0
612/G_REFRESH/0/init/gru.weight_hh_l0,192,0,0
612/G_REFRESH/0/init/gru.bias_ih_l0,24,0,0
612/G_REFRESH/0/init/gru.bias_hh_l0,24,0,0
612/G_REFRESH/0/init/message.weight,64,0,0
612/G_REFRESH/0/init/message.bias,8,0,0
612/G_REFRESH/0/init/point.weight,16,0,0
612/G_REFRESH/0/init/decode.weight,544,0,0
612/G_REFRESH/0/init/decode.bias,16,0,0
612/G_REFRESH/0/init/head.weight,16,0,0
612/G_REFRESH/0/init/head.bias,1,0,0
612/G_REFRESH/0/50/reload,1172,0,0
612/G_REFRESH/0/50/change,1172,0,0
612/G_REFRESH/0/50/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/0/50/h0,4,0,1e-10
612/G_REFRESH/0/100/reload,1172,0,0
612/G_REFRESH/0/100/change,1172,0,0
612/G_REFRESH/0/100/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/0/100/h0,4,0,1e-10
612/G_REFRESH/0/200/reload,1172,0,0
612/G_REFRESH/0/200/change,1172,0,0
612/G_REFRESH/0/200/numpy,1172,2.2737367544323206e-13,9.9999999999999995e-08
612/G_REFRESH/0/200/h0,4,0,1e-10
612/G_REFRESH/0/future_label_poison,1172,0,0
612/G_REFRESH/1/origins,800,0,0
612/G_REFRESH/1/distances,12800,0,0
612/G_REFRESH/1/loss,200,0,0
612/G_REFRESH/1/0/reload,1172,0,0
612/G_REFRESH/1/0/change,1172,0,0
