case,date,station,split,actual_displacement_mm,v0_candidate_status,candidate_v0_mm_per_day,v0_candidate_available,v5_kinematic_branch_status,velocity_mm_per_day,velocity_status,velocity_ratio,velocity_ratio_status,delta_v_mm_per_day,delta_v_state,delta_v_near_zero_tau_mm_per_day,tangent_angle_degree,tangent_angle_status,interval_level,v4_reference_final_color,v4_reference_candidate_color,v4_reference_site_fusion_status,v4_reference_site_confirmed_color,v4_reference_local_max_color,candidate_display_only,v5_fusion_output,formal_warning_output,vajont_used
ootang,2019-02-08,ATU3,calibration,559.99122,unavailable,,False,not_applicable_v0_unavailable,0.0036300000000437,valid,,not_applicable_v0_unavailable,-0.0091699999999264,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,ATU4,calibration,281.94064,unavailable,,False,not_applicable_v0_unavailable,-0.0003200000000447,valid,,not_applicable_v0_unavailable,-0.0003100000000699,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,ATU5,calibration,593.2781035392188,unavailable,,False,not_applicable_v0_unavailable,0.0722976119391205,valid,,not_applicable_v0_unavailable,-0.00140288986222,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,MJ1,calibration,940.9219801963878,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1761445174030314,valid,0.7036153971078067,candidate_available,0.0056381223446351,positive,0.00474848045251647,35.130809021839774,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,MJ3,calibration,1209.920249447746,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1401394899530714,valid,0.5647796626600493,candidate_available,0.005203004445093,positive,0.0033703372423854266,29.456877814460793,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,MJ9,calibration,342.57627,unavailable,,False,not_applicable_v0_unavailable,0.0450800000000413,valid,,not_applicable_v0_unavailable,0.0080600000000572,positive,0.0004299540000099334,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-09,ATU1,calibration,458.8227194828949,unavailable,,False,not_applicable_v0_unavailable,0.0163560903095003,valid,,not_applicable_v0_unavailable,-0.0032964155109311,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,ATU2,calibration,327.58845,unavailable,,False,not_applicable_v0_unavailable,0.0920700000000351,valid,,not_applicable_v0_unavailable,0.0054600000000277,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,ATU3,calibration,559.98686,unavailable,,False,not_applicable_v0_unavailable,-0.0043600000000196,valid,,not_applicable_v0_unavailable,-0.0079900000000634,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,ATU4,calibration,281.94014,unavailable,,False,not_applicable_v0_unavailable,-0.0004999999999881,valid,,not_applicable_v0_unavailable,-0.0001799999999434,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,ATU5,calibration,593.3491999632544,unavailable,,False,not_applicable_v0_unavailable,0.0710964240355451,valid,,not_applicable_v0_unavailable,-0.0012011879035753,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,MJ1,calibration,941.1033162402445,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1813360438566178,valid,0.7243531299710894,candidate_available,0.0051915264535864,positive,0.00474848045251647,35.917810803255286,candidate_available,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,MJ3,calibration,1210.065264402467,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1450149547208639,valid,0.5844283951321518,candidate_available,0.0048754647677924,positive,0.0033703372423854266,30.303227849186236,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-09,MJ9,calibration,342.62875,unavailable,,False,not_applicable_v0_unavailable,0.0524800000000027,valid,,not_applicable_v0_unavailable,0.0073999999999614,positive,0.0004299540000099334,,not_applicable_v0_unavailable,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,ATU1,calibration,458.8361500706601,unavailable,,False,not_applicable_v0_unavailable,0.0134305877651854,valid,,not_applicable_v0_unavailable,-0.0029255025443148,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,ATU2,calibration,327.68515,unavailable,,False,not_applicable_v0_unavailable,0.0966999999999984,valid,,not_applicable_v0_unavailable,0.0046299999999632,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,ATU3,calibration,559.97574,unavailable,,False,not_applicable_v0_unavailable,-0.0111200000000053,valid,,not_applicable_v0_unavailable,-0.0067599999999856,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,ATU4,calibration,281.93965,unavailable,,False,not_applicable_v0_unavailable,-0.0004900000000134,valid,,not_applicable_v0_unavailable,9.999999974752429e-06,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,ATU5,calibration,593.4192969013444,unavailable,,False,not_applicable_v0_unavailable,0.070096938090046,valid,,not_applicable_v0_unavailable,-0.0009994859454991,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,MJ1,calibration,941.2893972146632,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1860809744187008,valid,0.743306920023209,candidate_available,0.004744930562083,near_zero,0.00474848045251647,36.62367758061768,candidate_available,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,MJ3,calibration,1210.214827282284,initial_segment_selected,0.2481312611240816,True,candidate_available,0.14956287981704,valid,0.602757101783515,candidate_available,0.0045479250961761,positive,0.0033703372423854266,31.07976988767599,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-10,MJ9,calibration,342.68799,unavailable,,False,not_applicable_v0_unavailable,0.0592399999999884,valid,,not_applicable_v0_unavailable,0.0067599999999856,positive,0.0004299540000099334,,not_applicable_v0_unavailable,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,ATU1,calibration,458.8470260688471,unavailable,,False,not_applicable_v0_unavailable,0.0108759981869752,valid,,not_applicable_v0_unavailable,-0.0025545895782101,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,ATU2,calibration,327.78568,unavailable,,False,not_applicable_v0_unavailable,0.100529999999992,valid,,not_applicable_v0_unavailable,0.0038299999999935,positive,0.0015419039999837046,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,ATU3,calibration,559.95905,unavailable,,False,not_applicable_v0_unavailable,-0.0166899999999259,valid,,not_applicable_v0_unavailable,-0.0055699999999205,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,ATU4,calibration,281.9393,unavailable,,False,not_applicable_v0_unavailable,-0.0003499999999689,valid,,not_applicable_v0_unavailable,0.0001400000000444,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,ATU5,calibration,593.4885960554475,unavailable,,False,not_applicable_v0_unavailable,0.0692991541030778,valid,,not_applicable_v0_unavailable,-0.0007977839869681,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,MJ1,calibration,941.4797765237524,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1903793090892804,valid,0.7604767672641659,candidate_available,0.0042983346705796,near_zero,0.00474848045251647,37.252145390389046,candidate_available,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,MJ3,calibration,1210.368610547521,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1537832652370525,valid,0.6197657825958132,candidate_available,0.0042203854200124,positive,0.0033703372423854266,31.789218316633164,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-11,MJ9,calibration,342.75332,unavailable,,False,not_applicable_v0_unavailable,0.0653299999999603,valid,,not_applicable_v0_unavailable,0.0060899999999719,positive,0.0004299540000099334,,not_applicable_v0_unavailable,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,ATU1,calibration,458.8557183904225,unavailable,,False,not_applicable_v0_unavailable,0.0086923215754382,valid,,not_applicable_v0_unavailable,-0.002183676611537,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,ATU2,calibration,327.88921,unavailable,,False,not_applicable_v0_unavailable,0.1035299999999779,valid,,not_applicable_v0_unavailable,0.0029999999999859,positive,0.0015419039999837046,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,ATU3,calibration,559.938,unavailable,,False,not_applicable_v0_unavailable,-0.0210500000000593,valid,,not_applicable_v0_unavailable,-0.0043600000001333,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,ATU4,calibration,281.93927,unavailable,,False,not_applicable_v0_unavailable,-2.99999999811007e-05,valid,,not_applicable_v0_unavailable,0.0003199999999878,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,ATU5,calibration,593.5572991275219,unavailable,,False,not_applicable_v0_unavailable,0.0687030720744132,valid,,not_applicable_v0_unavailable,-0.0005960820286645,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,MJ1,calibration,941.6740075716216,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1942310478691524,valid,0.7758626716971389,candidate_available,0.0038517387798719,near_zero,0.00474848045251647,37.80655150200051,candidate_available,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,MJ3,calibration,1210.526286658505,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1576761109838571,valid,0.635454437580958,candidate_available,0.0038928457468045,positive,0.0033703372423854266,32.43409888156955,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-12,MJ9,calibration,342.82408,unavailable,,False,not_applicable_v0_unavailable,0.070760000000007,valid,,not_applicable_v0_unavailable,0.0054300000000466,positive,0.0004299540000099334,,not_applicable_v0_unavailable,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,ATU1,calibration,458.8625979483523,unavailable,,False,not_applicable_v0_unavailable,0.0068795579297784,valid,,not_applicable_v0_unavailable,-0.0018127636456597,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,ATU2,calibration,327.99495,unavailable,,False,not_applicable_v0_unavailable,0.1057400000000257,valid,,not_applicable_v0_unavailable,0.0022100000000477,positive,0.0015419039999837046,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,ATU3,calibration,559.9138,unavailable,,False,not_applicable_v0_unavailable,-0.0241999999999507,valid,,not_applicable_v0_unavailable,-0.0031499999998914,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,ATU4,calibration,281.93972,unavailable,,False,not_applicable_v0_unavailable,0.0004500000000007,valid,,not_applicable_v0_unavailable,0.0004799999999818,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,ATU5,calibration,593.6256078195258,unavailable,,False,not_applicable_v0_unavailable,0.0683086920039386,valid,,not_applicable_v0_unavailable,-0.0003943800704746,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,MJ1,calibration,941.8716437623792,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1976361907576347,valid,0.7894646333194031,candidate_available,0.0034051428884822,near_zero,0.00474848045251647,38.28984372563502,candidate_available,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,MJ3,calibration,1210.687528075561,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1612414170560896,valid,0.6498230667334517,candidate_available,0.0035653060722324,positive,0.0033703372423854266,33.01674042114351,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,orange,True,False,False,False
ootang,2019-02-13,MJ9,calibration,342.89963,unavailable,,False,not_applicable_v0_unavailable,0.0755500000000211,valid,,not_applicable_v0_unavailable,0.004790000000014,positive,0.0004299540000099334,,not_applicable_v0_unavailable,3,orange,orange,candidate_not_site_confirmed,,orange,True,False,False,False
