phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,TRANSFORMER_BRES_REG1,LAST90,ATU1,376,38.87797631297428,44.159616828432725,35.88771110075285,0.07712765957446809,14.447262378385062,333.7716104956987,0.1675531914893617,18.54286051494792,620.6572792347981,0.18351063829787234,22.09518110557078,1168.0080109621802
development,TRANSFORMER_BRES_REG1,LAST90,ATU5,376,44.82370628909064,51.39539775069824,43.13224711113399,0.14893617021276595,8.282633136192544,417.3035391690357,0.18351063829787234,10.630644541396578,809.1078499144018,0.18882978723404256,12.667194267128153,1576.4516643924085
development,TRANSFORMER_BRES_REG1,LAST90,MJ3,376,25.936492745015105,39.47679474924339,26.511668400449437,1.0,214.96418277879854,214.96418277879854,1.0,275.9035416246468,275.9035416246468,1.0,328.7593472943729,328.7593472943729
development,TRANSFORMER_BRES_REG1,LAST90,MJ1,376,34.949569131623164,42.6224042804046,25.48960246827842,0.6888297872340425,64.99051638242243,171.61027171250907,0.726063829787234,83.41442472012473,242.36332194319613,0.75,99.39441757232682,333.5816828973385
development,TRANSFORMER_BRES_REG1,DIST90,ATU1,376,38.87797631297428,44.159616828432725,35.88771110075285,0.07712765957446809,14.447262378385062,333.7716104956987,0.1675531914893617,18.54286051494792,620.6572792347981,0.18351063829787234,22.09518110557078,1168.0080109621802
development,TRANSFORMER_BRES_REG1,DIST90,ATU5,376,44.82370628909064,51.39539775069824,43.13224711113399,0.14893617021276595,8.282633136192544,417.3035391690357,0.18351063829787234,10.630644541396578,809.1078499144018,0.18882978723404256,12.667194267128153,1576.4516643924085
development,TRANSFORMER_BRES_REG1,DIST90,MJ3,376,25.936492745015105,39.47679474924339,26.511668400449437,1.0,214.96418277879854,214.96418277879854,1.0,275.9035416246468,275.9035416246468,1.0,328.7593472943729,328.7593472943729
development,TRANSFORMER_BRES_REG1,DIST90,MJ1,376,34.949569131623164,42.6224042804046,25.48960246827842,0.6888297872340425,64.99051638242243,171.61027171250907,0.726063829787234,83.41442472012473,242.36332194319613,0.75,99.39441757232682,333.5816828973385
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,ATU1,376,38.87797631297428,44.159616828432725,35.458544077662474,0.10372340425531915,16.72807800371267,325.6838267705811,0.18351063829787234,21.470255677649206,599.5291202435048,0.19148936170212766,25.583387589964836,1114.8233324546716
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,ATU5,376,44.82370628909064,51.39539775069824,42.83799636782762,0.17553191489361702,9.912507677605264,412.1020698349015,0.18882978723404256,12.722565867854524,794.1656429990693,0.19414893617021275,15.15987227273763,1538.614409993106
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,MJ3,376,25.936492745015105,39.47679474924339,27.71806884940351,1.0,233.50547952547834,233.50547952547834,1.0,299.70103836384106,299.70103836384106,1.0,357.11581364906647,357.11581364906647
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,MJ1,376,34.949569131623164,42.6224042804046,24.727312225310293,0.7180851063829787,80.3853087855285,164.0687989670403,0.7579787234042553,103.17342685567544,210.98527218845973,0.8031914893617021,122.93872079881127,249.76930796916133
development,TRANSFORMER_BRES_HALF,LAST90,ATU1,376,39.80335069448516,44.95190724775179,37.23880914781825,0.05585106382978723,12.219846053263508,351.1990899128155,0.0797872340425532,15.68400261206623,661.4986189605979,0.09840425531914894,18.68864180337725,1255.7377880875272
