outer_days,branch,strategy,station,part,first_index,end_index_exclusive,days,rmse_mm,mae_mm,bias_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,OLD,OOF,ATU5,prediction,432,612,180,259.34703215175773,252.84051519330293,-252.84051519330293,239.2561828247194,0.0,61.58577044521486,2281.863578764374,0.0,79.27216269867746,4341.678281762128,0.0,94.73637233418413,8306.984564565742
432,OLD,OOF,MJ3,prediction,432,612,180,53.41815492141842,50.18053464792794,-50.18053464792794,39.82977721788194,0.1111111111111111,50.94593142411395,308.95054302761065,0.2722222222222222,65.43996265350819,462.1271748156976,0.3111111111111111,78.03731496659518,690.1811504623619
432,OLD,OOF,MJ1,prediction,432,612,180,14.653525154506173,12.919952282616896,12.919952282616896,9.057120648048539,1.0,63.82336623401273,63.82336623401273,1.0,82.26789203028981,82.26789203028981,1.0,98.4869389044094,98.4869389044094
432,NEW,P0,ATU1,old_fit_context,30,342,312,7.694606183209666,6.623069330470776,1.9835419750334098,9.539806745454133,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749913,125.64936665749913,1.0,149.72045475197956,149.72045475197956
432,NEW,P0,ATU5,old_fit_context,30,342,312,2.7531461913191313,2.1400589622764583,-0.35231395870026366,12.306765440739301,1.0,134.34498371705564,134.34498371705564,1.0,172.42992052549423,172.42992052549423,1.0,205.4629227403582,205.4629227403582
432,NEW,P0,MJ3,old_fit_context,30,342,312,6.839319321829323,5.8667414605205614,-0.8482930657728389,6.2387191434528075,1.0,59.75862724224094,59.75862724224094,1.0,76.69936800762054,76.69936800762054,1.0,91.39293386645171,91.39293386645171
432,NEW,P0,MJ1,old_fit_context,30,342,312,8.93791686180743,7.749833953232467,-0.7480695872184614,5.93977207456199,0.3108974358974359,10.537824789370815,43.51115520338099,0.42628205128205127,13.52515174492545,60.61547783562984,0.5384615384615384,16.116212311357582,83.59078270110021
432,NEW,P0,ATU1,scale_context,342,432,90,14.556213390095513,10.203740939438417,-6.749350035338043,11.04505246667687,1.0,97.8969430955823,97.8969430955823,1.0,125.64936665749916,125.64936665749916,1.0,149.72045475197956,149.72045475197956
432,NEW,P0,ATU5,scale_context,342,432,90,6.736598707354814,5.505049897798797,2.443448590989265,12.59309674432885,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549425,172.42992052549425,1.0,205.4629227403582,205.4629227403582
432,NEW,P0,MJ3,scale_context,342,432,90,5.404040495360172,4.8669330370835695,4.207596925570076,5.94500764477493,1.0,59.75862724224066,59.75862724224066,1.0,76.69936800761963,76.69936800761963,1.0,91.3929338664518,91.3929338664518
432,NEW,P0,MJ1,scale_context,342,432,90,5.395742112586065,4.075607476909858,-3.994275132647613,3.1470897018597332,0.6111111111111112,10.537824789370825,21.439764780096787,0.6888888888888889,13.525151744925461,24.83392715848328,0.7666666666666667,16.116212311357593,24.52377586553949
432,NEW,P0,ATU1,outer_train,30,432,402,9.663759325541799,7.424712228000846,0.028416898084577695,9.876802056175642,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749913,125.64936665749913,1.0,149.72045475197956,149.72045475197956
432,NEW,P0,ATU5,outer_train,30,432,402,4.005363489196314,2.893415141871011,0.27360303003619796,12.37086946393099,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549423,172.42992052549423,1.0,205.46292274035827,205.46292274035827
