fit_days,strategy,segment,station,days,rmse_P0_mm,mae_P0_mm,rmse_NORM_mm,mae_NORM_mm,rmse_PROBE_mm,mae_PROBE_mm,nonzero_pairs,same_direction_days,same_direction_fraction,forecast_improves_P0,forecast_improves_NORM
612,IN,days_1_30,ATU5,30,3.430966085890417,3.040424300767315,5.787913599909973,5.160781765856228,1.9771852638097787,1.9644205682540283,30,30,1.0,True,True
612,IN,days_1_30,MJ3,30,7.1982846566884335,6.328028517577157,10.341418739105766,9.570244665167843,9.740919447382423,8.838131342229284,30,0,0.0,False,True
612,IN,days_1_30,MJ1,30,1.9695255525068467,1.7739405579801162,2.9632770192145577,2.6536839402735874,11.849000780528463,11.313491537218578,30,9,0.3,False,False
612,IN,days_31_90,ATU1,60,6.4634814277068084,5.813384742423944,11.373834629091128,9.331771525564951,7.147821301180599,5.787488719822203,60,46,0.7666666666666667,False,True
612,IN,days_31_90,ATU5,60,4.406143806092198,4.1030506161805755,5.062081260094712,4.5777974186571075,10.981520168493164,6.858177838648205,60,44,0.7333333333333333,False,False
612,IN,days_31_90,MJ3,60,28.560012209613614,26.339428299369875,32.02047903044936,30.099929050429257,32.753536436117365,30.35572310236079,60,0,0.0,False,False
612,IN,days_31_90,MJ1,60,8.803788759870336,7.7555419673043655,6.889100760859859,6.045831586450051,3.5596204955701585,3.0688534385949593,60,53,0.8833333333333333,True,True
612,IN,days_91_180,ATU1,90,2.8998847036026167,1.9071023014293025,12.0639652819927,10.24966116264722,9.580092851930438,7.12564145036453,90,44,0.4888888888888889,False,True
612,IN,days_91_180,ATU5,90,5.7938356573034175,4.945266341631647,9.390550474659713,8.361700152164165,11.869806432452242,8.6330742741551,90,34,0.37777777777777777,False,False
612,IN,days_91_180,MJ3,90,83.01842245088879,81.51755875051477,84.64649963277739,83.23870216211559,84.72273435106477,83.45944983018849,90,26,0.28888888888888886,False,False
612,IN,days_91_180,MJ1,90,25.34751131333769,24.86061108585562,25.442525442504877,24.835848828008167,25.70166373367928,25.212478771116842,90,28,0.3111111111111111,False,False
612,OOF,all,ATU1,180,4.264416212270162,2.9570455475789585,19.028487127893765,14.582062353326393,110.68958940978966,81.13708285926589,180,93,0.5166666666666667,False,False
612,OOF,all,ATU5,180,5.021708368573075,4.3470540930039006,7.849396676062551,6.478289743623352,124.808913951598,91.86407976622525,180,126,0.7,False,False
612,OOF,all,MJ3,180,61.04552849517042,50.59326022797686,62.68841282564082,53.33777058027947,116.57175883156495,94.1285573541114,180,0,0.0,False,False
612,OOF,all,MJ1,180,18.647526258184858,15.311142958359284,18.044642500845633,14.675503609518495,42.25621415763723,30.129455567377125,180,57,0.31666666666666665,False,False
612,OOF,days_1_30,ATU1,30,0.5747134709127756,0.39419689633795846,3.2351408927735927,3.101948643454557,0.6025873992065741,0.5540951555750024,30,22,0.7333333333333333,False,True
612,OOF,days_1_30,ATU5,30,3.430966085890417,3.040424300767315,4.932395567598116,4.348717431603342,3.416592398819971,2.9319164945416114,30,23,0.7666666666666667,True,True
612,OOF,days_1_30,MJ3,30,7.1982846566884335,6.328028517577157,10.034475185137014,9.12589590730059,10.009651536376783,8.998609300340279,30,0,0.0,False,True
612,OOF,days_1_30,MJ1,30,1.9695255525068467,1.7739405579801162,3.452641676365838,3.187513355624507,5.035678250401984,4.762870873085259,30,9,0.3,False,False
612,OOF,days_31_90,ATU1,60,6.4634814277068084,5.813384742423944,15.23855860720437,12.126913915663696,32.55987679812482,23.73048604698497,60,35,0.5833333333333334,False,False
