stage,model,component,phase,valid_days,mask_sha256,station,metric,value,unit,status
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,mae,43.55499084906868,mm,valid
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,mae,20.525886341157616,mm,valid
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,mae,33.00210298445223,mm,valid
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,mae,33.26513685196199,mm,valid
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,crps,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,crps,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,crps,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,crps,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,crps,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,picp_80,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,picp_80,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,picp_80,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,picp_80,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,picp_80,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,width_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,width_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,width_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,width_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,width_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,interval_score_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,interval_score_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,interval_score_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,interval_score_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,interval_score_80,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,picp_90,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,picp_90,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,picp_90,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,picp_90,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,picp_90,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,width_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,width_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,width_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,width_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,width_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,interval_score_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,interval_score_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,interval_score_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,interval_score_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,interval_score_90,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,picp_95,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,picp_95,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,picp_95,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,picp_95,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,picp_95,,fraction,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,width_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,width_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,width_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ1,width_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,four_point_mean,width_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU1,interval_score_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,ATU5,interval_score_95,,mm,not_applicable
development,M0,deterministic,prediction,376,7b10e40baff549228c42d5925740fcc2dbdbc9cd8ca5ae14458558f6bc2c5dd2,MJ3,interval_score_95,,mm,not_applicable
