horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,1,0.1,0.2,3,0.11986481544465839,1.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,4,0.2686624683171399,1.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,3,0.35709362470357825,1.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,4,0.4,0.5,3,0.4574633453925599,1.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,19,empty_bin
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,6,0.6263000997654956,0.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,9,0.7447199714287751,0.5555555555555556,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,8,0.8,0.9,5,0.8423485932455556,0.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,9,0.9,1.0,4,0.9416040601832248,0.0,19,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,0,0.0,0.1,136,8.56164682702452e-05,0.007352941176470588,8,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,1,0.1,0.2,4,0.13753040619028647,1.0,8,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,8,0.2335824419208482,0.375,8,ok
1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,0,,,8,empty_bin
